dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1,tnet_bias_prec,tnet_bias_rec,tnet_bias_f1
SEIR01_sl1000_mr025_nv20_6,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.909
SEIR01_sl1000_mr025_nv20_7,1,0.412,0.583,1,0.412,0.583,1,0.765,0.867
SEIR01_sl1000_mr025_nv20_8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
SEIR01_sl1000_mr025_nv20_9,1,0.917,0.957,1,0.917,0.957,1,0.917,0.957
SEIR01_sl1000_mr025_nv5_1,1,0.512,0.677,1,0.512,0.677,0.938,0.732,0.822
SEIR01_sl1000_mr025_nv5_10,1,0.182,0.308,1,0.182,0.308,1,0.424,0.596
SEIR01_sl1000_mr025_nv5_11,1,0.263,0.417,1,0.263,0.417,1,0.526,0.69
SEIR01_sl1000_mr025_nv5_12,0.857,0.316,0.462,0.857,0.316,0.462,0.929,0.684,0.788
SEIR01_sl1000_mr025_nv5_13,1,0.583,0.737,1,0.583,0.737,1,0.583,0.737
SEIR01_sl1000_mr025_nv5_14,1,0.35,0.519,1,0.4,0.571,1,0.7,0.824
SEIR01_sl1000_mr025_nv5_15,0.786,0.407,0.537,0.786,0.407,0.537,0.818,0.667,0.735
SEIR01_sl1000_mr025_nv5_16,1,0.444,0.615,1,0.444,0.615,1,0.556,0.714
SEIR01_sl1000_mr025_nv5_17,0.75,0.273,0.4,0.75,0.273,0.4,0.875,0.636,0.737
SEIR01_sl1000_mr025_nv5_18,1,0.404,0.576,1,0.404,0.576,0.914,0.681,0.78
SEIR01_sl1000_mr025_nv5_19,0.972,0.603,0.745,0.972,0.603,0.745,0.962,0.879,0.919
SEIR01_sl1000_mr025_nv5_2,0.75,0.188,0.3,0.75,0.188,0.3,0.889,0.5,0.64
SEIR01_sl1000_mr025_nv5_20,1,0.333,0.5,1,0.333,0.5,1,0.5,0.667
SEIR01_sl1000_mr025_nv5_3,1,0.4,0.571,1,0.4,0.571,1,0.7,0.824
SEIR01_sl1000_mr025_nv5_4,0.913,0.42,0.575,0.913,0.42,0.575,0.837,0.72,0.774
SEIR01_sl1000_mr025_nv5_5,1,0.333,0.5,1,0.333,0.5,0.882,0.588,0.706
SEIR01_sl1000_mr025_nv5_6,0.667,0.5,0.571,0.667,0.5,0.571,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv5_7,1,0.3,0.462,1,0.3,0.462,1,0.6,0.75
SEIR01_sl1000_mr025_nv5_8,0.917,0.478,0.629,0.917,0.478,0.629,0.905,0.826,0.864
SEIR01_sl1000_mr025_nv5_9,1,0.333,0.5,1,0.333,0.5,0.875,0.778,0.824
SEIR01_sl1000_mr05_nv10_1,0.857,0.462,0.6,0.857,0.462,0.6,0.909,0.769,0.833
SEIR01_sl1000_mr05_nv10_10,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857
SEIR01_sl1000_mr05_nv10_11,1,0.531,0.694,1,0.531,0.694,0.958,0.719,0.821
SEIR01_sl1000_mr05_nv10_12,0.968,0.517,0.674,0.968,0.517,0.674,0.907,0.845,0.875
SEIR01_sl1000_mr05_nv10_13,0.75,0.375,0.5,0.75,0.375,0.5,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_14,1,0.538,0.7,1,0.538,0.7,0.967,0.744,0.841
SEIR01_sl1000_mr05_nv10_15,0.917,0.688,0.786,0.917,0.688,0.786,0.929,0.812,0.867
SEIR01_sl1000_mr05_nv10_16,0.944,0.773,0.85,0.944,0.773,0.85,0.952,0.909,0.93
SEIR01_sl1000_mr05_nv10_17,0.923,0.545,0.686,0.923,0.545,0.686,0.947,0.818,0.878
SEIR01_sl1000_mr05_nv10_18,1,0.554,0.713,1,0.554,0.713,1,0.768,0.869
SEIR01_sl1000_mr05_nv10_19,0,0,0,0,0,0,0,0,0
SEIR01_sl1000_mr05_nv10_2,0.833,0.625,0.714,0.833,0.625,0.714,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_20,1,0.596,0.747,1,0.596,0.747,0.978,0.846,0.907
SEIR01_sl1000_mr05_nv10_3,1,0.48,0.649,1,0.52,0.684,0.944,0.68,0.791
SEIR01_sl1000_mr05_nv10_4,0.875,0.636,0.737,0.875,0.636,0.737,0.7,0.636,0.667
SEIR01_sl1000_mr05_nv10_5,0.867,0.722,0.788,0.867,0.722,0.788,0.889,0.889,0.889
SEIR01_sl1000_mr05_nv10_6,0.917,0.55,0.687,0.917,0.55,0.687,0.886,0.775,0.827
SEIR01_sl1000_mr05_nv10_7,0.966,0.609,0.747,0.964,0.587,0.73,0.944,0.739,0.829
SEIR01_sl1000_mr05_nv10_8,1,0.625,0.769,1,0.625,0.769,1,0.75,0.857
SEIR01_sl1000_mr05_nv10_9,0.944,0.654,0.773,0.944,0.654,0.773,0.96,0.923,0.941
SEIR01_sl250_mr025_nv10_1,0.917,0.244,0.386,0.917,0.244,0.386,0.95,0.422,0.585
SEIR01_sl250_mr025_nv10_10,1,0.235,0.381,1,0.235,0.381,1,0.353,0.522
SEIR01_sl250_mr025_nv10_11,1,0.125,0.222,1,0.125,0.222,1,0.312,0.476
SEIR01_sl250_mr025_nv10_12,1,0.326,0.491,1,0.349,0.517,0.947,0.419,0.581
SEIR01_sl250_mr025_nv10_13,1,0.333,0.5,1,0.333,0.5,0.667,0.333,0.444
SEIR01_sl250_mr025_nv10_14,0.857,0.261,0.4,0.857,0.261,0.4,0.889,0.348,0.5
SEIR01_sl250_mr025_nv10_15,1,0.143,0.25,1,0.286,0.444,1,0.286,0.444
SEIR01_sl250_mr025_nv10_16,0.7,0.152,0.25,0.7,0.152,0.25,0.8,0.261,0.393
SEIR01_sl250_mr025_nv10_17,0,0,0,0,0,0,0,0,0
SEIR01_sl250_mr025_nv10_18,1,0.312,0.476,1,0.312,0.476,1,0.438,0.609
SEIR01_sl250_mr025_nv10_19,1,0.417,0.588,1,0.417,0.588,1,0.5,0.667
SEIR01_sl250_mr025_nv10_2,0.75,0.214,0.333,0.75,0.214,0.333,0.857,0.429,0.571
SEIR01_sl250_mr025_nv10_20,1,0.222,0.364,1,0.222,0.364,0.833,0.556,0.667
SEIR01_sl250_mr025_nv10_3,1,0.296,0.457,1,0.333,0.5,1,0.407,0.579
SEIR01_sl250_mr025_nv10_4,0.875,0.5,0.636,0.875,0.5,0.636,0.889,0.571,0.696
SEIR01_sl250_mr025_nv10_5,0.889,0.195,0.32,0.889,0.195,0.32,0.867,0.317,0.464
SEIR01_sl250_mr025_nv10_6,0.75,0.136,0.231,0.75,0.136,0.231,0.818,0.409,0.545
SEIR01_sl250_mr025_nv10_7,0.875,0.5,0.636,0.875,0.5,0.636,0.75,0.643,0.692
SEIR01_sl250_mr025_nv10_8,1,0.294,0.455,1,0.294,0.455,1,0.441,0.612
SEIR01_sl250_mr025_nv10_9,1,0.164,0.282,1,0.164,0.282,1,0.377,0.548
