dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1
SEIR015_sl250_mr025_nv10_8,0.733,0.815,0.772,0.783,0.667,0.72
SEIR015_sl250_mr025_nv10_9,0.545,0.8,0.649,0.688,0.733,0.71
SEIR015_sl500_mr025_nv10_1,0.636,0.7,0.667,0.667,0.6,0.632
SEIR015_sl500_mr025_nv10_10,0.844,0.884,0.864,0.857,0.837,0.847
SEIR015_sl500_mr025_nv10_11,0.364,0.5,0.421,0.167,0.125,0.143
SEIR015_sl500_mr025_nv10_12,0.603,0.717,0.655,0.721,0.585,0.646
SEIR015_sl500_mr025_nv10_13,0.541,0.714,0.615,0.516,0.571,0.542
SEIR015_sl500_mr025_nv10_14,0.8,0.889,0.842,1,0.889,0.941
SEIR015_sl500_mr025_nv10_15,0.726,0.776,0.75,0.796,0.672,0.729
SEIR015_sl500_mr025_nv10_16,0.643,0.75,0.692,0.6,0.75,0.667
SEIR015_sl500_mr025_nv10_17,0.632,0.857,0.727,0.765,0.929,0.839
SEIR015_sl500_mr025_nv10_18,0.556,0.577,0.566,0.765,0.5,0.605
SEIR015_sl500_mr025_nv10_19,0.8,0.8,0.8,0.889,0.8,0.842
SEIR015_sl500_mr025_nv10_2,0.625,0.625,0.625,0.625,0.625,0.625
SEIR015_sl500_mr025_nv10_20,0.714,0.781,0.746,0.742,0.719,0.73
SEIR015_sl500_mr025_nv10_3,0.571,0.649,0.608,0.719,0.622,0.667
SEIR015_sl500_mr025_nv10_4,0.549,0.683,0.609,0.63,0.707,0.667
SEIR015_sl500_mr025_nv10_5,0.933,1,0.966,0.867,0.929,0.897
SEIR015_sl500_mr025_nv10_6,0.75,0.789,0.769,0.75,0.789,0.769
SEIR015_sl500_mr025_nv10_7,0.557,0.629,0.591,0.66,0.532,0.589
SEIR015_sl500_mr025_nv10_8,0.576,0.731,0.645,0.716,0.716,0.716
SEIR015_sl500_mr025_nv10_9,0.615,0.727,0.667,0.6,0.818,0.692
SEIR01_sl1000_mr0125_nv10_1,0.684,0.722,0.703,0.765,0.722,0.743
SEIR01_sl1000_mr0125_nv10_10,0.833,0.833,0.833,0.92,0.852,0.885
SEIR01_sl1000_mr0125_nv10_11,0.923,0.923,0.923,0.923,0.923,0.923
SEIR01_sl1000_mr0125_nv10_12,0.2,0.2,0.2,0.333,0.2,0.25
SEIR01_sl1000_mr0125_nv10_13,0.818,0.9,0.857,0.818,0.9,0.857
SEIR01_sl1000_mr0125_nv10_14,0.903,0.933,0.918,0.935,0.967,0.951
SEIR01_sl1000_mr0125_nv10_15,0.792,0.792,0.792,0.864,0.792,0.826
SEIR01_sl1000_mr0125_nv10_16,0.714,0.714,0.714,0.857,0.857,0.857
SEIR01_sl1000_mr0125_nv10_17,0.833,0.833,0.833,0.833,0.833,0.833
SEIR01_sl1000_mr0125_nv10_18,0.809,0.844,0.826,0.841,0.822,0.831
SEIR01_sl1000_mr0125_nv10_19,0.903,0.933,0.918,0.926,0.833,0.877
SEIR01_sl1000_mr0125_nv10_2,0.923,0.923,0.923,0.923,0.923,0.923
SEIR01_sl1000_mr0125_nv10_20,0.885,0.92,0.902,0.889,0.96,0.923
SEIR01_sl1000_mr0125_nv10_3,0.868,0.868,0.868,0.889,0.842,0.865
SEIR01_sl1000_mr0125_nv10_4,0.792,0.792,0.792,0.895,0.708,0.791
SEIR01_sl1000_mr0125_nv10_5,0.875,0.894,0.884,0.875,0.894,0.884
SEIR01_sl1000_mr0125_nv10_6,0.837,0.854,0.845,0.907,0.812,0.857
SEIR01_sl1000_mr0125_nv10_7,0.897,0.897,0.897,0.973,0.923,0.947
SEIR01_sl1000_mr0125_nv10_8,0.667,0.667,0.667,0.667,0.667,0.667
SEIR01_sl1000_mr0125_nv10_9,0.938,0.957,0.947,0.913,0.894,0.903
SEIR01_sl1000_mr025_nv10_1,0.857,0.857,0.857,0.885,0.821,0.852
SEIR01_sl1000_mr025_nv10_10,0.778,0.778,0.778,0.778,0.778,0.778
SEIR01_sl1000_mr025_nv10_11,0.838,0.886,0.861,0.882,0.857,0.87
SEIR01_sl1000_mr025_nv10_12,0.625,0.625,0.625,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv10_13,0.714,0.75,0.732,0.812,0.65,0.722
SEIR01_sl1000_mr025_nv10_14,0.886,0.912,0.899,0.886,0.912,0.899
SEIR01_sl1000_mr025_nv10_15,0.8,0.8,0.8,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv10_16,0.86,0.881,0.871,0.925,0.881,0.902
SEIR01_sl1000_mr025_nv10_17,0.667,0.667,0.667,0.833,0.667,0.741
SEIR01_sl1000_mr025_nv10_18,0.778,0.778,0.778,0.889,0.889,0.889
SEIR01_sl1000_mr025_nv10_19,0.758,0.797,0.777,0.796,0.729,0.761
SEIR01_sl1000_mr025_nv10_2,0.913,0.955,0.933,0.913,0.955,0.933
SEIR01_sl1000_mr025_nv10_20,0.824,0.824,0.824,0.824,0.824,0.824
SEIR01_sl1000_mr025_nv10_3,0.824,0.857,0.84,0.86,0.878,0.869
SEIR01_sl1000_mr025_nv10_4,0.849,0.865,0.857,0.933,0.808,0.866
SEIR01_sl1000_mr025_nv10_5,0.932,0.932,0.932,0.95,0.864,0.905
SEIR01_sl1000_mr025_nv10_6,0.714,0.714,0.714,0.714,0.714,0.714
SEIR01_sl1000_mr025_nv10_7,0.725,0.725,0.725,0.784,0.725,0.753
SEIR01_sl1000_mr025_nv10_8,0.852,0.852,0.852,0.88,0.815,0.846
SEIR01_sl1000_mr025_nv10_9,0.787,0.787,0.787,0.897,0.745,0.814
SEIR01_sl1000_mr025_nv20_1,0.912,0.969,0.939,0.912,0.969,0.939
SEIR01_sl1000_mr025_nv20_10,0.667,0.667,0.667,0.857,0.667,0.75
SEIR01_sl1000_mr025_nv20_11,0.8,0.8,0.8,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv20_12,0.889,0.889,0.889,0.889,0.889,0.889
SEIR01_sl1000_mr025_nv20_13,0.862,0.862,0.862,0.875,0.845,0.86
SEIR01_sl1000_mr025_nv20_14,0.786,0.846,0.815,0.786,0.846,0.815
SEIR01_sl1000_mr025_nv20_15,0.913,0.913,0.913,0.957,0.957,0.957
SEIR01_sl1000_mr025_nv20_16,0.5,0.714,0.588,0.545,0.857,0.667
SEIR01_sl1000_mr025_nv20_17,0.88,0.88,0.88,0.88,0.88,0.88
SEIR01_sl1000_mr025_nv20_18,0.885,0.885,0.885,0.885,0.885,0.885
SEIR01_sl1000_mr025_nv20_19,0.943,0.943,0.943,0.943,0.943,0.943
SEIR01_sl1000_mr025_nv20_2,0.907,0.929,0.918,0.907,0.929,0.918
SEIR01_sl1000_mr025_nv20_20,0.812,0.839,0.825,0.889,0.774,0.828
SEIR01_sl1000_mr025_nv20_3,0.864,0.905,0.884,0.864,0.905,0.884
SEIR01_sl1000_mr025_nv20_4,0.75,0.75,0.75,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv20_5,0.8,0.848,0.824,0.875,0.848,0.862
SEIR01_sl1000_mr025_nv20_6,0.917,1,0.957,0.917,1,0.957
SEIR01_sl1000_mr025_nv20_7,0.882,0.882,0.882,0.882,0.882,0.882
SEIR01_sl1000_mr025_nv20_8,0.6,0.6,0.6,0.6,0.6,0.6
SEIR01_sl1000_mr025_nv20_9,0.917,0.917,0.917,1,1,1
