dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1
SEIR01_sl1000_mr0125_nv10_6,0.837,0.854,0.845,0.93,0.833,0.879
SEIR01_sl1000_mr0125_nv10_7,0.897,0.897,0.897,0.895,0.872,0.883
SEIR01_sl1000_mr0125_nv10_8,0.667,0.667,0.667,0.667,0.667,0.667
SEIR01_sl1000_mr0125_nv10_9,0.938,0.957,0.947,0.936,0.936,0.936
SEIR01_sl1000_mr025_nv10_1,0.857,0.857,0.857,0.889,0.857,0.873
SEIR01_sl1000_mr025_nv10_10,0.778,0.778,0.778,0.778,0.778,0.778
SEIR01_sl1000_mr025_nv10_11,0.838,0.886,0.861,0.912,0.886,0.899
SEIR01_sl1000_mr025_nv10_12,0.625,0.625,0.625,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv10_13,0.714,0.75,0.732,0.833,0.75,0.789
SEIR01_sl1000_mr025_nv10_14,0.886,0.912,0.899,0.886,0.912,0.899
SEIR01_sl1000_mr025_nv10_15,0.8,0.8,0.8,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv10_16,0.86,0.881,0.871,0.9,0.857,0.878
SEIR01_sl1000_mr025_nv10_17,0.667,0.667,0.667,0.769,0.667,0.714
SEIR01_sl1000_mr025_nv10_18,0.778,0.778,0.778,0.778,0.778,0.778
SEIR01_sl1000_mr025_nv10_19,0.758,0.797,0.777,0.778,0.712,0.743
SEIR01_sl1000_mr025_nv10_2,0.913,0.955,0.933,0.913,0.955,0.933
SEIR01_sl1000_mr025_nv10_20,0.824,0.824,0.824,0.824,0.824,0.824
SEIR01_sl1000_mr025_nv10_3,0.824,0.857,0.84,0.857,0.857,0.857
SEIR01_sl1000_mr025_nv10_4,0.849,0.865,0.857,0.863,0.846,0.854
SEIR01_sl1000_mr025_nv10_5,0.932,0.932,0.932,0.95,0.864,0.905
SEIR01_sl1000_mr025_nv10_6,0.714,0.714,0.714,0.714,0.714,0.714
SEIR01_sl1000_mr025_nv10_7,0.725,0.725,0.725,0.778,0.7,0.737
SEIR01_sl1000_mr025_nv10_8,0.852,0.852,0.852,0.815,0.815,0.815
SEIR01_sl1000_mr025_nv10_9,0.787,0.787,0.787,0.857,0.766,0.809
SEIR01_sl1000_mr025_nv20_1,0.912,0.969,0.939,0.912,0.969,0.939
SEIR01_sl1000_mr025_nv20_10,0.667,0.667,0.667,0.75,0.667,0.706
SEIR01_sl1000_mr025_nv20_11,0.8,0.8,0.8,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv20_12,0.889,0.889,0.889,0.889,0.889,0.889
SEIR01_sl1000_mr025_nv20_13,0.862,0.862,0.862,0.926,0.862,0.893
SEIR01_sl1000_mr025_nv20_14,0.786,0.846,0.815,0.846,0.846,0.846
SEIR01_sl1000_mr025_nv20_15,0.913,0.913,0.913,0.957,0.957,0.957
SEIR01_sl1000_mr025_nv20_16,0.5,0.714,0.588,0.5,0.714,0.588
SEIR01_sl1000_mr025_nv20_17,0.88,0.88,0.88,0.88,0.88,0.88
