dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1
SEIR015_sl500_mr025_nv10_3,0.733,0.595,0.657,0.719,0.622,0.667
SEIR015_sl500_mr025_nv10_4,0.659,0.707,0.682,0.63,0.707,0.667
SEIR015_sl500_mr025_nv10_5,0.812,0.929,0.867,0.867,0.929,0.897
SEIR015_sl500_mr025_nv10_6,0.75,0.789,0.769,0.75,0.789,0.769
SEIR015_sl500_mr025_nv10_7,0.653,0.516,0.577,0.66,0.532,0.589
SEIR015_sl500_mr025_nv10_8,0.716,0.716,0.716,0.716,0.716,0.716
SEIR015_sl500_mr025_nv10_9,0.6,0.818,0.692,0.6,0.818,0.692
SEIR01_sl1000_mr0125_nv10_1,0.765,0.722,0.743,0.765,0.722,0.743
SEIR01_sl1000_mr0125_nv10_10,0.918,0.833,0.874,0.92,0.852,0.885
SEIR01_sl1000_mr0125_nv10_11,0.923,0.923,0.923,0.923,0.923,0.923
SEIR01_sl1000_mr0125_nv10_12,0.25,0.2,0.222,0.333,0.2,0.25
SEIR01_sl1000_mr0125_nv10_13,0.818,0.9,0.857,0.818,0.9,0.857
SEIR01_sl1000_mr0125_nv10_14,0.935,0.967,0.951,0.935,0.967,0.951
SEIR01_sl1000_mr0125_nv10_15,0.864,0.792,0.826,0.864,0.792,0.826
SEIR01_sl1000_mr0125_nv10_16,0.857,0.857,0.857,0.857,0.857,0.857
SEIR01_sl1000_mr0125_nv10_17,0.833,0.833,0.833,0.833,0.833,0.833
SEIR01_sl1000_mr0125_nv10_18,0.881,0.822,0.851,0.841,0.822,0.831
SEIR01_sl1000_mr0125_nv10_19,0.926,0.833,0.877,0.926,0.833,0.877
SEIR01_sl1000_mr0125_nv10_2,0.923,0.923,0.923,0.923,0.923,0.923
SEIR01_sl1000_mr0125_nv10_20,0.857,0.96,0.906,0.889,0.96,0.923
SEIR01_sl1000_mr0125_nv10_3,0.889,0.842,0.865,0.889,0.842,0.865
SEIR01_sl1000_mr0125_nv10_4,0.895,0.708,0.791,0.895,0.708,0.791
SEIR01_sl1000_mr0125_nv10_5,0.875,0.894,0.884,0.875,0.894,0.884
SEIR01_sl1000_mr0125_nv10_6,0.929,0.812,0.867,0.907,0.812,0.857
SEIR01_sl1000_mr0125_nv10_7,0.973,0.923,0.947,0.973,0.923,0.947
SEIR01_sl1000_mr0125_nv10_8,0.667,0.667,0.667,0.667,0.667,0.667
SEIR01_sl1000_mr0125_nv10_9,0.913,0.894,0.903,0.913,0.894,0.903
SEIR01_sl1000_mr025_nv10_1,0.885,0.821,0.852,0.885,0.821,0.852
SEIR01_sl1000_mr025_nv10_10,0.778,0.778,0.778,0.778,0.778,0.778
SEIR01_sl1000_mr025_nv10_11,0.882,0.857,0.87,0.882,0.857,0.87
SEIR01_sl1000_mr025_nv10_12,0.667,0.75,0.706,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv10_13,0.812,0.65,0.722,0.812,0.65,0.722
SEIR01_sl1000_mr025_nv10_14,0.886,0.912,0.899,0.886,0.912,0.899
SEIR01_sl1000_mr025_nv10_15,0.8,0.8,0.8,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv10_16,0.923,0.857,0.889,0.925,0.881,0.902
SEIR01_sl1000_mr025_nv10_17,0.857,0.667,0.75,0.833,0.667,0.741
SEIR01_sl1000_mr025_nv10_18,0.8,0.889,0.842,0.889,0.889,0.889
SEIR01_sl1000_mr025_nv10_19,0.778,0.712,0.743,0.796,0.729,0.761
SEIR01_sl1000_mr025_nv10_2,0.913,0.955,0.933,0.913,0.955,0.933
SEIR01_sl1000_mr025_nv10_20,0.824,0.824,0.824,0.824,0.824,0.824
SEIR01_sl1000_mr025_nv10_3,0.84,0.857,0.848,0.86,0.878,0.869
SEIR01_sl1000_mr025_nv10_4,0.894,0.808,0.848,0.933,0.808,0.866
SEIR01_sl1000_mr025_nv10_5,0.95,0.864,0.905,0.95,0.864,0.905
SEIR01_sl1000_mr025_nv10_6,0.75,0.857,0.8,0.714,0.714,0.714
SEIR01_sl1000_mr025_nv10_7,0.763,0.725,0.744,0.784,0.725,0.753
SEIR01_sl1000_mr025_nv10_8,0.88,0.815,0.846,0.88,0.815,0.846
SEIR01_sl1000_mr025_nv10_9,0.897,0.745,0.814,0.897,0.745,0.814
SEIR01_sl1000_mr025_nv20_1,0.912,0.969,0.939,0.912,0.969,0.939
SEIR01_sl1000_mr025_nv20_10,0.857,0.667,0.75,0.857,0.667,0.75
SEIR01_sl1000_mr025_nv20_11,0.8,0.8,0.8,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv20_12,0.842,0.889,0.865,0.889,0.889,0.889
SEIR01_sl1000_mr025_nv20_13,0.873,0.828,0.85,0.875,0.845,0.86
