edges/dates,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
Maryland->Ohio,0, 0, 101, 0, 0, 0, 0
Utah->Pennsylvania,100, 0, 0, 0, 0, 0, 0
Utah->NorthCarolina,100, 0, 0, 0, 0, 0, 0
Texas->Florida,100, 0, 0, 0, 0, 0, 0
Texas->Illinois,100, 0, 0, 0, 0, 0, 0
Texas->Wisconsin,100, 0, 0, 0, 0, 0, 0
Texas->Michigan,100, 0, 0, 0, 0, 0, 0
Texas->Alaska,100, 0, 0, 0, 0, 0, 0
Alaska->Massachusetts,100, 0, 0, 0, 0, 0, 0
Massachusetts->Georgia,100, 0, 0, 0, 0, 0, 0
Missouri->California,100, 0, 0, 0, 0, 0, 0
California->Missouri,100, 0, 0, 0, 0, 0, 0
California->Massachusetts,0, 100, 0, 0, 0, 0, 0
Missouri->Wyoming,0, 100, 0, 0, 0, 0, 0
Texas->Pennsylvania,0, 100, 0, 0, 0, 0, 0
Texas->Arizona,0, 100, 0, 0, 0, 0, 0
Missouri->Washington,0, 100, 0, 0, 0, 0, 0
Massachusetts->Florida,0, 100, 0, 0, 0, 0, 0
SouthCarolina->Pennsylvania,0, 100, 0, 0, 0, 0, 0
SouthCarolina->Michigan,0, 100, 0, 0, 0, 0, 0
SouthCarolina->Illinois,0, 100, 0, 0, 0, 0, 0
SouthCarolina->NorthCarolina,0, 100, 0, 0, 0, 0, 0
Connecticut->Nebraska,0, 100, 0, 0, 0, 0, 0
Connecticut->Iowa,0, 100, 0, 0, 0, 0, 0
Connecticut->Texas,0, 100, 0, 0, 0, 0, 0
Texas->NorthCarolina,0, 0, 100, 0, 0, 0, 0
Virginia->Louisiana,0, 0, 100, 0, 0, 0, 0
Wyoming->NewYork,0, 0, 100, 0, 0, 0, 0
Florida->Oregon,0, 0, 100, 0, 0, 0, 0
Arizona->California,0, 0, 100, 0, 0, 0, 0
Georgia->Florida,0, 0, 100, 0, 0, 0, 0
Idaho->Maryland,0, 0, 100, 0, 0, 0, 0
Idaho->Alaska,0, 0, 100, 0, 0, 0, 0
Louisiana->Ohio,0, 0, 100, 0, 0, 0, 0
Virginia->NorthCarolina,0, 0, 100, 0, 0, 0, 0
Virginia->Wisconsin,0, 0, 100, 0, 0, 0, 0
Missouri->NewYork,0, 0, 100, 0, 0, 0, 0
Missouri->Oregon,0, 0, 100, 0, 0, 0, 0
Georgia->Minnesota,0, 0, 100, 0, 0, 0, 0
Georgia->Virginia,0, 0, 100, 0, 0, 0, 0
Georgia->California,0, 0, 100, 0, 0, 0, 0
Georgia->Maryland,0, 0, 100, 0, 0, 0, 0
Utah->Ohio,0, 0, 100, 0, 0, 0, 0
Minnesota->Illinois,0, 0, 100, 0, 0, 0, 0
Illinois->Washington,0, 0, 100, 0, 0, 0, 0
California->Texas,0, 0, 100, 0, 0, 0, 0
Oregon->California,0, 0, 100, 0, 0, 0, 0
Maryland->Florida,0, 0, 100, 0, 0, 0, 0
Maryland->Pennsylvania,0, 0, 100, 0, 0, 0, 0
Pennsylvania->Georgia,0, 0, 100, 0, 0, 0, 0
NewMexico->Wisconsin,0, 0, 100, 0, 0, 0, 0
NewMexico->Texas,0, 0, 100, 0, 0, 0, 0
NewMexico->Maryland,0, 0, 100, 0, 0, 0, 0
Florida->Missouri,0, 0, 100, 0, 0, 0, 0
Florida->Nebraska,0, 0, 100, 0, 0, 0, 0
Florida->Texas,0, 0, 100, 0, 0, 0, 0
Illinois->Georgia,0, 0, 100, 0, 0, 0, 0
Pennsylvania->NewMexico,0, 0, 100, 0, 0, 0, 0
Pennsylvania->Ohio,0, 0, 100, 0, 0, 0, 0
Texas->Wyoming,0, 0, 100, 0, 0, 0, 0
NewYork->Oregon,0, 0, 100, 0, 0, 0, 0
NewYork->Illinois,0, 0, 100, 0, 0, 0, 0
Maryland->Massachusetts,0, 0, 100, 0, 0, 0, 0
Maryland->Arizona,0, 0, 100, 0, 0, 0, 0
Virginia->Illinois,0, 0, 100, 0, 0, 0, 0
Virginia->Texas,0, 0, 100, 0, 0, 0, 0
