strain,nextstrain_0,nextstrain_1,nextstrain_2,nextstrain_3,nextstrain_4,nextstrain_5,nextstrain_6,nextstrain_7,nextstrain_8,nextstrain_9,tnet_bias, tnet_random_sample
EPI_ISL_426510,Missouri,Arizona,Utah,Utah,Oregon,Illinois,California,Iowa,Utah,Utah,Iowa,Arizona
EPI_ISL_426511,Florida,Illinois,Oregon,Arizona,Arizona,Florida,Florida,Arizona,Illinois,NewYork,NewYork,Arizona
EPI_ISL_426512,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Arizona,Arizona
EPI_ISL_426513,Washington,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon
EPI_ISL_426514,California,California,California,Maryland,California,California,California,California,California,California,California,California
EPI_ISL_426515,Washington,Washington,Washington,Washington,Arizona,Washington,Washington,Washington,Washington,Washington,Washington,Washington
EPI_ISL_426516,Louisiana,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona
EPI_ISL_426517,Washington,Washington,Arizona,Washington,Washington,Washington,Washington,Washington,Washington,Washington,Arizona,Arizona
EPI_ISL_426519,Florida,Michigan,NewJersey,Utah,Virginia,NewYork,Virginia,Virginia,NewJersey,Virginia,Arizona,Arizona
EPI_ISL_426521,Arizona,Louisiana,Arizona,Arizona,Louisiana,Arizona,Louisiana,Arizona,Louisiana,Texas,Arizona,Arizona
EPI_ISL_426522,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona
EPI_ISL_426523,Arizona,Arizona,Arizona,Louisiana,Arizona,Arizona,Arizona,Maryland,Arizona,Arizona,Arizona,Arizona
EPI_ISL_426526,Arizona,Arizona,Louisiana,Arizona,Arizona,Arizona,Louisiana,Arizona,Louisiana,Arizona,Arizona,Arizona
EPI_ISL_426527,Missouri,Arizona,Utah,Arizona,Oregon,Illinois,Alaska,Iowa,Arizona,Massachusetts,Missouri,Arizona
EPI_ISL_426528,Florida,NewYork,Arizona,Utah,NewYork,NewYork,Arizona,Arizona,Connecticut,NewYork,Maryland,Arizona
EPI_ISL_426529,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Florida,Arizona,Arizona
EPI_ISL_426530,California,California,California,Arizona,California,California,California,California,California,California,California,California
EPI_ISL_426534,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona
EPI_ISL_426535,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona
EPI_ISL_426536,Arizona,Arizona,Arizona,Louisiana,Arizona,Arizona,Arizona,Arizona,Louisiana,Arizona,Arizona,Arizona
EPI_ISL_426537,Washington,Arizona,Arizona,Arizona,Arizona,Washington,Washington,Arizona,Washington,Arizona,Arizona,Arizona
EPI_ISL_426538,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona
EPI_ISL_426540,Arizona,Washington,Oregon,Washington,California,Washington,Washington,Arizona,Arizona,Washington,Arizona,Arizona
EPI_ISL_427272,Arizona,Arizona,Florida,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona
EPI_ISL_426541,Louisiana,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona
EPI_ISL_426485,Louisiana,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona
EPI_ISL_426542,Florida,Arizona,Arizona,Florida,Arizona,Michigan,NewYork,Arizona,NewYork,Florida,Arizona,Arizona
EPI_ISL_426545,Louisiana,Louisiana,Arizona,Louisiana,Louisiana,Arizona,Louisiana,Arizona,Louisiana,Louisiana,Arizona,Arizona
EPI_ISL_426548,Arizona,Arizona,Oregon,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona
EPI_ISL_426549,Louisiana,Louisiana,Arizona,Arizona,Louisiana,Arizona,Arizona,Arizona,Louisiana,Arizona,Arizona,Arizona
EPI_ISL_426554,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Illinois,Arizona,Arizona
EPI_ISL_426555,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona
EPI_ISL_426556,Arizona,Louisiana,Louisiana,Arizona,NewYork,Arizona,Louisiana,Arizona,Arizona,Arizona,Arizona,Arizona
EPI_ISL_426557,Louisiana,Louisiana,Louisiana,Louisiana,Arizona,Arizona,Arizona,Arizona,Louisiana,Arizona,Arizona,Arizona
EPI_ISL_426559,Pennsylvania,Pennsylvania,Pennsylvania,Virginia,NewYork,Pennsylvania,California,Arizona,Arizona,Arizona,Arizona,Arizona
EPI_ISL_426564,Arizona,Arizona,Oregon,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona
EPI_ISL_426565,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Iowa,Arizona,Arizona,Arizona
EPI_ISL_426566,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona
EPI_ISL_426567,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Iowa,Arizona,Arizona,Arizona,Arizona
EPI_ISL_426568,Arizona,Arizona,Oregon,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona
EPI_ISL_426569,Arizona,Arizona,Oregon,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona
EPI_ISL_491299,Arizona,Arizona,Illinois,Illinois,California,California,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois
EPI_ISL_420784,Georgia,California,Arizona,Utah,California,California,Georgia,Utah,California,Arizona,Pennsylvania,Georgia
EPI_ISL_424848,Washington,Washington,Washington,Washington,Arizona,Washington,Washington,Washington,Washington,Washington,Arizona,Arizona
EPI_ISL_424849,Washington,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Washington,Arizona,Arizona
EPI_ISL_483178,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_483207,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_483217,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_483218,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_483285,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_483300,California,California,California,California,Louisiana,California,California,California,California,California,California,California
EPI_ISL_483308,California,California,California,California,Louisiana,California,California,California,California,California,California,California
EPI_ISL_483310,California,California,California,California,California,California,California,Louisiana,California,California,NewYork,California
EPI_ISL_483311,California,California,California,California,Louisiana,California,California,California,California,California,California,California
EPI_ISL_483318,California,California,California,California,Louisiana,California,Texas,NewJersey,California,Louisiana,California,California
EPI_ISL_483320,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_483321,California,Utah,California,California,Louisiana,California,California,California,California,California,California,California
EPI_ISL_483334,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_483358,California,Florida,California,California,NewYork,NewYork,California,Florida,California,Florida,California,California
EPI_ISL_483398,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_483399,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana,Texas,Louisiana,Louisiana,Louisiana,Louisiana
EPI_ISL_483419,California,California,California,NewYork,California,California,California,California,California,California,California,California
EPI_ISL_483464,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_483476,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_483477,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_483482,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_483485,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_483486,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_483492,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_483494,California,California,California,California,California,California,Michigan,California,California,Michigan,California,California
EPI_ISL_483495,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_483498,California,California,Oregon,California,California,California,California,California,California,California,California,California
EPI_ISL_483502,California,California,Oregon,Oregon,Oregon,California,California,California,California,California,California,California
EPI_ISL_483504,California,California,California,California,Wisconsin,California,California,California,NewYork,Massachusetts,California,California
EPI_ISL_483508,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_483509,California,California,California,California,California,California,California,California,California,California,Iowa,Michigan
EPI_ISL_483514,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_483517,California,California,California,California,California,California,California,California,California,California,California,California
EPI_ISL_483521,California,Oregon,California,California,California,California,California,California,California,California,California,California
EPI_ISL_483522,California,California,California,California,California,California,California,California,California,California,California,California
