strain,nextstrain_0,nextstrain_1,nextstrain_2,nextstrain_3,nextstrain_4,nextstrain_5,nextstrain_6,nextstrain_7,nextstrain_8,nextstrain_9,tnet_bias, tnet_random_sample
EPI_ISL_458007,NorthCarolina,Michigan,Wyoming,Michigan,NewJersey,Illinois,NorthCarolina,Michigan,Minnesota,Wyoming,NorthCarolina,NorthCarolina
EPI_ISL_454829,Pennsylvania,Oregon,Michigan,Pennsylvania,Louisiana,Virginia,Connecticut,NorthCarolina,California,Washington,Pennsylvania,NorthCarolina
EPI_ISL_454798,NewYork,Virginia,NewYork,NewYork,NewYork,NorthCarolina,NewYork,NorthCarolina,NewYork,NewYork,NewYork,NewYork
EPI_ISL_454799,Michigan,NorthCarolina,Oregon,Michigan,Maryland,Maryland,Virginia,Texas,NewYork,Louisiana,Michigan,Michigan
EPI_ISL_454800,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina
EPI_ISL_454803,NorthCarolina,Minnesota,NorthCarolina,NewYork,NorthCarolina,NorthCarolina,Maryland,Connecticut,Michigan,NorthCarolina,Michigan,NorthCarolina
EPI_ISL_454804,NorthCarolina,NorthCarolina,NorthCarolina,Minnesota,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina
EPI_ISL_454825,NorthCarolina,NorthCarolina,NorthCarolina,Washington,Washington,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina
EPI_ISL_454806,Illinois,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,Illinois,NorthCarolina,NorthCarolina
EPI_ISL_454807,Pennsylvania,Michigan,NewYork,NorthCarolina,NorthCarolina,NorthCarolina,NewYork,NorthCarolina,Utah,Florida,NorthCarolina,NorthCarolina
EPI_ISL_454808,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina
EPI_ISL_454809,Washington,Florida,Michigan,Minnesota,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,Pennsylvania,Connecticut,California,NorthCarolina
EPI_ISL_454810,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina
EPI_ISL_454811,NorthCarolina,NorthCarolina,NorthCarolina,Maryland,Pennsylvania,NorthCarolina,Wisconsin,NorthCarolina,Pennsylvania,Pennsylvania,Pennsylvania,NorthCarolina
EPI_ISL_454812,NorthCarolina,Florida,NewYork,NewYork,NewYork,NewYork,NewYork,NorthCarolina,NewYork,NewYork,Florida,NorthCarolina
EPI_ISL_454813,Maryland,Maryland,Iowa,Michigan,NewYork,Maryland,Maryland,Arizona,NorthCarolina,California,Arizona,Maryland
EPI_ISL_454814,Washington,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,Washington,NorthCarolina,Washington,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina
EPI_ISL_454815,Pennsylvania,Virginia,NewYork,NorthCarolina,Louisiana,Virginia,Maryland,Louisiana,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina
EPI_ISL_454816,Wisconsin,NorthCarolina,Connecticut,Wyoming,Utah,Massachusetts,Alaska,Illinois,Utah,NorthCarolina,Utah,NorthCarolina
EPI_ISL_454817,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina
EPI_ISL_454818,Massachusetts,Virginia,Maryland,Virginia,Virginia,Maryland,Virginia,Virginia,Virginia,Virginia,Virginia,Virginia
EPI_ISL_454819,Idaho,Idaho,NorthCarolina,Idaho,Idaho,Idaho,Texas,Louisiana,Idaho,NorthCarolina,Idaho,Idaho
EPI_ISL_454820,Washington,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,Washington,NorthCarolina,Washington,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina
EPI_ISL_454821,Florida,NorthCarolina,NorthCarolina,NorthCarolina,NewJersey,NorthCarolina,NewYork,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina
EPI_ISL_454822,Pennsylvania,Minnesota,NorthCarolina,Minnesota,NewMexico,Connecticut,Michigan,NorthCarolina,Michigan,NorthCarolina,NorthCarolina,NorthCarolina
EPI_ISL_454824,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina
EPI_ISL_454827,NorthCarolina,NewJersey,Michigan,Michigan,NorthCarolina,NewJersey,NorthCarolina,NorthCarolina,Minnesota,NorthCarolina,NorthCarolina,NorthCarolina
EPI_ISL_454828,Michigan,NewYork,Virginia,Minnesota,Texas,Michigan,Illinois,Louisiana,NewYork,Texas,Michigan,NorthCarolina
EPI_ISL_458294,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina
EPI_ISL_458295,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina
EPI_ISL_458296,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina
EPI_ISL_458291,California,California,Illinois,Illinois,Washington,Illinois,California,NorthCarolina,California,Washington,Texas,NorthCarolina
EPI_ISL_458292,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina
EPI_ISL_458293,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina
EPI_ISL_458002,Massachusetts,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina
EPI_ISL_458003,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina
EPI_ISL_458006,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina,NorthCarolina
EPI_ISL_466652,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska
EPI_ISL_475176,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska
EPI_ISL_475178,NewJersey,Wisconsin,Nebraska,Minnesota,Nebraska,Illinois,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska
EPI_ISL_475180,Virginia,Nebraska,Michigan,Nebraska,Nebraska,Nebraska,Minnesota,Minnesota,Minnesota,Nebraska,Nebraska,Nebraska
EPI_ISL_475186,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska
EPI_ISL_466666,Connecticut,Connecticut,Connecticut,Oregon,Nebraska,Oregon,California,California,Michigan,Louisiana,Michigan,Nebraska
EPI_ISL_466667,Virginia,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Oregon,Louisiana,Nebraska,Connecticut,Nebraska,Nebraska
EPI_ISL_466668,Nebraska,NewMexico,Michigan,Nebraska,Maryland,Michigan,Maryland,NewYork,NewMexico,Michigan,Pennsylvania,Nebraska
EPI_ISL_466669,Wyoming,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Florida,Pennsylvania,Nebraska,Minnesota,Nebraska,Nebraska
EPI_ISL_475197,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska
EPI_ISL_475200,Massachusetts,Massachusetts,Massachusetts,Michigan,Massachusetts,Maryland,Massachusetts,Massachusetts,Massachusetts,Virginia,Michigan,Nebraska
EPI_ISL_475201,Illinois,Illinois,Illinois,Maryland,Illinois,Illinois,Maryland,Illinois,Illinois,Maryland,Maryland,Maryland
EPI_ISL_466675,Nebraska,Wisconsin,Nebraska,Nebraska,Nebraska,Virginia,Nebraska,Nebraska,California,NewYork,Nebraska,Nebraska
EPI_ISL_475204,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Maryland,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska
EPI_ISL_466661,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska
EPI_ISL_475209,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska
EPI_ISL_475213,Illinois,Illinois,Nebraska,Maryland,Nebraska,Michigan,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska
EPI_ISL_475216,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Maryland,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska
EPI_ISL_475217,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska
EPI_ISL_475219,Florida,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,NewYork,Connecticut,Nebraska,Louisiana,Nebraska,Nebraska
EPI_ISL_475220,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska
EPI_ISL_475222,California,Alaska,Nebraska,Oregon,Alaska,Oregon,Oregon,Nebraska,Alaska,Oregon,California,Nebraska
EPI_ISL_466678,Pennsylvania,Connecticut,Nebraska,Minnesota,Nebraska,Oregon,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska
EPI_ISL_475225,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska
EPI_ISL_475227,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska
EPI_ISL_475228,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska
EPI_ISL_475231,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska
EPI_ISL_475233,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska
EPI_ISL_466680,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska,Nebraska
EPI_ISL_424875,California,Utah,California,Utah,California,Utah,California,California,California,Utah,California,California
EPI_ISL_452116,NewJersey,NewJersey,NewJersey,NewJersey,NewJersey,NewJersey,NewYork,NewJersey,NewJersey,NewJersey,NewJersey,NewJersey
EPI_ISL_452117,NewJersey,Minnesota,Wisconsin,NewJersey,Wisconsin,NewJersey,Wisconsin,NewJersey,Wisconsin,Arizona,Arizona,NewJersey
EPI_ISL_421718,NewJersey,NewJersey,NewJersey,Virginia,NewJersey,NewJersey,NewJersey,NewJersey,NewJersey,NewJersey,NewJersey,NewJersey
EPI_ISL_421723,Oregon,Oregon,Massachusetts,Washington,California,Wisconsin,Wisconsin,NewYork,NewYork,NewJersey,Oregon,NewJersey
EPI_ISL_430356,NewJersey,Florida,NewJersey,NewYork,NewJersey,Minnesota,NewJersey,NewJersey,NewJersey,Louisiana,NewYork,NewJersey
EPI_ISL_430371,Massachusetts,NewYork,Florida,Wisconsin,NewJersey,California,Massachusetts,Minnesota,Oregon,NewJersey,Oregon,Oregon
EPI_ISL_430394,NewMexico,NewYork,NewJersey,Oregon,Utah,California,NewYork,Michigan,NewYork,Louisiana,NewYork,NewJersey
EPI_ISL_430405,Utah,NewYork,NewJersey,Wisconsin,NewYork,NewJersey,NewMexico,Utah,NewJersey,NewJersey,Oregon,NewJersey
EPI_ISL_430428,Virginia,Virginia,NewYork,NewJersey,NewYork,NewYork,NewYork,Michigan,NewYork,NewYork,California,NewJersey
EPI_ISL_435483,NewYork,NewYork,Oregon,NewYork,NewJersey,NewYork,NewYork,NewYork,NewYork,NewJersey,NewYork,NewJersey
EPI_ISL_435488,Texas,NewJersey,California,NewYork,Florida,NewJersey,NewJersey,NewJersey,Connecticut,Texas,NewYork,NewYork
EPI_ISL_435519,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork
EPI_ISL_444655,NewYork,NewJersey,NewYork,NewJersey,Arizona,NewYork,NewJersey,NewJersey,NewJersey,NewJersey,NewJersey,NewJersey
EPI_ISL_444670,NewYork,NewJersey,NewYork,NewJersey,Louisiana,NewYork,NewJersey,NewJersey,NewJersey,NewJersey,NewJersey,NewJersey
EPI_ISL_444742,NewYork,NewJersey,NewJersey,NewYork,NewJersey,Connecticut,NewJersey,Idaho,NewJersey,Connecticut,NewJersey,NewJersey
EPI_ISL_444744,Virginia,Connecticut,Wyoming,Wyoming,Louisiana,NewJersey,Wyoming,Wyoming,NewYork,NewYork,NewYork,NewJersey
EPI_ISL_444755,NewYork,Connecticut,Connecticut,Connecticut,NewYork,Connecticut,NewYork,NewYork,Connecticut,NewYork,NewYork,NewYork
EPI_ISL_444780,NewYork,NewYork,NewYork,NewJersey,NewJersey,NewYork,NewYork,NewYork,NewYork,NewJersey,NewYork,NewJersey
EPI_ISL_450399,NewYork,NewYork,Oregon,Oregon,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork
EPI_ISL_421584,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork
EPI_ISL_421585,NewJersey,Connecticut,NewJersey,NewJersey,Louisiana,NewJersey,NewYork,NewJersey,NewYork,NewJersey,NewJersey,NewJersey
EPI_ISL_456113,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts,Massachusetts
EPI_ISL_450049,NewYork,Virginia,Michigan,Michigan,NewJersey,NorthCarolina,NewYork,Minnesota,Michigan,Michigan,NewYork,NewJersey
EPI_ISL_467875,NewYork,Virginia,Ohio,Connecticut,NewYork,Connecticut,NewYork,Ohio,NewYork,Connecticut,Connecticut,Connecticut
EPI_ISL_467876,Wisconsin,Pennsylvania,NewJersey,Oregon,Wisconsin,Maryland,Wisconsin,NewJersey,California,NewJersey,Wisconsin,Wisconsin
EPI_ISL_467878,Virginia,Michigan,Connecticut,Minnesota,Connecticut,Michigan,NewYork,Texas,NewYork,Connecticut,Maryland,NewJersey
EPI_ISL_467879,Wisconsin,Virginia,Connecticut,NewJersey,NewJersey,Wisconsin,NewJersey,NewJersey,NewJersey,Connecticut,Wisconsin,Wisconsin
EPI_ISL_467880,California,California,California,California,California,NewJersey,California,Illinois,California,Wisconsin,California,California
EPI_ISL_467881,NewJersey,Michigan,Connecticut,NewYork,Louisiana,California,NewYork,Louisiana,Michigan,Louisiana,California,California
EPI_ISL_467882,California,Virginia,Virginia,California,NewYork,NewYork,NewJersey,Virginia,NewYork,Virginia,California,NewJersey
EPI_ISL_467883,Pennsylvania,NewYork,NewJersey,Maryland,NewJersey,NewYork,NewJersey,Florida,NewJersey,Louisiana,Maryland,NewJersey
EPI_ISL_484932,NewJersey,NewYork,NewYork,NewYork,Wisconsin,NewYork,NewYork,Wisconsin,NewYork,NewYork,Wisconsin,Wisconsin
EPI_ISL_491319,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Illinois,Wisconsin,Illinois,Illinois
EPI_ISL_424901,Pennsylvania,Oregon,Maryland,Pennsylvania,Maryland,Maryland,NewMexico,Pennsylvania,Pennsylvania,Pennsylvania,Maryland,Pennsylvania
EPI_ISL_424878,NewJersey,NewJersey,NewJersey,NewJersey,NewJersey,NewJersey,NewJersey,NewJersey,NewJersey,NewJersey,NewJersey,NewJersey
EPI_ISL_452109,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Arizona,Pennsylvania,Pennsylvania,Maryland,Arizona
EPI_ISL_467590,NewMexico,NewMexico,NewMexico,NewMexico,Maryland,NewMexico,Washington,Maryland,NewMexico,Minnesota,Pennsylvania,Maryland
EPI_ISL_467591,Pennsylvania,Michigan,Michigan,Minnesota,Michigan,Maryland,NewYork,Michigan,Michigan,Louisiana,Michigan,NewMexico
EPI_ISL_467594,Illinois,Michigan,Minnesota,Maryland,Michigan,California,Florida,Louisiana,Maryland,Louisiana,NewMexico,NewMexico
EPI_ISL_467598,Pennsylvania,NewMexico,NorthCarolina,NorthCarolina,Maryland,Connecticut,NewMexico,NewMexico,Michigan,Connecticut,NewMexico,NewMexico
EPI_ISL_467599,Pennsylvania,NewMexico,Wisconsin,Texas,NewMexico,Connecticut,NewMexico,NewMexico,Michigan,Maryland,NewMexico,NewMexico
EPI_ISL_467600,Minnesota,NewMexico,Michigan,NewMexico,NewMexico,NorthCarolina,NewMexico,NewMexico,Connecticut,NewMexico,NewMexico,NewMexico
EPI_ISL_467608,Texas,Nebraska,NewMexico,Nebraska,California,NewMexico,Nebraska,Nebraska,Nebraska,Texas,Florida,NewMexico
EPI_ISL_467610,Michigan,Minnesota,Connecticut,Maryland,Louisiana,NewMexico,NewYork,Michigan,Maryland,NewMexico,NewMexico,NewMexico
EPI_ISL_467611,Connecticut,NewYork,Michigan,Michigan,NewMexico,NewMexico,NewYork,Michigan,NewMexico,Minnesota,NewMexico,NewMexico
EPI_ISL_467612,NewMexico,Minnesota,NorthCarolina,Maryland,Minnesota,Michigan,NewMexico,NewMexico,Connecticut,Texas,NewMexico,NewMexico
EPI_ISL_467529,California,NewMexico,California,NewMexico,NewMexico,California,California,California,NewMexico,Wyoming,California,NewMexico
EPI_ISL_467633,NewYork,Michigan,Michigan,NewMexico,Texas,NewMexico,NewMexico,Michigan,Michigan,NewMexico,Michigan,NewMexico
EPI_ISL_467545,NewMexico,Pennsylvania,NewMexico,NewMexico,NewMexico,Connecticut,Florida,NewMexico,NewMexico,Pennsylvania,NewMexico,NewMexico
EPI_ISL_467644,NewMexico,Connecticut,NewMexico,NewMexico,NewMexico,NewMexico,NewMexico,NewMexico,NewMexico,NewMexico,NewMexico,NewMexico
EPI_ISL_467551,NewMexico,Pennsylvania,NewMexico,NewMexico,NewMexico,NewMexico,NewMexico,NewMexico,NewMexico,NewMexico,NewMexico,NewMexico
EPI_ISL_467552,Pennsylvania,NewMexico,Oregon,NewMexico,NewMexico,Maryland,NewMexico,NewMexico,NewMexico,NewMexico,NewMexico,NewMexico
EPI_ISL_467652,NewMexico,NewMexico,NewMexico,NewMexico,Maryland,NewMexico,NewMexico,NewMexico,NewMexico,NewMexico,NewMexico,NewMexico
EPI_ISL_467563,Pennsylvania,NewMexico,Virginia,Maryland,Louisiana,Maryland,NewYork,Louisiana,Michigan,Louisiana,Michigan,NewMexico
EPI_ISL_467564,NewMexico,NewMexico,NewMexico,NewMexico,Maryland,NewMexico,NewMexico,NewMexico,NewMexico,NewMexico,NewMexico,NewMexico
EPI_ISL_467653,Michigan,NewYork,Minnesota,Michigan,NewMexico,NewMexico,NewYork,Virginia,NewYork,Louisiana,NewMexico,NewMexico
EPI_ISL_467654,Michigan,California,Connecticut,Michigan,Michigan,NewYork,NewYork,NewYork,NewMexico,NewMexico,Michigan,NewMexico
EPI_ISL_467572,Pennsylvania,NewMexico,Michigan,NewMexico,NewMexico,Washington,Maryland,NewMexico,NewMexico,Louisiana,NewMexico,NewMexico
EPI_ISL_467577,Pennsylvania,NewMexico,Virginia,NewMexico,NewMexico,Virginia,NewMexico,Utah,NewMexico,NewMexico,NewMexico,NewMexico
EPI_ISL_467661,California,NewMexico,Michigan,NewYork,Nebraska,Michigan,Michigan,NewMexico,NewMexico,NewMexico,Michigan,NewMexico
EPI_ISL_467583,NewMexico,Wisconsin,NewMexico,NewMexico,NewMexico,Virginia,NewMexico,Utah,Wisconsin,NewMexico,NewMexico,NewMexico
EPI_ISL_485872,NewMexico,Pennsylvania,NewMexico,NewMexico,Wisconsin,Wisconsin,NewMexico,NewMexico,Maryland,Texas,NewMexico,NewMexico
EPI_ISL_467945,NewYork,NewYork,NewYork,Michigan,Utah,NewYork,NewYork,NewYork,NewYork,Louisiana,NewYork,NewYork
EPI_ISL_424943,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork
EPI_ISL_424965,NewYork,Connecticut,Connecticut,Connecticut,NewYork,Connecticut,NewYork,NewYork,Connecticut,NewYork,NewYork,NewYork
EPI_ISL_426617,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork
EPI_ISL_426621,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork
EPI_ISL_427494,Minnesota,Minnesota,NewYork,NewYork,Minnesota,Minnesota,NewYork,Minnesota,NewYork,NewYork,NewYork,NewYork
EPI_ISL_427495,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork
EPI_ISL_427496,Florida,NewYork,NewYork,Florida,NewYork,NewYork,NewYork,Florida,NewYork,Florida,NewYork,NewYork
EPI_ISL_427507,Michigan,NewYork,NewYork,NewYork,NewMexico,NewYork,NewYork,NewYork,NewYork,Michigan,NewYork,NewYork
EPI_ISL_427511,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork
EPI_ISL_427635,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork
EPI_ISL_427636,NewYork,Michigan,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork
EPI_ISL_427637,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork
EPI_ISL_427638,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork
EPI_ISL_428765,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork
EPI_ISL_428778,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork
EPI_ISL_428798,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,Florida,NewYork,Oregon,NewYork
EPI_ISL_430323,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork
EPI_ISL_416831,NewYork,NewYork,Arizona,NewYork,NewYork,NewYork,NewYork,Missouri,NewYork,NewYork,Oregon,NewYork
EPI_ISL_430366,Pennsylvania,Oregon,Virginia,Oregon,Virginia,Virginia,NewMexico,NewYork,Pennsylvania,Oregon,NewYork,NewYork
EPI_ISL_430376,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,California,Oregon,Oregon,NewYork
EPI_ISL_430395,NewYork,NewYork,NewYork,Connecticut,Connecticut,Connecticut,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork
EPI_ISL_430404,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork
EPI_ISL_430413,Oregon,NewYork,California,NewYork,Maryland,NewYork,NewYork,California,NewYork,California,California,California
EPI_ISL_430417,Michigan,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork
EPI_ISL_430421,NewYork,Connecticut,NewYork,NewYork,NewYork,NewYork,Connecticut,NewYork,NewYork,NewYork,NewYork,NewYork
EPI_ISL_430426,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork
EPI_ISL_430433,California,California,California,California,California,California,California,Utah,California,Oregon,California,NewYork
EPI_ISL_430434,NewYork,NewYork,NewYork,NewYork,NewYork,Wyoming,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork
EPI_ISL_419702,NewYork,Florida,NewYork,NewYork,NewYork,NewYork,NewYork,Florida,Florida,Florida,Florida,Florida
EPI_ISL_435496,NewMexico,Oregon,Oregon,NewYork,NewYork,Maryland,NewMexico,NewYork,Florida,Oregon,NewYork,NewYork
EPI_ISL_435515,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork
EPI_ISL_435517,NewYork,Connecticut,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,Idaho,NewYork,NewYork
EPI_ISL_435524,Florida,NewYork,NewYork,NewYork,NewYork,Florida,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork
EPI_ISL_435544,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork
EPI_ISL_435546,Texas,Louisiana,Texas,Louisiana,NewYork,Louisiana,Louisiana,Idaho,Louisiana,NewYork,Louisiana,Louisiana
EPI_ISL_444619,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork
EPI_ISL_444643,NewYork,Connecticut,Oregon,NewYork,Louisiana,NewYork,NewYork,NewYork,NewYork,Louisiana,NewYork,NewYork
EPI_ISL_444651,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewJersey,NewYork,NewYork
EPI_ISL_420571,Michigan,Michigan,California,NewYork,NewYork,NewYork,NewYork,California,NewYork,Maryland,NewYork,NewYork
EPI_ISL_444688,NewYork,Minnesota,NewYork,NewYork,NewYork,NewYork,NewYork,California,NewYork,NewYork,NewYork,NewYork
EPI_ISL_444690,NewYork,NewYork,NewYork,NewYork,Michigan,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork
EPI_ISL_444696,Connecticut,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,Maryland,NewYork,Oregon,NewYork,NewYork
EPI_ISL_444715,NewYork,NewYork,Virginia,NewYork,NewYork,Virginia,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork
EPI_ISL_444754,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,NewYork,Michigan,NewYork,NewYork
