edges,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
Wyoming->Michigan,0.00,0.10,0.88,0.50,0.00,0.00,0.00
Michigan->NewYork,0.00,0.50,1.09,1.40,0.00,0.00,0.00
Pennsylvania->Michigan,0.00,0.10,1.45,1.65,0.00,0.00,0.00
NewYork->Maryland,0.00,0.30,1.60,2.33,0.00,0.00,0.00
California->Florida,0.00,0.00,1.19,1.27,0.13,0.00,0.00
Florida->Arizona,0.00,0.20,1.88,0.76,0.00,0.00,0.00
Florida->Pennsylvania,0.10,0.50,2.24,2.06,0.10,0.00,0.00
NewYork->Arizona,0.00,0.20,0.98,1.70,0.00,0.00,0.00
NewYork->Florida,0.10,0.10,1.40,2.00,0.00,0.00,0.00
Virginia->California,0.00,0.00,0.68,0.89,0.20,0.00,0.00
California->Arizona,0.10,0.00,1.08,1.90,0.00,0.00,0.00
NewYork->Pennsylvania,0.00,0.10,1.21,1.50,0.05,0.00,0.00
Utah->California,0.50,0.21,0.91,1.16,0.10,0.00,0.00
Utah->Wisconsin,0.30,0.10,0.70,0.90,0.40,0.10,0.10
Illinois->Texas,0.10,0.09,0.10,1.19,0.00,0.00,0.00
Illinois->Massachusetts,0.10,0.10,0.10,0.48,0.40,1.00,0.50
Massachusetts->Virginia,0.40,0.10,3.00,1.80,0.00,0.00,0.00
Utah->Washington,0.00,0.10,0.80,0.20,0.40,0.00,0.00
Minnesota->Maryland,0.00,0.20,0.50,1.14,0.00,0.00,0.00
Minnesota->Texas,0.00,0.10,0.80,0.60,0.00,0.00,0.00
Maryland->NewJersey,0.00,0.20,0.40,0.90,0.00,0.00,0.00
Utah->Minnesota,0.00,0.20,1.36,0.51,0.00,0.00,0.00
Virginia->Oregon,0.00,0.10,0.60,0.52,0.00,0.00,0.00
Virginia->Pennsylvania,0.10,0.00,0.32,1.12,0.00,0.00,0.00
Arizona->Georgia,0.00,0.30,1.10,0.86,0.00,0.00,0.00
Washington->Virginia,0.00,0.00,2.00,0.80,0.00,0.00,0.00
NewYork->Wyoming,0.10,0.10,1.16,1.70,0.00,0.00,0.00
Louisiana->Utah,0.10,0.10,2.21,1.49,0.30,0.00,0.00
NorthCarolina->Florida,0.00,0.00,0.30,0.44,0.00,0.00,0.00
SouthCarolina->Georgia,0.00,0.00,1.30,0.39,0.00,0.00,0.00
Georgia->Minnesota,0.00,0.00,0.91,0.30,0.00,0.00,0.00
Idaho->Louisiana,0.00,0.00,0.70,2.00,0.00,0.00,0.00
California->Wyoming,0.20,0.20,0.75,0.56,0.00,0.00,0.00
California->Alaska,0.00,0.00,0.93,0.80,0.00,0.00,0.00
California->Maryland,0.10,0.00,0.70,1.80,0.00,0.00,0.00
Oregon->California,0.00,0.07,1.47,2.86,0.30,0.00,0.00
Michigan->Nebraska,0.00,0.10,0.69,1.50,0.00,0.00,0.00
Michigan->Connecticut,0.00,0.20,1.89,1.34,0.00,0.00,0.00
Texas->Louisiana,0.00,0.10,0.70,0.74,0.00,0.00,0.00
NewYork->Wisconsin,0.00,0.10,0.80,1.30,0.00,0.00,0.20
Utah->Illinois,0.40,0.11,1.26,0.30,0.00,0.00,0.00
Connecticut->NewMexico,0.00,0.00,1.00,0.80,0.00,0.00,0.00
Washington->Oregon,0.00,0.00,1.20,1.10,0.20,0.00,0.00
California->Michigan,0.10,0.20,1.44,2.33,0.03,0.00,0.00
Massachusetts->NorthCarolina,0.30,0.10,2.40,1.20,0.00,0.00,0.00
Connecticut->Maryland,0.00,0.00,1.20,1.10,0.00,0.00,0.00
Massachusetts->Maryland,0.00,0.00,1.30,1.00,0.00,0.00,0.00
Pennsylvania->NorthCarolina,0.00,0.00,0.65,0.88,0.00,0.00,0.00
Pennsylvania->Utah,0.00,0.00,0.50,0.90,0.00,0.00,0.00
Pennsylvania->Nebraska,0.00,0.00,0.30,0.30,0.00,0.00,0.00
Utah->Alaska,0.30,0.10,0.60,0.50,0.00,0.00,0.00
Wisconsin->NewJersey,0.00,0.00,1.17,0.70,0.00,0.30,0.60
Pennsylvania->Wisconsin,0.00,0.00,0.20,1.42,0.00,0.00,0.00
Arizona->Wisconsin,0.00,0.00,0.00,1.70,0.10,0.00,0.00
Florida->Maryland,0.00,0.30,0.98,1.08,0.00,0.00,0.00
NorthCarolina->Massachusetts,0.00,0.00,0.40,0.09,0.00,0.00,0.00
Florida->NorthCarolina,0.00,0.10,0.50,1.38,0.00,0.00,0.00
NewYork->Utah,0.00,0.30,1.61,0.70,0.00,0.00,0.00
Virginia->NewYork,0.00,0.10,1.17,0.79,0.00,0.00,0.00
Oregon->Virginia,0.00,0.00,1.60,1.14,0.00,0.00,0.00
Oregon->NewYork,0.00,0.10,2.98,1.24,0.00,0.00,0.00
Texas->California,0.20,0.00,0.70,0.10,0.00,0.00,0.00
Utah->Iowa,0.50,0.10,0.60,0.30,0.00,0.00,0.00
Oregon->Missouri,0.30,0.17,0.79,0.10,0.00,0.00,0.00
Oregon->Alaska,0.20,0.10,0.20,1.00,0.00,0.00,0.00
Oregon->Idaho,0.10,0.00,0.10,0.90,0.00,0.00,0.00
Illinois->Missouri,0.37,0.36,0.00,0.00,0.00,0.00,0.00
Illinois->Utah,0.30,0.09,0.52,0.02,0.00,0.00,0.00
Utah->NorthCarolina,0.20,0.00,0.40,0.40,0.00,0.00,0.00
Illinois->California,0.15,0.44,0.15,0.12,0.30,0.60,0.00
Missouri->California,0.28,0.54,0.22,0.10,0.10,0.00,0.00
Missouri->Pennsylvania,0.20,0.20,0.20,0.00,0.00,0.00,0.00
Missouri->Utah,0.20,0.74,0.10,0.00,0.00,0.00,0.00
Utah->Virginia,0.20,0.20,1.72,1.09,0.00,0.00,0.00
Utah->Missouri,0.40,0.41,0.30,0.30,0.00,0.00,0.00
Maryland->Nebraska,0.00,0.10,1.10,1.30,0.00,0.00,0.00
Maryland->Michigan,0.00,0.10,0.90,1.50,0.00,0.00,0.00
Utah->Arizona,0.20,0.10,0.30,0.40,0.00,0.00,0.00
Utah->Pennsylvania,0.20,0.20,0.30,0.40,0.00,0.00,0.00
NewYork->Texas,0.00,0.20,0.61,1.10,0.20,0.00,0.00
Virginia->Minnesota,0.00,0.00,0.43,0.58,0.00,0.00,0.00
Arizona->Virginia,0.00,0.20,0.84,0.80,0.00,0.00,0.00
Arizona->Washington,0.00,0.80,1.28,0.06,0.00,0.00,0.00
Washington->Massachusetts,0.00,0.00,1.00,0.10,0.00,0.00,0.00
Washington->California,0.00,0.00,1.90,0.10,0.00,0.00,0.00
Idaho->Utah,0.00,0.00,1.10,0.80,0.00,0.00,0.00
Idaho->Wisconsin,0.00,0.00,0.40,1.30,0.00,0.00,0.00
Idaho->Alaska,0.00,0.00,0.80,1.00,0.00,0.00,0.00
Idaho->Texas,0.00,0.00,0.90,0.80,0.00,0.00,0.00
Georgia->SouthCarolina,0.00,0.60,2.01,0.51,0.00,0.00,0.00
NewYork->Minnesota,0.00,0.20,1.10,1.47,0.10,0.00,0.00
Louisiana->Minnesota,0.00,0.00,0.80,1.40,0.00,0.00,0.00
Arizona->Maryland,0.00,0.00,0.60,0.46,0.00,0.00,0.00
NewYork->Alaska,0.00,0.10,0.90,1.10,0.00,0.00,0.00
Alaska->Massachusetts,0.10,0.10,0.40,0.10,0.00,0.00,0.00
Arizona->Louisiana,0.00,0.00,1.19,1.10,0.00,0.00,0.00
Florida->California,0.20,0.20,1.54,1.71,0.07,0.00,0.00
Florida->Virginia,0.00,0.10,1.41,1.50,0.00,0.00,0.00
Maryland->Illinois,0.10,0.10,1.40,0.90,0.00,0.00,0.00
Maryland->California,0.00,0.00,0.80,0.80,0.00,0.00,0.00
NorthCarolina->Illinois,0.00,0.00,0.54,0.11,0.00,0.00,0.00
NorthCarolina->Wyoming,0.00,0.00,0.60,0.00,0.00,0.00,0.00
NorthCarolina->Connecticut,0.00,0.00,0.40,0.60,0.00,0.00,0.00
Michigan->NorthCarolina,0.00,0.00,1.20,1.40,0.00,0.00,0.00
Michigan->Virginia,0.00,0.00,1.01,0.98,0.00,0.00,0.00
Michigan->Texas,0.00,0.20,1.79,2.60,0.00,0.00,0.00
Illinois->NewYork,0.09,0.09,0.22,0.20,0.20,0.70,0.30
Virginia->Illinois,0.00,0.00,0.60,0.40,0.00,0.00,0.00
Washington->Utah,0.00,0.00,1.20,0.90,0.00,0.00,0.00
Washington->Maryland,0.00,0.00,0.10,0.64,0.00,0.00,0.00
Washington->NewYork,0.00,0.00,0.40,0.10,0.00,0.00,0.00
Illinois->NorthCarolina,0.00,0.00,0.44,0.68,0.00,0.00,0.00
Texas->Maryland,0.10,0.00,0.80,2.30,0.00,0.00,0.00
Michigan->Illinois,0.10,0.10,1.10,1.20,0.00,0.00,0.00
NorthCarolina->Virginia,0.00,0.00,0.22,0.55,0.00,0.00,0.00
Connecticut->Washington,0.00,0.00,1.30,1.69,0.00,0.00,0.00
Virginia->Utah,0.00,0.10,1.59,1.09,0.00,0.00,0.00
Washington->Texas,0.00,0.10,1.30,0.20,0.00,0.00,0.00
NewMexico->NewYork,0.00,0.00,0.40,0.40,0.00,0.00,0.00
Virginia->NewJersey,0.00,0.00,0.80,0.50,0.00,0.00,0.00
Massachusetts->Utah,0.50,0.10,1.70,0.20,0.00,0.00,0.00
California->Nebraska,0.00,0.00,0.80,1.21,0.00,0.00,0.00
Maryland->Minnesota,0.00,0.20,0.90,3.16,0.00,0.00,0.00
Alaska->Florida,0.00,0.00,0.20,0.30,0.00,0.00,0.00
Alaska->Michigan,0.00,0.00,0.10,0.50,0.00,0.00,0.00
Wyoming->Pennsylvania,0.00,0.00,0.10,0.40,0.00,0.00,0.00
Wyoming->Virginia,0.10,0.00,0.42,0.20,0.00,0.00,0.00
Wyoming->NorthCarolina,0.00,0.00,0.80,0.40,0.00,0.00,0.00
Florida->Texas,0.00,0.00,0.48,0.91,0.00,0.00,0.00
Massachusetts->Texas,0.00,0.00,1.00,1.80,0.00,0.00,0.00
Pennsylvania->Georgia,0.00,0.00,0.20,0.85,0.00,0.00,0.00
Illinois->NewMexico,0.09,0.00,0.32,0.49,0.00,0.00,0.00
Washington->Michigan,0.00,0.00,0.30,0.70,0.00,0.00,0.00
Michigan->Idaho,0.00,0.00,0.20,0.93,0.00,0.00,0.00
Idaho->Washington,0.00,0.00,0.40,2.81,0.00,0.00,0.00
Minnesota->Wisconsin,0.00,0.00,0.20,1.40,0.00,0.20,0.00
Massachusetts->Connecticut,0.00,0.00,0.60,1.20,0.00,0.00,0.00
Wisconsin->Texas,0.00,0.10,0.80,1.40,0.00,0.00,0.00
Illinois->NewJersey,0.09,0.00,0.10,0.20,0.20,0.40,0.30
Florida->Louisiana,0.00,0.00,0.01,0.93,0.00,0.00,0.00
Arizona->Florida,0.00,0.40,1.32,2.00,0.10,0.00,0.00
Illinois->Arizona,0.00,0.00,0.00,0.19,0.40,0.50,0.10
Pennsylvania->Massachusetts,0.00,0.10,0.20,0.70,0.05,0.00,0.00
Michigan->Wisconsin,0.00,0.30,1.00,1.60,0.00,0.00,0.00
Michigan->Oregon,0.00,0.00,0.00,0.20,0.00,0.00,0.00
Pennsylvania->Virginia,0.00,0.20,0.58,0.70,0.00,0.00,0.00
Illinois->Connecticut,0.00,0.10,0.66,0.29,0.40,0.50,0.00
California->Iowa,0.00,0.00,0.10,0.70,0.40,0.40,0.10
Wisconsin->Minnesota,0.00,0.00,0.00,0.60,0.60,1.70,0.20
Florida->NewMexico,0.00,0.10,0.85,0.53,0.00,0.00,0.00
NorthCarolina->NewYork,0.00,0.00,0.20,0.40,0.00,0.00,0.00
NewYork->Washington,0.10,0.10,1.90,0.66,0.00,0.00,0.00
NorthCarolina->Wisconsin,0.00,0.00,0.20,0.39,0.00,0.00,0.00
Connecticut->Oregon,0.00,0.00,1.64,1.04,0.00,0.00,0.00
Florida->Wisconsin,0.00,0.10,0.42,0.58,0.00,0.00,0.00
Pennsylvania->Arizona,0.00,0.00,0.42,0.45,0.00,0.00,0.00
Oregon->Pennsylvania,0.00,0.10,0.91,1.49,0.00,0.00,0.00
Utah->Nebraska,0.10,0.10,0.00,0.06,0.00,0.00,0.00
Texas->Florida,0.20,0.00,0.10,0.00,0.00,0.00,0.00
Texas->Wisconsin,0.20,0.10,0.20,0.60,0.00,0.00,0.00
Texas->Michigan,0.20,0.00,0.60,0.20,0.00,0.00,0.00
Michigan->California,0.10,0.20,2.18,1.36,0.00,0.00,0.00
Michigan->Missouri,0.10,0.00,0.08,0.18,0.00,0.00,0.00
Oregon->SouthCarolina,0.10,0.00,0.10,0.10,0.00,0.00,0.00
Alaska->Illinois,0.10,0.00,0.00,0.10,0.00,0.00,0.00
Massachusetts->Michigan,0.20,0.00,0.60,0.30,0.00,0.00,0.00
Virginia->Iowa,0.10,0.00,0.00,0.20,0.00,0.00,0.00
Iowa->Arizona,0.20,0.10,0.30,0.40,0.00,0.00,0.00
Iowa->Utah,0.10,0.00,0.10,0.00,0.00,0.00,0.00
Iowa->Missouri,0.10,0.00,0.10,0.00,0.00,0.00,0.00
Missouri->Arizona,0.20,0.10,0.10,0.10,0.00,0.00,0.00
Missouri->NewYork,0.05,0.20,0.34,0.00,0.00,0.00,0.00
Missouri->Texas,0.30,0.51,0.00,0.00,0.00,0.00,0.00
Utah->NewYork,0.00,0.10,0.61,0.40,0.00,0.10,0.10
Pennsylvania->SouthCarolina,0.00,0.10,0.20,0.10,0.00,0.00,0.00
Florida->Washington,0.00,0.20,0.90,0.53,0.00,0.00,0.00
Maryland->NewYork,0.10,0.30,0.20,0.50,0.00,0.00,0.00
Maryland->NewMexico,0.00,0.10,0.50,1.60,0.00,0.00,0.00
Connecticut->Texas,0.00,0.20,0.30,1.00,0.00,0.00,0.00
Louisiana->Pennsylvania,0.00,0.40,1.10,1.00,0.00,0.00,0.00
Louisiana->Florida,0.00,0.20,2.49,2.09,0.00,0.00,0.00
Texas->Arizona,0.10,0.70,0.10,0.00,0.00,0.00,0.00
Texas->Pennsylvania,0.10,0.80,0.10,0.00,0.00,0.00,0.00
Missouri->Washington,0.10,0.48,0.10,0.00,0.10,0.00,0.00
Missouri->Illinois,0.28,0.44,0.20,0.00,0.00,0.00,0.00
Missouri->SouthCarolina,0.10,0.44,0.10,0.00,0.00,0.00,0.00
Texas->NorthCarolina,0.00,0.00,0.70,0.40,0.00,0.00,0.00
Texas->Minnesota,0.00,0.20,0.40,0.50,0.00,0.00,0.00
Missouri->NorthCarolina,0.00,0.00,0.20,0.01,0.00,0.00,0.00
Virginia->Washington,0.00,0.00,0.82,0.19,0.00,0.00,0.00
Virginia->Georgia,0.00,0.00,0.12,0.20,0.00,0.00,0.00
Idaho->Oregon,0.00,0.00,0.70,1.85,0.00,0.00,0.00
NorthCarolina->Pennsylvania,0.00,0.00,0.55,0.02,0.00,0.00,0.00
Arizona->Pennsylvania,0.00,0.20,1.12,0.36,0.00,0.00,0.00
Arizona->California,0.10,0.40,0.95,0.29,0.00,0.00,0.00
Arizona->Oregon,0.00,0.30,0.64,0.00,0.00,0.00,0.00
Oregon->NewJersey,0.00,0.10,1.70,0.50,0.00,0.00,0.00
Oregon->Arizona,0.10,0.10,2.75,0.20,0.00,0.00,0.00
Washington->NorthCarolina,0.00,0.20,0.90,0.40,0.00,0.00,0.00
Idaho->Michigan,0.00,0.00,0.50,0.40,0.00,0.00,0.00
Idaho->Missouri,0.00,0.00,0.60,0.20,0.00,0.00,0.00
Idaho->Massachusetts,0.00,0.00,0.40,0.40,0.00,0.00,0.00
SouthCarolina->Florida,0.00,0.00,0.80,0.71,0.00,0.00,0.00
SouthCarolina->Pennsylvania,0.00,0.20,0.51,0.19,0.00,0.00,0.00
SouthCarolina->Michigan,0.00,0.20,0.60,0.00,0.00,0.00,0.00
Georgia->Illinois,0.00,0.20,0.59,0.30,0.00,0.00,0.00
Idaho->NewYork,0.00,0.00,0.20,0.10,0.00,0.00,0.00
Louisiana->SouthCarolina,0.00,0.00,0.30,0.10,0.00,0.00,0.00
California->Idaho,0.00,0.00,0.10,0.00,0.00,0.00,0.00
Arizona->NewYork,0.10,0.10,0.67,0.64,0.00,0.00,0.00
Arizona->NewJersey,0.00,0.10,0.73,0.60,0.00,0.00,0.00
NewJersey->Pennsylvania,0.00,0.00,0.40,0.00,0.00,0.00,0.00
NewJersey->Ohio,0.00,0.10,0.10,0.16,0.00,0.00,0.00
NewJersey->NewYork,0.00,0.10,1.08,0.31,0.00,0.00,0.00
NewJersey->Virginia,0.10,0.00,0.22,0.16,0.00,0.00,0.00
NewYork->Illinois,0.00,0.01,0.81,1.01,0.00,0.00,0.00
Illinois->Alaska,0.00,0.00,0.10,0.00,0.00,0.00,0.00
Illinois->Washington,0.00,0.40,0.39,0.20,0.00,0.00,0.00
Alaska->Virginia,0.00,0.00,0.10,0.30,0.00,0.00,0.00
Missouri->Virginia,0.00,0.20,0.20,0.40,0.00,0.00,0.00
Florida->Alaska,0.00,0.00,0.78,0.40,0.00,0.00,0.00
Florida->Missouri,0.00,0.00,0.48,0.10,0.00,0.00,0.00
Missouri->Florida,0.00,0.34,0.40,0.26,0.00,0.00,0.00
Missouri->Wyoming,0.00,0.10,0.10,0.04,0.00,0.00,0.00
Missouri->Minnesota,0.00,0.10,0.30,0.18,0.00,0.00,0.00
Georgia->Pennsylvania,0.00,0.10,0.60,0.20,0.00,0.00,0.00
Georgia->Virginia,0.00,0.00,0.60,0.00,0.00,0.00,0.00
Georgia->Maryland,0.00,0.00,0.20,0.00,0.00,0.00,0.00
Maryland->Virginia,0.10,0.20,0.90,2.20,0.00,0.00,0.00
Maryland->Florida,0.00,0.10,1.50,0.60,0.00,0.00,0.00
Maryland->Ohio,0.00,0.00,1.00,0.53,0.00,0.00,0.00
Utah->Ohio,0.00,0.00,0.20,0.41,0.00,0.00,0.00
Connecticut->NorthCarolina,0.00,0.20,0.40,0.30,0.00,0.00,0.00
NorthCarolina->NewMexico,0.00,0.00,0.20,0.12,0.00,0.00,0.00
Wyoming->NewYork,0.00,0.00,0.70,0.10,0.00,0.00,0.00
Michigan->NewJersey,0.00,0.00,0.50,0.60,0.00,0.00,0.00
Michigan->Alaska,0.00,0.10,0.28,0.50,0.00,0.00,0.00
Michigan->Florida,0.00,0.10,1.90,1.18,0.00,0.00,0.00
Michigan->NewMexico,0.00,0.00,1.50,1.50,0.00,0.00,0.00
Texas->Illinois,0.10,0.00,0.30,0.90,0.00,0.00,0.00
Texas->Connecticut,0.00,0.00,0.20,0.10,0.00,0.00,0.00
Florida->Massachusetts,0.00,0.30,1.18,0.81,0.05,0.00,0.00
Utah->Wyoming,0.00,0.00,0.90,0.40,0.00,0.00,0.00
Connecticut->Massachusetts,0.00,0.00,0.40,0.30,0.00,0.00,0.00
Florida->Connecticut,0.10,0.00,1.20,0.42,0.00,0.00,0.00
Virginia->Wyoming,0.00,0.00,0.40,0.30,0.00,0.00,0.00
Virginia->Alaska,0.00,0.00,0.40,0.10,0.00,0.00,0.00
Virginia->Missouri,0.00,0.00,0.12,0.00,0.00,0.00,0.00
NorthCarolina->Washington,0.00,0.00,0.30,0.00,0.00,0.00,0.00
Washington->Pennsylvania,0.00,0.00,0.30,0.34,0.00,0.00,0.00
SouthCarolina->Illinois,0.00,0.25,0.60,0.09,0.00,0.00,0.00
Illinois->Georgia,0.00,0.20,0.30,0.80,0.00,0.00,0.00
Michigan->SouthCarolina,0.00,0.00,0.50,0.00,0.00,0.00,0.00
Connecticut->Idaho,0.00,0.00,1.20,2.04,0.00,0.00,0.00
Virginia->NorthCarolina,0.10,0.00,0.40,1.55,0.00,0.00,0.00
Connecticut->Nebraska,0.00,0.10,0.60,0.30,0.00,0.00,0.00
Washington->Wyoming,0.00,0.00,0.70,0.26,0.00,0.00,0.00
Texas->Massachusetts,0.10,0.00,0.40,0.70,0.00,0.00,0.00
Texas->Wyoming,0.00,0.00,0.30,0.70,0.00,0.00,0.00
Massachusetts->Georgia,0.10,0.00,0.40,0.10,0.00,0.00,0.00
Massachusetts->Alaska,0.10,0.10,0.80,0.60,0.00,0.00,0.00
Georgia->NorthCarolina,0.00,0.00,0.31,0.30,0.00,0.00,0.00
Georgia->Massachusetts,0.00,0.00,0.20,0.10,0.00,0.00,0.00
Georgia->Florida,0.00,0.30,0.70,0.10,0.00,0.00,0.00
Oregon->Maryland,0.00,0.00,1.30,1.20,0.00,0.00,0.00
Maryland->Massachusetts,0.10,0.10,0.50,1.10,0.00,0.00,0.00
Alaska->Maryland,0.00,0.00,0.10,0.00,0.00,0.00,0.00
Alaska->Nebraska,0.00,0.00,0.10,0.10,0.00,0.00,0.00
Alaska->Pennsylvania,0.00,0.00,0.10,0.00,0.00,0.00,0.00
Pennsylvania->Minnesota,0.00,0.10,0.60,0.20,0.00,0.00,0.00
Nebraska->Illinois,0.00,0.00,0.10,0.20,0.00,0.00,0.00
Nebraska->Connecticut,0.00,0.00,0.20,0.00,0.00,0.00,0.00
Nebraska->Minnesota,0.00,0.00,0.10,0.00,0.00,0.00,0.00
Nebraska->Maryland,0.00,0.00,0.20,0.20,0.00,0.00,0.00
Minnesota->Illinois,0.10,0.00,0.40,0.20,0.00,0.00,0.00
Minnesota->NewJersey,0.00,0.00,0.20,0.10,0.00,0.00,0.00
Minnesota->Alaska,0.00,0.00,0.10,0.10,0.00,0.00,0.00
Minnesota->NorthCarolina,0.00,0.10,0.30,0.60,0.00,0.00,0.00
Wyoming->Texas,0.10,0.10,0.30,0.10,0.00,0.00,0.00
Wyoming->Maryland,0.00,0.00,0.50,0.20,0.00,0.00,0.00
Wyoming->NewMexico,0.00,0.00,0.10,0.40,0.00,0.00,0.00
Wyoming->Utah,0.00,0.00,0.20,0.00,0.00,0.00,0.00
Florida->Nebraska,0.00,0.00,0.50,0.30,0.00,0.00,0.00
Michigan->Washington,0.00,0.00,0.50,0.10,0.00,0.00,0.00
Connecticut->Utah,0.00,0.10,0.80,1.10,0.00,0.00,0.00
NewMexico->Michigan,0.00,0.00,0.60,0.70,0.00,0.00,0.00
Michigan->Minnesota,0.00,0.20,2.00,1.60,0.00,0.00,0.00
Pennsylvania->Washington,0.00,0.00,0.20,0.45,0.00,0.00,0.00
Alaska->Iowa,0.00,0.00,0.10,0.10,0.00,0.00,0.00
Oregon->Wisconsin,0.00,0.10,0.37,1.00,0.20,0.10,0.00
NewYork->NewMexico,0.00,0.00,0.50,0.60,0.00,0.00,0.00
NewMexico->Illinois,0.00,0.00,0.60,0.20,0.00,0.00,0.00
NewMexico->Minnesota,0.00,0.00,0.30,0.20,0.00,0.00,0.00
NewYork->Nebraska,0.00,0.00,0.31,0.40,0.00,0.00,0.00
Washington->Nebraska,0.00,0.00,0.00,0.10,0.00,0.00,0.00
Illinois->Michigan,0.09,0.20,0.32,0.50,0.00,0.00,0.00
Illinois->Minnesota,0.00,0.00,0.27,0.70,0.00,0.00,0.00
Washington->Idaho,0.00,0.00,0.10,0.80,0.00,0.00,0.00
NorthCarolina->California,0.00,0.00,0.20,0.20,0.00,0.00,0.00
Utah->Maryland,0.00,0.00,0.10,0.70,0.00,0.00,0.00
Virginia->Ohio,0.00,0.00,0.12,0.30,0.00,0.00,0.00
Minnesota->Utah,0.00,0.00,0.50,0.30,0.00,0.00,0.00
Minnesota->NewMexico,0.00,0.10,0.10,0.40,0.00,0.00,0.00
Massachusetts->Ohio,0.00,0.00,0.00,0.10,0.00,0.00,0.00
Florida->Wyoming,0.00,0.00,0.50,0.70,0.00,0.00,0.00
NewYork->NorthCarolina,0.00,0.00,0.60,1.00,0.00,0.00,0.00
NorthCarolina->Texas,0.00,0.00,0.00,0.40,0.00,0.00,0.00
NorthCarolina->Maryland,0.00,0.00,0.10,0.40,0.00,0.00,0.00
Virginia->Wisconsin,0.10,0.00,0.42,1.58,0.00,0.00,0.00
Louisiana->California,0.10,0.00,0.80,1.30,0.10,0.00,0.00
