strain	virus	date	country
EPI_ISL_420615	hCoV-19	2020-03-23	France
EPI_ISL_417006	hCoV-19	2020-03-05	Belgium
EPI_ISL_420159	hCoV-19	2020-03-29	England
EPI_ISL_422825	hCoV-19	2020-03-03	Netherlands
EPI_ISL_422647	hCoV-19	2020-03-19	Netherlands
EPI_ISL_421734	hCoV-19	2020-03-17	Luxembourg
EPI_ISL_418514	hCoV-19	2020-01-25	China
EPI_ISL_424644	hCoV-19	2020-04-04	Belgium
EPI_ISL_425573	hCoV-19	2020-03-23	England
EPI_ISL_417337	hCoV-19	2020-03-07	France
EPI_ISL_420191	hCoV-19	2020-03-27	England
EPI_ISL_419938	hCoV-19	2020-03-21	Australia
EPI_ISL_404228	hCoV-19	2020-01-17	China
EPI_ISL_414532	hCoV-19	2020-03-05	Netherlands
EPI_ISL_411926	hCoV-19	2020-01-24	Taiwan
EPI_ISL_416474	hCoV-19	2020-01-28	China
EPI_ISL_422854	hCoV-19	2020-03-18	Netherlands
EPI_ISL_424345	hCoV-19	2020-03-12	Mexico
EPI_ISL_416622	hCoV-19	2020-02-17	Japan
EPI_ISL_425773	hCoV-19	2020-03-13	Scotland
EPI_ISL_416369	hCoV-19	2020-02-05	China
EPI_ISL_419869	hCoV-19	2020-03-18	Australia
EPI_ISL_416320	hCoV-19	2020-01-28	China
EPI_ISL_413518	hCoV-19	2020-01-26	China
EPI_ISL_420353	hCoV-19	2020-03-05	Belgium
EPI_ISL_416389	hCoV-19	2020-01-21	China
EPI_ISL_425976	hCoV-19	2020-03-30	Scotland
EPI_ISL_412983	hCoV-19	2020-02-08	China
EPI_ISL_422649	hCoV-19	2020-03-18	Netherlands
EPI_ISL_416994	hCoV-19	2020-03-04	Spain
EPI_ISL_417491	hCoV-19	2020-03-03	Italy
EPI_ISL_421221	hCoV-19	2020-03-15	China
EPI_ISL_417185	hCoV-19	2020-02-09	Hong Kong
EPI_ISL_412979	hCoV-19	2020-01-18	China
EPI_ISL_416367	hCoV-19	2020-02-01	China
EPI_ISL_417519	hCoV-19	2020-03-05	Taiwan
EPI_ISL_422416	hCoV-19	2020-03-18	Taiwan
EPI_ISL_422737	hCoV-19	2020-03-25	Netherlands
EPI_ISL_413852	hCoV-19	2020-01-30	China
EPI_ISL_417534	hCoV-19	2020-03-18	Luxembourg
EPI_ISL_413595	hCoV-19	2020-02-28	Australia
EPI_ISL_419546	hCoV-19	2020-03-15	Germany
EPI_ISL_425483	hCoV-19	2020-03-16	England
EPI_ISL_420375	hCoV-19	2020-03-24	Belgium
EPI_ISL_418220	hCoV-19	2020-02-28	France
EPI_ISL_420077	hCoV-19	2020-03-20	Senegal
EPI_ISL_425260	hCoV-19	2020-03-29	England
EPI_ISL_419810	hCoV-19	2020-03-16	Australia
EPI_ISL_417428	hCoV-19	2020-03-02	Belgium
EPI_ISL_418801	hCoV-19	2020-03-14	Australia
EPI_ISL_420270	hCoV-19	2020-03-22	England
EPI_ISL_413746	hCoV-19	2020-02-XX	China
EPI_ISL_425219	hCoV-19	2020-03-17	Spain
EPI_ISL_422753	hCoV-19	2020-03-26	Netherlands
EPI_ISL_416394	hCoV-19	2020-02-14	China
EPI_ISL_416398	hCoV-19	2020-02-02	China
EPI_ISL_419941	hCoV-19	2020-03-21	Australia
EPI_ISL_419217	hCoV-19	2020-02-10	Hong Kong
EPI_ISL_412871	hCoV-19	2020-01-31	South Korea
EPI_ISL_418396	hCoV-19	2020-03-13	Finland
EPI_ISL_425460	hCoV-19	2020-03-31	England
EPI_ISL_418405	hCoV-19	2020-03-14	Finland
EPI_ISL_417923	hCoV-19	2020-03-04	Italy
EPI_ISL_420135	hCoV-19	2020-02-28	Norway
EPI_ISL_417527	hCoV-19	2020-03-18	Luxembourg
EPI_ISL_425650	hCoV-19	2020-03-13	Scotland
EPI_ISL_418652	hCoV-19	2020-03-22	Belgium
EPI_ISL_422834	hCoV-19	2020-03-10	Netherlands
EPI_ISL_418993	hCoV-19	2020-01-29	Singapore
EPI_ISL_419760	hCoV-19	2020-03-11	Australia
EPI_ISL_420361	hCoV-19	2020-03-17	Belgium
EPI_ISL_425205	hCoV-19	2020-03-20	Spain
EPI_ISL_420110	hCoV-19	2020-03-11	Singapore
EPI_ISL_419901	hCoV-19	2020-03-19	Australia
EPI_ISL_416338	hCoV-19	2020-02-01	China
EPI_ISL_425535	hCoV-19	2020-03-21	England
EPI_ISL_419963	hCoV-19	2020-03-22	Australia
EPI_ISL_425999	hCoV-19	2020-03-29	Scotland
EPI_ISL_420433	hCoV-19	2020-03-24	Belgium
EPI_ISL_416494	hCoV-19	2020-03-04	France
EPI_ISL_420390	hCoV-19	2020-03-24	Belgium
EPI_ISL_416032	hCoV-19	2020-03-04	Brazil
EPI_ISL_415706	hCoV-19	2020-03-06	Switzerland
EPI_ISL_420014	hCoV-19	2020-03-24	Australia
EPI_ISL_425468	hCoV-19	2020-03-12	England
EPI_ISL_420236	hCoV-19	2020-03-23	England
EPI_ISL_425062	hCoV-19	2020-03-24	Belgium
EPI_ISL_416031	hCoV-19	2020-03-04	Brazil
EPI_ISL_419745	hCoV-19	2020-03-10	Australia
EPI_ISL_408480	hCoV-19	2020-01-17	China
EPI_ISL_418624	hCoV-19	2020-03-15	Belgium
EPI_ISL_419534	hCoV-19	2020-03-11	Germany
EPI_ISL_420422	hCoV-19	2020-03-25	Belgium
EPI_ISL_419864	hCoV-19	2020-03-18	Australia
EPI_ISL_420179	hCoV-19	2020-03-27	England
EPI_ISL_416507	hCoV-19	2020-03-05	France
EPI_ISL_418515	hCoV-19	2020-01-25	China
EPI_ISL_418839	hCoV-19	2020-03-10	Canada
EPI_ISL_420612	hCoV-19	2020-03-23	France
EPI_ISL_419847	hCoV-19	2020-03-17	Australia
EPI_ISL_419545	hCoV-19	2020-03-15	Germany
EPI_ISL_418257	hCoV-19	2020-03-17	Italy
EPI_ISL_417421	hCoV-19	2020-03-01	Italy
EPI_ISL_420153	hCoV-19	2020-03-16	Norway
EPI_ISL_418849	hCoV-19	2020-03-13	Canada
EPI_ISL_412030	hCoV-19	2020-02-01	Hong Kong
EPI_ISL_416355	hCoV-19	2020-02-04	China
EPI_ISL_420394	hCoV-19	2020-03-25	Belgium
EPI_ISL_426359	hCoV-19	2020-03-17	Czech Republic
EPI_ISL_425269	hCoV-19	2020-03-31	England
EPI_ISL_420117	hCoV-19	2020-03-09	Spain
EPI_ISL_422411	hCoV-19	2020-03-14	Taiwan
EPI_ISL_426000	hCoV-19	2020-03-30	Scotland
EPI_ISL_416409	hCoV-19	2020-02-02	China
EPI_ISL_421500	hCoV-19	2020-03-11	France
EPI_ISL_419601	hCoV-19	2020-03-15	Luxembourg
EPI_ISL_425962	hCoV-19	2020-03-27	Scotland
EPI_ISL_418208	hCoV-19	2020-03-04	Senegal
EPI_ISL_418259	hCoV-19	2020-03-14	Italy
EPI_ISL_425679	hCoV-19	2020-03-16	Scotland
EPI_ISL_418663	hCoV-19	2020-03-22	Belgium
EPI_ISL_418985	hCoV-19	2020-03-09	Belgium
EPI_ISL_414630	hCoV-19	2020-03-03	France
EPI_ISL_406538	hCoV-19	2020-01-23	China
EPI_ISL_420402	hCoV-19	2020-03-25	Belgium
EPI_ISL_425703	hCoV-19	2020-03-17	Scotland
EPI_ISL_402121	hCoV-19	2019-12-30	China
EPI_ISL_416513	hCoV-19	2020-03-07	France
EPI_ISL_420202	hCoV-19	2020-03-29	England
EPI_ISL_421760	hCoV-19	2020-03-17	Luxembourg
EPI_ISL_425945	hCoV-19	2020-03-26	Scotland
EPI_ISL_425885	hCoV-19	2020-03-21	Scotland
EPI_ISL_422434	hCoV-19	2020-03-31	Singapore
EPI_ISL_420169	hCoV-19	2020-03-25	England
EPI_ISL_425519	hCoV-19	2020-03-20	England
EPI_ISL_420049	hCoV-19	2020-03-19	France
EPI_ISL_425998	hCoV-19	2020-03-30	Scotland
EPI_ISL_418416	hCoV-19	2020-03-16	France
EPI_ISL_421507	hCoV-19	2020-03-23	France
EPI_ISL_418992	hCoV-19	2020-02-10	Singapore
EPI_ISL_413489	hCoV-19	2020-03-03	Italy
EPI_ISL_416574	hCoV-19	2020-02-15	Japan
EPI_ISL_418860	hCoV-19	2020-03-15	Spain
EPI_ISL_422429	hCoV-19	2020-02-16	Singapore
EPI_ISL_417524	hCoV-19	2020-03-14	Taiwan
EPI_ISL_419562	hCoV-19	2020-02-29	Luxembourg
EPI_ISL_416326	hCoV-19	2020-01-30	China
EPI_ISL_419683	hCoV-19	2020-03-08	Spain
EPI_ISL_418012	hCoV-19	2020-03-06	Portugal
EPI_ISL_416349	hCoV-19	2020-01-30	China
EPI_ISL_416593	hCoV-19	2020-02-16	Japan
EPI_ISL_425916	hCoV-19	2020-03-23	Scotland
EPI_ISL_418512	hCoV-19	2020-01-25	China
EPI_ISL_420847	hCoV-19	2020-03-26	Democratic Republic of the Congo
EPI_ISL_425973	hCoV-19	2020-03-28	Scotland
EPI_ISL_425716	hCoV-19	2020-03-17	Scotland
EPI_ISL_420624	hCoV-19	2020-03-24	France
EPI_ISL_425189	hCoV-19	2020-03-16	Spain
EPI_ISL_425128	hCoV-19	2020-03-20	Germany
EPI_ISL_420177	hCoV-19	2020-03-15	England
EPI_ISL_416596	hCoV-19	2020-02-16	Japan
EPI_ISL_425197	hCoV-19	2020-03-17	Spain
EPI_ISL_418369	hCoV-19	2020-03-10	Canada
EPI_ISL_419672	hCoV-19	2020-03-19	Austria
EPI_ISL_421230	hCoV-19	2020-01-21	China
EPI_ISL_417522	hCoV-19	2020-03-13	Taiwan
EPI_ISL_418294	hCoV-19	2020-03-18	England
EPI_ISL_414521	hCoV-19	2020-03-02	Germany
EPI_ISL_420267	hCoV-19	2020-03-23	England
EPI_ISL_420331	hCoV-19	2020-03-05	Belgium
EPI_ISL_420109	hCoV-19	2020-03-11	Singapore
EPI_ISL_410984	hCoV-19	2020-01-29	France
EPI_ISL_419599	hCoV-19	2020-03-16	Luxembourg
EPI_ISL_413519	hCoV-19	2020-01-28	China
EPI_ISL_426003	hCoV-19	2020-03-30	Scotland
EPI_ISL_420314	hCoV-19	2020-03-04	Belgium
EPI_ISL_421450	hCoV-19	2020-03-18	Portugal
EPI_ISL_420334	hCoV-19	2020-03-05	Belgium
EPI_ISL_421495	hCoV-19	2020-03-23	Portugal
EPI_ISL_420193	hCoV-19	2020-03-28	England
EPI_ISL_425658	hCoV-19	2020-03-15	Scotland
EPI_ISL_421484	hCoV-19	2020-03-19	Portugal
EPI_ISL_425805	hCoV-19	2020-03-06	Scotland
EPI_ISL_425843	hCoV-19	2020-03-12	Scotland
EPI_ISL_418984	hCoV-19	2020-03-09	Belgium
EPI_ISL_411953	hCoV-19	2020-01-24	China
EPI_ISL_416758	hCoV-19	2020-03-08	France
EPI_ISL_420277	hCoV-19	2020-03-21	England
EPI_ISL_420393	hCoV-19	2020-03-24	Belgium
EPI_ISL_425988	hCoV-19	2020-03-30	Scotland
EPI_ISL_424343	hCoV-19	2020-03-23	Italy
EPI_ISL_410218	hCoV-19	2020-02-05	Taiwan
EPI_ISL_418258	hCoV-19	2020-03-14	Italy
EPI_ISL_419245	hCoV-19	2020-02-22	Hong Kong
EPI_ISL_425652	hCoV-19	2020-03-13	Scotland
EPI_ISL_425645	hCoV-19	2020-03-18	England
EPI_ISL_419563	hCoV-19	2020-03-12	Luxembourg
EPI_ISL_426414	hCoV-19	2020-04-05	India
EPI_ISL_421194	hCoV-19	2020-03-30	Belgium
EPI_ISL_416610	hCoV-19	2020-02-17	Japan
EPI_ISL_418425	hCoV-19	2020-03-17	France
EPI_ISL_425864	hCoV-19	2020-03-20	Scotland
EPI_ISL_420396	hCoV-19	2020-03-23	Belgium
EPI_ISL_418343	hCoV-19	2020-03-10	Canada
EPI_ISL_425991	hCoV-19	2020-03-30	Scotland
EPI_ISL_416498	hCoV-19	2020-03-11	France
EPI_ISL_420147	hCoV-19	2020-03-10	Norway
EPI_ISL_424657	hCoV-19	2020-04-05	Belgium
EPI_ISL_404227	hCoV-19	2020-01-16	China
EPI_ISL_417957	hCoV-19	2020-03-12	Spain
EPI_ISL_420618	hCoV-19	2020-03-23	France
EPI_ISL_426164	hCoV-19	2020-02-02	South Korea
EPI_ISL_421243	hCoV-19	2020-01-21	China
EPI_ISL_418222	hCoV-19	2020-03-04	France
EPI_ISL_421490	hCoV-19	2020-03-22	Portugal
EPI_ISL_419254	hCoV-19	2020-03-23	Italy
EPI_ISL_418806	hCoV-19	2020-03-05	Belgium
EPI_ISL_416334	hCoV-19	2020-02-06	China
EPI_ISL_418854	hCoV-19	2020-03-11	Canada
EPI_ISL_420052	hCoV-19	2020-03-20	France
EPI_ISL_425676	hCoV-19	2020-03-16	Scotland
EPI_ISL_415707	hCoV-19	2020-03-08	Switzerland
EPI_ISL_418982	hCoV-19	2020-03-09	Belgium
EPI_ISL_417487	hCoV-19	2020-03-01	Norway
EPI_ISL_421740	hCoV-19	2020-03-17	Luxembourg
EPI_ISL_420348	hCoV-19	2020-03-05	Belgium
EPI_ISL_425924	hCoV-19	2020-03-24	Scotland
EPI_ISL_414519	hCoV-19	2020-02-24	Hong Kong
EPI_ISL_425235	hCoV-19	2020-03-30	England
EPI_ISL_418990	hCoV-19	2020-02-03	China
EPI_ISL_418423	hCoV-19	2020-03-17	France
EPI_ISL_419656	hCoV-19	2020-02-26	Austria
EPI_ISL_425244	hCoV-19	2020-04-01	England
EPI_ISL_416321	hCoV-19	2020-01-28	China
EPI_ISL_414019	hCoV-19	2020-02-27	Switzerland
EPI_ISL_420439	hCoV-19	2020-03-25	Belgium
EPI_ISL_418406	hCoV-19	2020-03-14	Finland
EPI_ISL_416567	hCoV-19	2020-02-15	Japan
EPI_ISL_419667	hCoV-19	2020-03-13	Austria
EPI_ISL_408486	hCoV-19	2020-01-11	China
EPI_ISL_420269	hCoV-19	2020-03-23	England
EPI_ISL_424672	hCoV-19	2020-03-11	Mexico
EPI_ISL_426183	hCoV-19	2020-02-23	South Korea
EPI_ISL_418211	hCoV-19	2020-03-11	Senegal
EPI_ISL_425268	hCoV-19	2020-04-01	England
EPI_ISL_408514	hCoV-19	2020-01-01	China
EPI_ISL_422409	hCoV-19	2020-03-13	Taiwan
EPI_ISL_421232	hCoV-19	2020-01-21	China
EPI_ISL_420385	hCoV-19	2020-03-25	Belgium
EPI_ISL_420434	hCoV-19	2020-03-24	Belgium
EPI_ISL_414687	hCoV-19	2020-02-25	China
EPI_ISL_413693	hCoV-19	2020-01-XX	China
EPI_ISL_416620	hCoV-19	2020-02-17	Japan
EPI_ISL_416381	hCoV-19	2020-02-01	China
EPI_ISL_425290	hCoV-19	2020-03-20	England
EPI_ISL_416473	hCoV-19	2020-01-26	China
EPI_ISL_426005	hCoV-19	2020-03-30	Scotland
EPI_ISL_421182	hCoV-19	2020-03-30	Belgium
EPI_ISL_425316	hCoV-19	2020-03-22	England
EPI_ISL_416350	hCoV-19	2020-01-29	China
EPI_ISL_425698	hCoV-19	2020-03-17	Scotland
EPI_ISL_420355	hCoV-19	2020-03-06	Belgium
EPI_ISL_418659	hCoV-19	2020-03-22	Belgium
EPI_ISL_416577	hCoV-19	2020-02-15	Japan
EPI_ISL_425371	hCoV-19	2020-03-19	England
EPI_ISL_420248	hCoV-19	2020-03-25	England
EPI_ISL_416368	hCoV-19	2020-02-05	China
EPI_ISL_415156	hCoV-19	2020-03-01	Belgium
EPI_ISL_412969	hCoV-19	2020-02-10	Japan
EPI_ISL_425064	hCoV-19	2020-03-25	Belgium
EPI_ISL_420069	hCoV-19	2020-03-17	Senegal
EPI_ISL_425063	hCoV-19	2020-03-24	Belgium
EPI_ISL_413729	hCoV-19	2020-02-XX	China
EPI_ISL_416390	hCoV-19	2020-01-31	China
EPI_ISL_414938	hCoV-19	2020-01-24	China
EPI_ISL_425827	hCoV-19	2020-03-13	Scotland
EPI_ISL_418006	hCoV-19	2020-03-13	Portugal
EPI_ISL_420129	hCoV-19	2020-03-13	Spain
EPI_ISL_408489	hCoV-19	2020-01-31	Taiwan
EPI_ISL_402132	hCoV-19	2019-12-30	China
EPI_ISL_416341	hCoV-19	2020-02-01	China
EPI_ISL_418352	hCoV-19	2020-03-11	Canada
EPI_ISL_420059	hCoV-19	2020-03-21	France
EPI_ISL_418245	hCoV-19	2020-03-01	Spain
EPI_ISL_417461	hCoV-19	2020-03-11	Germany
EPI_ISL_416402	hCoV-19	2020-02-11	China
EPI_ISL_413809	hCoV-19	2020-02-XX	China
EPI_ISL_418348	hCoV-19	2020-03-08	Canada
EPI_ISL_414587	hCoV-19	2020-03-03	Ireland
EPI_ISL_419660	hCoV-19	2020-03-13	Austria
EPI_ISL_425708	hCoV-19	2020-03-17	Scotland
EPI_ISL_420032	hCoV-19	2020-03-22	Democratic Republic of the Congo
EPI_ISL_419533	hCoV-19	2020-03-11	Germany
EPI_ISL_419386	hCoV-19	2020-03-18	Portugal
EPI_ISL_417340	hCoV-19	2020-03-07	France
EPI_ISL_424975	hCoV-19	2020-03-18	Taiwan
EPI_ISL_421226	hCoV-19	2020-01-22	China
EPI_ISL_421222	hCoV-19	2020-03-14	China
EPI_ISL_413750	hCoV-19	2020-02-XX	China
EPI_ISL_420145	hCoV-19	2020-03-09	Norway
EPI_ISL_418250	hCoV-19	2020-XX-XX	Spain
EPI_ISL_425212	hCoV-19	2020-03-11	Spain
EPI_ISL_425809	hCoV-19	2020-03-09	Scotland
EPI_ISL_419216	hCoV-19	2020-02-10	Hong Kong
EPI_ISL_419233	hCoV-19	2020-03-04	Spain
EPI_ISL_416621	hCoV-19	2020-02-17	Japan
EPI_ISL_416400	hCoV-19	2020-02-02	China
EPI_ISL_419180	hCoV-19	2020-03-22	France
EPI_ISL_414586	hCoV-19	2020-03-03	Ireland
EPI_ISL_413603	hCoV-19	2020-03-03	Finland
EPI_ISL_421229	hCoV-19	2020-01-21	China
EPI_ISL_422418	hCoV-19	2020-03-19	Taiwan
EPI_ISL_419665	hCoV-19	2020-03-10	Austria
EPI_ISL_418344	hCoV-19	2020-XX-XX	Canada
EPI_ISL_420854	hCoV-19	2020-03-25	Democratic Republic of the Congo
EPI_ISL_418582	hCoV-19	2020-03-10	Ireland
EPI_ISL_417486	hCoV-19	2020-03-01	Norway
EPI_ISL_426364	hCoV-19	2020-03-12	Mexico
EPI_ISL_420607	hCoV-19	2020-03-23	France
EPI_ISL_419535	hCoV-19	2020-03-13	Germany
EPI_ISL_418814	hCoV-19	2020-03-13	Canada
EPI_ISL_418427	hCoV-19	2020-03-17	France
EPI_ISL_413855	hCoV-19	2020-02-07	China
EPI_ISL_425707	hCoV-19	2020-03-17	Scotland
EPI_ISL_424973	hCoV-19	2020-03-17	Taiwan
EPI_ISL_411952	hCoV-19	2020-01-24	China
EPI_ISL_420123	hCoV-19	2020-03-09	Spain
EPI_ISL_425954	hCoV-19	2020-03-27	Scotland
EPI_ISL_419666	hCoV-19	2020-03-11	Austria
EPI_ISL_420620	hCoV-19	2020-03-23	France
EPI_ISL_420844	hCoV-19	2020-03-XX	Democratic Republic of the Congo
EPI_ISL_417457	hCoV-19	2020-03-10	Germany
EPI_ISL_416591	hCoV-19	2020-02-16	Japan
EPI_ISL_413514	hCoV-19	2020-02-27	South Korea
EPI_ISL_420313	hCoV-19	2020-03-10	Norway
EPI_ISL_416387	hCoV-19	2020-02-01	China
EPI_ISL_425184	hCoV-19	2020-03-10	Spain
EPI_ISL_420131	hCoV-19	2020-03-18	Spain
EPI_ISL_418356	hCoV-19	2020-03-12	Canada
EPI_ISL_425807	hCoV-19	2020-03-03	Scotland
EPI_ISL_418021	hCoV-19	2020-03-16	Portugal
EPI_ISL_425949	hCoV-19	2020-03-26	Scotland
EPI_ISL_425221	hCoV-19	2020-03-17	Spain
EPI_ISL_419240	hCoV-19	2020-03-03	Spain
EPI_ISL_414509	hCoV-19	2020-02-28	Germany
EPI_ISL_425675	hCoV-19	2020-03-16	Scotland
EPI_ISL_416590	hCoV-19	2020-02-16	Japan
EPI_ISL_420078	hCoV-19	2020-03-20	Senegal
EPI_ISL_418838	hCoV-19	2020-03-12	Canada
EPI_ISL_411929	hCoV-19	2020-01-XX	South Korea
EPI_ISL_425744	hCoV-19	2020-03-19	Scotland
EPI_ISL_417462	hCoV-19	2020-03-11	Germany
EPI_ISL_420119	hCoV-19	2020-03-09	Spain
EPI_ISL_418345	hCoV-19	2020-02-29	Canada
EPI_ISL_418357	hCoV-19	2020-03-12	Canada
EPI_ISL_417942	hCoV-19	2020-03-18	Democratic Republic of the Congo
EPI_ISL_416342	hCoV-19	2020-02-04	China
EPI_ISL_421761	hCoV-19	2020-03-17	Luxembourg
EPI_ISL_421485	hCoV-19	2020-03-22	Portugal
EPI_ISL_425735	hCoV-19	2020-03-19	Scotland
EPI_ISL_421503	hCoV-19	2020-03-12	France
EPI_ISL_410720	hCoV-19	2020-01-23	France
EPI_ISL_417948	hCoV-19	2020-03-19	Democratic Republic of the Congo
EPI_ISL_425845	hCoV-19	2020-03-09	Scotland
EPI_ISL_420042	hCoV-19	2020-03-17	France
EPI_ISL_407079	hCoV-19	2020-01-29	Finland
EPI_ISL_416605	hCoV-19	2020-02-16	Japan
EPI_ISL_422431	hCoV-19	2020-03-31	Singapore
EPI_ISL_418816	hCoV-19	2020-03-11	Canada
EPI_ISL_425933	hCoV-19	2020-03-25	Scotland
EPI_ISL_425677	hCoV-19	2020-03-16	Scotland
EPI_ISL_418428	hCoV-19	2020-03-17	France
EPI_ISL_410536	hCoV-19	2020-02-06	Singapore
EPI_ISL_425876	hCoV-19	2020-03-21	Scotland
EPI_ISL_414643	hCoV-19	2020-03-07	Finland
EPI_ISL_416484	hCoV-19	2020-02-27	Spain
EPI_ISL_416586	hCoV-19	2020-02-16	Japan
EPI_ISL_421494	hCoV-19	2020-03-20	Portugal
EPI_ISL_419311	hCoV-19	2020-03-13	Japan
EPI_ISL_420122	hCoV-19	2020-03-09	Spain
EPI_ISL_417956	hCoV-19	2020-03-11	Spain
EPI_ISL_425705	hCoV-19	2020-03-17	Scotland
EPI_ISL_416582	hCoV-19	2020-02-15	Japan
EPI_ISL_418845	hCoV-19	2020-03-11	Canada
EPI_ISL_420121	hCoV-19	2020-03-09	Spain
EPI_ISL_419232	hCoV-19	2020-02-19	Hong Kong
EPI_ISL_419175	hCoV-19	2020-03-21	France
EPI_ISL_421452	hCoV-19	2020-03-18	Portugal
EPI_ISL_421499	hCoV-19	2020-03-24	Portugal
EPI_ISL_419235	hCoV-19	2020-03-07	Spain
EPI_ISL_425678	hCoV-19	2020-03-16	Scotland
EPI_ISL_419537	hCoV-19	2020-03-14	Germany
EPI_ISL_417999	hCoV-19	2020-03-07	Portugal
EPI_ISL_421743	hCoV-19	2020-03-17	Luxembourg
EPI_ISL_422414	hCoV-19	2020-03-16	Taiwan
EPI_ISL_418395	hCoV-19	2020-03-13	Finland
EPI_ISL_416609	hCoV-19	2020-02-17	Japan
EPI_ISL_417010	hCoV-19	2020-03-04	Spain
EPI_ISL_414014	hCoV-19	2020-03-02	Brazil
EPI_ISL_417972	hCoV-19	2020-03-09	Spain
EPI_ISL_425720	hCoV-19	2020-03-12	Scotland
EPI_ISL_418324	hCoV-19	2020-03-11	Canada
EPI_ISL_425124	hCoV-19	2020-03-17	Germany
EPI_ISL_424365	hCoV-19	2020-03-17	India
EPI_ISL_418994	hCoV-19	2020-01-29	Singapore
EPI_ISL_416033	hCoV-19	2020-03-03	Brazil
EPI_ISL_425803	hCoV-19	2020-03-04	Scotland
EPI_ISL_421476	hCoV-19	2020-03-21	Portugal
EPI_ISL_415643	hCoV-19	2020-03-10	Georgia
EPI_ISL_420137	hCoV-19	2020-03-08	Norway
EPI_ISL_417521	hCoV-19	2020-03-10	Taiwan
EPI_ISL_417963	hCoV-19	2020-03-12	Spain
EPI_ISL_416486	hCoV-19	2020-03-02	Spain
EPI_ISL_425130	hCoV-19	2020-03-21	Germany
EPI_ISL_421512	hCoV-19	2020-03-23	France
EPI_ISL_416587	hCoV-19	2020-02-16	Japan
EPI_ISL_417485	hCoV-19	2020-03-02	Norway
EPI_ISL_419677	hCoV-19	2020-03-09	Spain
EPI_ISL_420851	hCoV-19	2020-03-25	Democratic Republic of the Congo
EPI_ISL_419247	hCoV-19	2020-02-24	Hong Kong
EPI_ISL_425228	hCoV-19	2020-03-22	Czech Republic
EPI_ISL_418815	hCoV-19	2020-02-09	Hong Kong
EPI_ISL_416509	hCoV-19	2020-03-06	France
EPI_ISL_421468	hCoV-19	2020-03-21	Portugal
EPI_ISL_419586	hCoV-19	2020-03-14	Luxembourg
EPI_ISL_419664	hCoV-19	2020-03-23	Austria
EPI_ISL_414021	hCoV-19	2020-02-27	Switzerland
EPI_ISL_418329	hCoV-19	2020-03-12	Canada
EPI_ISL_421474	hCoV-19	2020-03-21	Portugal
EPI_ISL_421753	hCoV-19	2020-03-17	Luxembourg
EPI_ISL_420102	hCoV-19	2020-03-05	Singapore
EPI_ISL_418024	hCoV-19	2020-03-17	Portugal
EPI_ISL_413018	hCoV-19	2020-02-06	South Korea
EPI_ISL_426361	hCoV-19	2020-03-12	Mexico
EPI_ISL_408665	hCoV-19	2020-01-29	Japan
EPI_ISL_416501	hCoV-19	2020-03-10	France
EPI_ISL_416477	hCoV-19	2020-03-08	Georgia
EPI_ISL_415698	hCoV-19	2020-02-27	Switzerland
EPI_ISL_416578	hCoV-19	2020-02-15	Japan
EPI_ISL_421179	hCoV-19	2020-03-27	Spain
EPI_ISL_410531	hCoV-19	2020-01-25	Japan
EPI_ISL_417339	hCoV-19	2020-03-08	France
EPI_ISL_411915	hCoV-19	2020-01-25	Taiwan
EPI_ISL_418431	hCoV-19	2020-03-18	France
EPI_ISL_419600	hCoV-19	2020-03-13	Luxembourg
EPI_ISL_418232	hCoV-19	2020-03-15	France
EPI_ISL_419226	hCoV-19	2020-02-13	Hong Kong
EPI_ISL_419250	hCoV-19	2020-02-26	Hong Kong
EPI_ISL_417520	hCoV-19	2020-03-09	Taiwan
EPI_ISL_419178	hCoV-19	2020-03-22	France
EPI_ISL_418017	hCoV-19	2020-03-16	Portugal
EPI_ISL_420116	hCoV-19	2020-03-09	Spain
EPI_ISL_418234	hCoV-19	2020-03-14	France
EPI_ISL_417419	hCoV-19	2020-03-01	Italy
EPI_ISL_418228	hCoV-19	2020-03-12	France
EPI_ISL_421467	hCoV-19	2020-03-20	Portugal
EPI_ISL_416608	hCoV-19	2020-02-17	Japan
EPI_ISL_425216	hCoV-19	2020-03-16	Spain
EPI_ISL_418420	hCoV-19	2020-03-17	France
EPI_ISL_421178	hCoV-19	2020-03-27	Spain
EPI_ISL_421738	hCoV-19	2020-03-17	Luxembourg
EPI_ISL_413459	hCoV-19	2020-02-20	Japan
EPI_ISL_416619	hCoV-19	2020-02-17	Japan
EPI_ISL_418255	hCoV-19	2020-03-14	Italy
EPI_ISL_420045	hCoV-19	2020-03-17	France
EPI_ISL_413648	hCoV-19	2020-03-01	Portugal
EPI_ISL_418856	hCoV-19	2020-03-13	Canada
EPI_ISL_420852	hCoV-19	2020-03-26	Democratic Republic of the Congo
EPI_ISL_414623	hCoV-19	2020-02-25	France
EPI_ISL_419674	hCoV-19	2020-03-24	Austria
EPI_ISL_419550	hCoV-19	2020-03-16	Germany
EPI_ISL_418852	hCoV-19	2020-03-07	Canada
EPI_ISL_419296	hCoV-19	2020-03-08	Japan
EPI_ISL_414505	hCoV-19	2020-02-27	Germany
EPI_ISL_426168	hCoV-19	2020-02-02	South Korea
EPI_ISL_418413	hCoV-19	2020-03-15	France
EPI_ISL_418207	hCoV-19	2020-03-02	Senegal
EPI_ISL_421473	hCoV-19	2020-03-21	Portugal
EPI_ISL_418418	hCoV-19	2020-03-16	France
