strain	virus	date	country
EPI_ISL_416452	hCoV-19	2020-03-10	USA
EPI_ISL_415608	hCoV-19	2020-03-08	USA
EPI_ISL_421348	hCoV-19	2020-03-17	USA
EPI_ISL_410715	hCoV-19	2020-02-04	Singapore
EPI_ISL_415483	hCoV-19	2020-03-09	Netherlands
EPI_ISL_420000	hCoV-19	2020-03-23	Australia
EPI_ISL_417468	hCoV-19	2020-03-16	Germany
EPI_ISL_424084	hCoV-19	2020-03-11	England
EPI_ISL_423228	hCoV-19	2020-03-25	England
EPI_ISL_419712	hCoV-19	2020-03-10	USA
EPI_ISL_422138	hCoV-19	2020-03-24	Wales
EPI_ISL_416634	hCoV-19	2020-02-17	Japan
EPI_ISL_425487	hCoV-19	2020-03-17	England
EPI_ISL_425631	hCoV-19	2020-03-29	England
EPI_ISL_421239	hCoV-19	2020-01-26	China
EPI_ISL_422615	hCoV-19	2020-04-01	Netherlands
EPI_ISL_418076	hCoV-19	2020-03-15	USA
EPI_ISL_408515	hCoV-19	2020-01-01	China
EPI_ISL_422915	hCoV-19	2020-03-19	Netherlands
EPI_ISL_425163	hCoV-19	2020-03-30	USA
EPI_ISL_425978	hCoV-19	2020-03-30	Scotland
EPI_ISL_426127	hCoV-19	2020-03-25	USA
EPI_ISL_423001	hCoV-19	2020-03-19	USA
EPI_ISL_417517	hCoV-19	2020-03-13	USA
EPI_ISL_422751	hCoV-19	2020-03-26	Netherlands
EPI_ISL_417280	hCoV-19	2020-03-07	England
EPI_ISL_424951	hCoV-19	2020-04-01	USA
EPI_ISL_419434	hCoV-19	2020-03-17	Wales
EPI_ISL_417668	hCoV-19	2020-03-15	Iceland
EPI_ISL_416753	hCoV-19	2020-03-06	France
EPI_ISL_423354	hCoV-19	2020-03-29	England
EPI_ISL_417740	hCoV-19	2020-03-15	Iceland
EPI_ISL_417763	hCoV-19	2020-03-16	Iceland
EPI_ISL_413748	hCoV-19	2020-02-XX	China
EPI_ISL_418720	hCoV-19	2020-03-17	England
EPI_ISL_418778	hCoV-19	2020-03-13	USA
EPI_ISL_413022	hCoV-19	2020-02-29	Switzerland
EPI_ISL_422549	hCoV-19	2020-03-20	USA
EPI_ISL_426549	hCoV-19	2020-03-26	USA
EPI_ISL_421585	hCoV-19	2020-03-18	USA
EPI_ISL_421411	hCoV-19	2020-03-18	USA
EPI_ISL_417591	hCoV-19	2020-03-17	Iceland
EPI_ISL_419905	hCoV-19	2020-03-20	Australia
EPI_ISL_418007	hCoV-19	2020-03-13	Portugal
EPI_ISL_419729	hCoV-19	2020-03-20	Australia
EPI_ISL_420722	hCoV-19	2020-03-28	England
EPI_ISL_420453	hCoV-19	2020-03-05	Belgium
EPI_ISL_419947	hCoV-19	2020-03-21	Australia
EPI_ISL_414635	hCoV-19	2020-03-04	France
EPI_ISL_421774	hCoV-19	2020-03-25	England
