name,date,location,area
EPI_ISL_417653,2020-03-18,Iceland,Reykjavik
EPI_ISL_417978,2020-03-09,Spain,Madrid
EPI_ISL_418764,2020-03-18,United Kingdom,England
EPI_ISL_419741,2020-03-08,Australia,Victoria
EPI_ISL_422664,2020-03-16,Netherlands,
EPI_ISL_426166,2020-02-04,South Korea,
EPI_ISL_416339,2020-02-03,China,Shanghai
EPI_ISL_421510,2020-03-23,France,Hauts de France
EPI_ISL_424440,2020-03-19,Iceland,Reykjavik
EPI_ISL_418016,2020-03-10,Portugal,
EPI_ISL_423832,2020-03-23,United Kingdom,England
EPI_ISL_418676,2020-03-10,United Kingdom,England
EPI_ISL_423351,2020-03-28,United Kingdom,England
EPI_ISL_418240,2020-03-16,France,Ile de France
EPI_ISL_415652,2020-03-05,France,Bourgogne-France-Comté
EPI_ISL_422579,2020-03-30,Netherlands,
EPI_ISL_418651,2020-03-22,Belgium,Liège
EPI_ISL_423595,2020-03-21,United Kingdom,England
EPI_ISL_420477,2020-03-18,United Kingdom,England
EPI_ISL_424450,2020-03-20,Iceland,Reykjavik
EPI_ISL_417589,2020-03-17,Iceland,Reykjavik
EPI_ISL_421842,2020-03-23,United Kingdom,England
EPI_ISL_406593,2020-01-13,China,Guandong
EPI_ISL_420610,2020-03-23,France,ARA
EPI_ISL_414449,2020-03-03,Netherlands,Noord Brabant
EPI_ISL_424652,2020-04-05,Belgium,Liège
EPI_ISL_418430,2020-03-18,France,ARA
EPI_ISL_423648,2020-03-23,United Kingdom,England
EPI_ISL_424445,2020-03-19,Iceland,Reykjavik
EPI_ISL_420767,2020-03-30,United Kingdom,England
EPI_ISL_424516,2020-03-20,Iceland,Reykjavik
EPI_ISL_420729,2020-03-28,United Kingdom,England
EPI_ISL_425902,2020-03-23,Scotland,
EPI_ISL_424630,2020-04-03,Belgium,Liège
EPI_ISL_417862,2020-03-09,Iceland,Reykjavik
EPI_ISL_414424,2020-03-03,Netherlands,Limburg
EPI_ISL_419603,2020-03-16,Luxembourg,
EPI_ISL_413021,2020-02-29,Switzerland,Zurich
EPI_ISL_423935,2020-03-18,United Kingdom,England
EPI_ISL_421663,2020-03-10,India,
EPI_ISL_423420,2020-03-29,United Kingdom,England
EPI_ISL_413711,2020-02-XX,China,
EPI_ISL_420994,2020-03-23,United Kingdom,Wales
EPI_ISL_417387,2020-03-06,Australia,New South Wales
