name,date,location,area
EPI_ISL_420390,2020-03-24,Belgium,Mons
EPI_ISL_416032,2020-03-04,Brazil,Distrito Federal
EPI_ISL_415706,2020-03-06,Switzerland,
EPI_ISL_420014,2020-03-24,Australia,Victoria
EPI_ISL_425468,2020-03-12,England,
EPI_ISL_420236,2020-03-23,England,South Yorkshire
EPI_ISL_425062,2020-03-24,Belgium,Ghent
EPI_ISL_416031,2020-03-04,Brazil,Sao Paulo
EPI_ISL_419745,2020-03-10,Australia,Victoria
EPI_ISL_408480,2020-01-17,China,Yunnan
EPI_ISL_418624,2020-03-15,Belgium,Liège
EPI_ISL_419534,2020-03-11,Germany,Duesseldorf
EPI_ISL_420422,2020-03-25,Belgium,Tielt-Winge
EPI_ISL_419864,2020-03-18,Australia,Victoria
EPI_ISL_420179,2020-03-27,England,South Yorkshire
EPI_ISL_416507,2020-03-05,France,Bretagne
EPI_ISL_418515,2020-01-25,China,Hangzhou
EPI_ISL_418839,2020-03-10,Canada,British Columbia
EPI_ISL_420612,2020-03-23,France,ARA
EPI_ISL_419847,2020-03-17,Australia,Victoria
EPI_ISL_419545,2020-03-15,Germany,Duesseldorf
EPI_ISL_418257,2020-03-17,Italy,Abruzzo
EPI_ISL_417421,2020-03-01,Italy,Friuli Venezia Giulia
EPI_ISL_420153,2020-03-16,Norway,
EPI_ISL_418849,2020-03-13,Canada,British Columbia
EPI_ISL_412030,2020-02-01,Hong Kong,
EPI_ISL_416355,2020-02-04,China,Shanghai
EPI_ISL_420394,2020-03-25,Belgium,Sint-Pieter-Woluwe
EPI_ISL_426359,2020-03-17,Czech Republic,Central Czechia and Prague
EPI_ISL_425269,2020-03-31,England,
EPI_ISL_420117,2020-03-09,Spain,Comunitat Valenciana
EPI_ISL_422411,2020-03-14,Taiwan,Taipei
EPI_ISL_426000,2020-03-30,Scotland,
EPI_ISL_416409,2020-02-02,China,Shanghai
EPI_ISL_421500,2020-03-11,France,Hauts de France
EPI_ISL_419601,2020-03-15,Luxembourg,
EPI_ISL_425962,2020-03-27,Scotland,
EPI_ISL_418208,2020-03-04,Senegal,Dakar
EPI_ISL_418259,2020-03-14,Italy,Abruzzo
EPI_ISL_425679,2020-03-16,Scotland,
EPI_ISL_418663,2020-03-22,Belgium,Liège
EPI_ISL_418985,2020-03-09,Belgium,Ellezelles
EPI_ISL_414630,2020-03-03,France,Hauts de France
EPI_ISL_406538,2020-01-23,China,Guangdong
EPI_ISL_420402,2020-03-25,Belgium,Zolder
EPI_ISL_425703,2020-03-17,Scotland,
EPI_ISL_402121,2019-12-30,China,Hubei
EPI_ISL_416513,2020-03-07,France,Bretagne
EPI_ISL_420202,2020-03-29,England,South Yorkshire
EPI_ISL_421760,2020-03-17,Luxembourg,
EPI_ISL_425945,2020-03-26,Scotland,
EPI_ISL_425885,2020-03-21,Scotland,
EPI_ISL_422434,2020-03-31,Singapore,
EPI_ISL_420169,2020-03-25,England,South Yorkshire
EPI_ISL_425519,2020-03-20,England,
EPI_ISL_420049,2020-03-19,France,Hauts de France
EPI_ISL_425998,2020-03-30,Scotland,
EPI_ISL_418416,2020-03-16,France,ARA
EPI_ISL_421507,2020-03-23,France,Ile de France
EPI_ISL_418992,2020-02-10,Singapore,
EPI_ISL_413489,2020-03-03,Italy,Lombardy
EPI_ISL_416574,2020-02-15,Japan,unknown
EPI_ISL_418860,2020-03-15,Spain,Barcelona
EPI_ISL_422429,2020-02-16,Singapore,
EPI_ISL_417524,2020-03-14,Taiwan,Taoyuan
EPI_ISL_419562,2020-02-29,Luxembourg,
EPI_ISL_416326,2020-01-30,China,Shanghai
EPI_ISL_419683,2020-03-08,Spain,Comunitat Valenciana
EPI_ISL_418012,2020-03-06,Portugal,
EPI_ISL_416349,2020-01-30,China,Shanghai
EPI_ISL_416593,2020-02-16,Japan,unknown
EPI_ISL_425916,2020-03-23,Scotland,
EPI_ISL_418512,2020-01-25,China,Zhejiang
EPI_ISL_420847,2020-03-26,Democratic Republic of the Congo,
EPI_ISL_425973,2020-03-28,Scotland,
EPI_ISL_425716,2020-03-17,Scotland,
EPI_ISL_420624,2020-03-24,France,ARA
EPI_ISL_425189,2020-03-16,Spain,Comunitat Valenciana
EPI_ISL_425128,2020-03-20,Germany,Duesseldorf
EPI_ISL_420177,2020-03-15,England,South Yorkshire
EPI_ISL_416596,2020-02-16,Japan,unknown
EPI_ISL_425197,2020-03-17,Spain,Comunitat Valenciana
EPI_ISL_418369,2020-03-10,Canada,Ontario
EPI_ISL_419672,2020-03-19,Austria,
EPI_ISL_421230,2020-01-21,China,Hangzhou
EPI_ISL_417522,2020-03-13,Taiwan,Taoyuan
EPI_ISL_418294,2020-03-18,England,South Yorkshire
EPI_ISL_414521,2020-03-02,Germany,Munich
EPI_ISL_420267,2020-03-23,England,South Yorkshire
EPI_ISL_420331,2020-03-05,Belgium,Bree
EPI_ISL_420109,2020-03-11,Singapore,
EPI_ISL_410984,2020-01-29,France,Ile-de-France
EPI_ISL_419599,2020-03-16,Luxembourg,
EPI_ISL_413519,2020-01-28,China,Beijing
EPI_ISL_426003,2020-03-30,Scotland,
EPI_ISL_420314,2020-03-04,Belgium,Brussel
EPI_ISL_421450,2020-03-18,Portugal,
EPI_ISL_420334,2020-03-05,Belgium,Berloz
EPI_ISL_421495,2020-03-23,Portugal,
EPI_ISL_420193,2020-03-28,England,South Yorkshire
EPI_ISL_425658,2020-03-15,Scotland,
EPI_ISL_421484,2020-03-19,Portugal,
EPI_ISL_425805,2020-03-06,Scotland,
EPI_ISL_425843,2020-03-12,Scotland,
EPI_ISL_418984,2020-03-09,Belgium,Kaulile
EPI_ISL_411953,2020-01-24,China,Jiangsu
EPI_ISL_416758,2020-03-08,France,ARA
EPI_ISL_420277,2020-03-21,England,South Yorkshire
EPI_ISL_420393,2020-03-24,Belgium,Bierbeek
EPI_ISL_425988,2020-03-30,Scotland,
EPI_ISL_424343,2020-03-23,Italy,Rome
EPI_ISL_410218,2020-02-05,Taiwan,Taipei
EPI_ISL_418258,2020-03-14,Italy,Abruzzo
EPI_ISL_419245,2020-02-22,Hong Kong,
EPI_ISL_425652,2020-03-13,Scotland,
EPI_ISL_425645,2020-03-18,England,
EPI_ISL_419563,2020-03-12,Luxembourg,
EPI_ISL_426414,2020-04-05,India,Gujarat
EPI_ISL_421194,2020-03-30,Belgium,Liège
EPI_ISL_416610,2020-02-17,Japan,unknown
EPI_ISL_418425,2020-03-17,France,ARA
EPI_ISL_425864,2020-03-20,Scotland,
EPI_ISL_420396,2020-03-23,Belgium,Colfontaine
EPI_ISL_418343,2020-03-10,Canada,Ontario
EPI_ISL_425991,2020-03-30,Scotland,
EPI_ISL_416498,2020-03-11,France,Ile de France
EPI_ISL_420147,2020-03-10,Norway,
EPI_ISL_424657,2020-04-05,Belgium,Liège
EPI_ISL_404227,2020-01-16,China,Zhejiang
EPI_ISL_417957,2020-03-12,Spain,Madrid
EPI_ISL_420618,2020-03-23,France,ARA
EPI_ISL_426164,2020-02-02,South Korea,
EPI_ISL_421243,2020-01-21,China,Jiangxi
EPI_ISL_418222,2020-03-04,France,Centre-Val de Loire
EPI_ISL_421490,2020-03-22,Portugal,
EPI_ISL_419254,2020-03-23,Italy,Rome
EPI_ISL_418806,2020-03-05,Belgium,Beersel
EPI_ISL_416334,2020-02-06,China,Shanghai
EPI_ISL_418854,2020-03-11,Canada,British Columbia
EPI_ISL_420052,2020-03-20,France,Ile de France
EPI_ISL_425676,2020-03-16,Scotland,
EPI_ISL_415707,2020-03-08,Switzerland,
EPI_ISL_418982,2020-03-09,Belgium,Oevel
EPI_ISL_417487,2020-03-01,Norway,Oslo
EPI_ISL_421740,2020-03-17,Luxembourg,
EPI_ISL_420348,2020-03-05,Belgium,Havre
EPI_ISL_425924,2020-03-24,Scotland,
EPI_ISL_414519,2020-02-24,Hong Kong,
EPI_ISL_425235,2020-03-30,England,
EPI_ISL_418990,2020-02-03,China,Hangzhou
EPI_ISL_418423,2020-03-17,France,ARA
EPI_ISL_419656,2020-02-26,Austria,
EPI_ISL_425244,2020-04-01,England,
EPI_ISL_416321,2020-01-28,China,Shanghai
EPI_ISL_414019,2020-02-27,Switzerland,Geneva
EPI_ISL_420439,2020-03-25,Belgium,Quaregnon
EPI_ISL_418406,2020-03-14,Finland,
EPI_ISL_416567,2020-02-15,Japan,unknown
EPI_ISL_419667,2020-03-13,Austria,
EPI_ISL_408486,2020-01-11,China,Jiangxi
EPI_ISL_420269,2020-03-23,England,South Yorkshire
EPI_ISL_424672,2020-03-11,Mexico,Puebla
EPI_ISL_426183,2020-02-23,South Korea,
EPI_ISL_418211,2020-03-11,Senegal,Touba
EPI_ISL_425268,2020-04-01,England,
EPI_ISL_408514,2020-01-01,China,Hubei
EPI_ISL_422409,2020-03-13,Taiwan,Taipei
EPI_ISL_421232,2020-01-21,China,Hangzhou
EPI_ISL_420385,2020-03-25,Belgium,Genappe
EPI_ISL_420434,2020-03-24,Belgium,Tertre
EPI_ISL_414687,2020-02-25,China,Guangdong
EPI_ISL_413693,2020-01-XX,China,
EPI_ISL_416620,2020-02-17,Japan,unknown
EPI_ISL_416381,2020-02-01,China,Shanghai
EPI_ISL_425290,2020-03-20,England,
EPI_ISL_416473,2020-01-26,China,Hangzhou
EPI_ISL_426005,2020-03-30,Scotland,
EPI_ISL_421182,2020-03-30,Belgium,Liège
EPI_ISL_425316,2020-03-22,England,
EPI_ISL_416350,2020-01-29,China,Shanghai
EPI_ISL_425698,2020-03-17,Scotland,
EPI_ISL_420355,2020-03-06,Belgium,Ronse
EPI_ISL_418659,2020-03-22,Belgium,Liège
EPI_ISL_416577,2020-02-15,Japan,unknown
EPI_ISL_425371,2020-03-19,England,
EPI_ISL_420248,2020-03-25,England,South Yorkshire
EPI_ISL_416368,2020-02-05,China,Shanghai
EPI_ISL_415156,2020-03-01,Belgium,Huldenberg
EPI_ISL_412969,2020-02-10,Japan,
EPI_ISL_425064,2020-03-25,Belgium,Ghent
EPI_ISL_420069,2020-03-17,Senegal,Dakar
EPI_ISL_425063,2020-03-24,Belgium,Ghent
EPI_ISL_413729,2020-02-XX,China,
EPI_ISL_416390,2020-01-31,China,Shanghai
EPI_ISL_414938,2020-01-24,China,Shandong
EPI_ISL_425827,2020-03-13,Scotland,
EPI_ISL_418006,2020-03-13,Portugal,
EPI_ISL_420129,2020-03-13,Spain,Comunitat Valenciana
EPI_ISL_408489,2020-01-31,Taiwan,Taipei
EPI_ISL_402132,2019-12-30,China,Hubei
EPI_ISL_416341,2020-02-01,China,Shanghai
EPI_ISL_418352,2020-03-11,Canada,Ontario
EPI_ISL_420059,2020-03-21,France,Ile de France
EPI_ISL_418245,2020-03-01,Spain,Castilla La Mancha
EPI_ISL_417461,2020-03-11,Germany,Duesseldorf
EPI_ISL_416402,2020-02-11,China,Shanghai
EPI_ISL_413809,2020-02-XX,China,
EPI_ISL_418348,2020-03-08,Canada,Ontario
EPI_ISL_414587,2020-03-03,Ireland,Limerick
EPI_ISL_419660,2020-03-13,Austria,
EPI_ISL_425708,2020-03-17,Scotland,
EPI_ISL_420032,2020-03-22,Democratic Republic of the Congo,Kinshasa
EPI_ISL_419533,2020-03-11,Germany,Duesseldorf
EPI_ISL_419386,2020-03-18,Portugal,Lisbon
EPI_ISL_417340,2020-03-07,France,ARA
EPI_ISL_424975,2020-03-18,Taiwan,Taoyuan
EPI_ISL_421226,2020-01-22,China,Hangzhou
EPI_ISL_421222,2020-03-14,China,Hangzhou
EPI_ISL_413750,2020-02-XX,China,
EPI_ISL_420145,2020-03-09,Norway,
EPI_ISL_418250,2020-XX-XX,Spain,Catalonia
EPI_ISL_425212,2020-03-11,Spain,Comunitat Valenciana
EPI_ISL_425809,2020-03-09,Scotland,
EPI_ISL_419216,2020-02-10,Hong Kong,
EPI_ISL_419233,2020-03-04,Spain,Canary Islands
EPI_ISL_416621,2020-02-17,Japan,unknown
EPI_ISL_416400,2020-02-02,China,Shanghai
EPI_ISL_419180,2020-03-22,France,ARA
EPI_ISL_414586,2020-03-03,Ireland,Limerick
EPI_ISL_413603,2020-03-03,Finland,Helsinki
EPI_ISL_421229,2020-01-21,China,Hangzhou
EPI_ISL_422418,2020-03-19,Taiwan,Taipei
EPI_ISL_419665,2020-03-10,Austria,
EPI_ISL_418344,2020-XX-XX,Canada,Ontario
EPI_ISL_420854,2020-03-25,Democratic Republic of the Congo,Kinshasa
EPI_ISL_418582,2020-03-10,Ireland,Louth
EPI_ISL_417486,2020-03-01,Norway,Oslo
EPI_ISL_426364,2020-03-12,Mexico,Mexico City
EPI_ISL_420607,2020-03-23,France,ARA
EPI_ISL_419535,2020-03-13,Germany,Duesseldorf
EPI_ISL_418814,2020-03-13,Canada,NS
EPI_ISL_418427,2020-03-17,France,ARA
EPI_ISL_413855,2020-02-07,China,Guangdong
EPI_ISL_425707,2020-03-17,Scotland,
EPI_ISL_424973,2020-03-17,Taiwan,Taoyuan
EPI_ISL_411952,2020-01-24,China,Jiangsu
EPI_ISL_420123,2020-03-09,Spain,Comunitat Valenciana
EPI_ISL_425954,2020-03-27,Scotland,
EPI_ISL_419666,2020-03-11,Austria,
EPI_ISL_420620,2020-03-23,France,ARA
EPI_ISL_420844,2020-03-XX,Democratic Republic of the Congo,Kinshasa
EPI_ISL_417457,2020-03-10,Germany,Duesseldorf
EPI_ISL_416591,2020-02-16,Japan,unknown
EPI_ISL_413514,2020-02-27,South Korea,
EPI_ISL_420313,2020-03-10,Norway,
EPI_ISL_416387,2020-02-01,China,Shanghai
EPI_ISL_425184,2020-03-10,Spain,Comunitat Valenciana
EPI_ISL_420131,2020-03-18,Spain,Comunitat Valenciana
EPI_ISL_418356,2020-03-12,Canada,Ontario
EPI_ISL_425807,2020-03-03,Scotland,
EPI_ISL_418021,2020-03-16,Portugal,
EPI_ISL_425949,2020-03-26,Scotland,
EPI_ISL_425221,2020-03-17,Spain,Comunitat Valenciana
EPI_ISL_419240,2020-03-03,Spain,Basque Country
EPI_ISL_414509,2020-02-28,Germany,North Rhine Westphalia
EPI_ISL_425675,2020-03-16,Scotland,
EPI_ISL_416590,2020-02-16,Japan,unknown
EPI_ISL_420078,2020-03-20,Senegal,Thies
EPI_ISL_418838,2020-03-12,Canada,British Columbia
EPI_ISL_411929,2020-01-XX,South Korea,
EPI_ISL_425744,2020-03-19,Scotland,
EPI_ISL_417462,2020-03-11,Germany,Duesseldorf
EPI_ISL_420119,2020-03-09,Spain,Comunitat Valenciana
EPI_ISL_418345,2020-02-29,Canada,Ontario
EPI_ISL_418357,2020-03-12,Canada,Ontario
EPI_ISL_417942,2020-03-18,Democratic Republic of the Congo,Kinshasa
EPI_ISL_416342,2020-02-04,China,Shanghai
EPI_ISL_421761,2020-03-17,Luxembourg,
EPI_ISL_421485,2020-03-22,Portugal,
EPI_ISL_425735,2020-03-19,Scotland,
EPI_ISL_421503,2020-03-12,France,Ile de France
EPI_ISL_410720,2020-01-23,France,Ile-de-France
EPI_ISL_417948,2020-03-19,Democratic Republic of the Congo,Kinshasa
EPI_ISL_425845,2020-03-09,Scotland,
EPI_ISL_420042,2020-03-17,France,Ile de France
EPI_ISL_407079,2020-01-29,Finland,Lapland
EPI_ISL_416605,2020-02-16,Japan,unknown
EPI_ISL_422431,2020-03-31,Singapore,
EPI_ISL_418816,2020-03-11,Canada,British Columbia
EPI_ISL_425933,2020-03-25,Scotland,
EPI_ISL_425677,2020-03-16,Scotland,
EPI_ISL_418428,2020-03-17,France,ARA
EPI_ISL_410536,2020-02-06,Singapore,
EPI_ISL_425876,2020-03-21,Scotland,
EPI_ISL_414643,2020-03-07,Finland,
EPI_ISL_416484,2020-02-27,Spain,Comunitat Valenciana
EPI_ISL_416586,2020-02-16,Japan,unknown
EPI_ISL_421494,2020-03-20,Portugal,
EPI_ISL_419311,2020-03-13,Japan,Chiba
EPI_ISL_420122,2020-03-09,Spain,Comunitat Valenciana
EPI_ISL_417956,2020-03-11,Spain,Madrid
EPI_ISL_425705,2020-03-17,Scotland,
EPI_ISL_416582,2020-02-15,Japan,unknown
EPI_ISL_418845,2020-03-11,Canada,British Columbia
EPI_ISL_420121,2020-03-09,Spain,Comunitat Valenciana
EPI_ISL_419232,2020-02-19,Hong Kong,
EPI_ISL_419175,2020-03-21,France,ARA
EPI_ISL_421452,2020-03-18,Portugal,
EPI_ISL_421499,2020-03-24,Portugal,
EPI_ISL_419235,2020-03-07,Spain,Madrid
EPI_ISL_425678,2020-03-16,Scotland,
EPI_ISL_419537,2020-03-14,Germany,Duesseldorf
EPI_ISL_417999,2020-03-07,Portugal,
EPI_ISL_421743,2020-03-17,Luxembourg,
EPI_ISL_422414,2020-03-16,Taiwan,Taipei
EPI_ISL_418395,2020-03-13,Finland,
EPI_ISL_416609,2020-02-17,Japan,unknown
EPI_ISL_417010,2020-03-04,Spain,Madrid
EPI_ISL_414014,2020-03-02,Brazil,Sao Paulo
EPI_ISL_417972,2020-03-09,Spain,Madrid
EPI_ISL_425720,2020-03-12,Scotland,
EPI_ISL_418324,2020-03-11,Canada,Ontario
EPI_ISL_425124,2020-03-17,Germany,Duesseldorf
EPI_ISL_424365,2020-03-17,India,
EPI_ISL_418994,2020-01-29,Singapore,
EPI_ISL_416033,2020-03-03,Brazil,Sao Paulo
EPI_ISL_425803,2020-03-04,Scotland,
EPI_ISL_421476,2020-03-21,Portugal,
EPI_ISL_415643,2020-03-10,Georgia,Tbilisi
EPI_ISL_420137,2020-03-08,Norway,
EPI_ISL_417521,2020-03-10,Taiwan,Taoyuan
EPI_ISL_417963,2020-03-12,Spain,Madrid
EPI_ISL_416486,2020-03-02,Spain,Comunitat Valenciana
EPI_ISL_425130,2020-03-21,Germany,Duesseldorf
EPI_ISL_421512,2020-03-23,France,Ile de France
EPI_ISL_416587,2020-02-16,Japan,unknown
EPI_ISL_417485,2020-03-02,Norway,Oslo
EPI_ISL_419677,2020-03-09,Spain,Comunitat Valenciana
EPI_ISL_420851,2020-03-25,Democratic Republic of the Congo,Kinshasa
EPI_ISL_419247,2020-02-24,Hong Kong,
EPI_ISL_425228,2020-03-22,Czech Republic,Prague
EPI_ISL_418815,2020-02-09,Hong Kong,
EPI_ISL_416509,2020-03-06,France,Bretagne
EPI_ISL_421468,2020-03-21,Portugal,
EPI_ISL_419586,2020-03-14,Luxembourg,
EPI_ISL_419664,2020-03-23,Austria,
EPI_ISL_414021,2020-02-27,Switzerland,Basel
EPI_ISL_418329,2020-03-12,Canada,Ontario
EPI_ISL_421474,2020-03-21,Portugal,
EPI_ISL_421753,2020-03-17,Luxembourg,
EPI_ISL_420102,2020-03-05,Singapore,
EPI_ISL_418024,2020-03-17,Portugal,
EPI_ISL_413018,2020-02-06,South Korea,
EPI_ISL_426361,2020-03-12,Mexico,Mexico City
EPI_ISL_408665,2020-01-29,Japan,Tokyo
EPI_ISL_416501,2020-03-10,France,Ile de France
EPI_ISL_416477,2020-03-08,Georgia,Tbilisi
EPI_ISL_415698,2020-02-27,Switzerland,
EPI_ISL_416578,2020-02-15,Japan,unknown
EPI_ISL_421179,2020-03-27,Spain,Madrid
EPI_ISL_410531,2020-01-25,Japan,Nara
EPI_ISL_417339,2020-03-08,France,ARA
EPI_ISL_411915,2020-01-25,Taiwan,Taoyuan
EPI_ISL_418431,2020-03-18,France,ARA
EPI_ISL_419600,2020-03-13,Luxembourg,
EPI_ISL_418232,2020-03-15,France,Ile de France
EPI_ISL_419226,2020-02-13,Hong Kong,
EPI_ISL_419250,2020-02-26,Hong Kong,
EPI_ISL_417520,2020-03-09,Taiwan,Taoyuan
EPI_ISL_419178,2020-03-22,France,ARA
EPI_ISL_418017,2020-03-16,Portugal,
EPI_ISL_420116,2020-03-09,Spain,Comunitat Valenciana
EPI_ISL_418234,2020-03-14,France,Ile de France
EPI_ISL_417419,2020-03-01,Italy,Friuli Venezia Giulia
EPI_ISL_418228,2020-03-12,France,Hauts de France
EPI_ISL_421467,2020-03-20,Portugal,
EPI_ISL_416608,2020-02-17,Japan,unknown
EPI_ISL_425216,2020-03-16,Spain,Comunitat Valenciana
EPI_ISL_418420,2020-03-17,France,ARA
EPI_ISL_421178,2020-03-27,Spain,Madrid
EPI_ISL_421738,2020-03-17,Luxembourg,
EPI_ISL_413459,2020-02-20,Japan,Tokyo
EPI_ISL_416619,2020-02-17,Japan,unknown
EPI_ISL_418255,2020-03-14,Italy,Abruzzo
EPI_ISL_420045,2020-03-17,France,Grand-Est
EPI_ISL_413648,2020-03-01,Portugal,
EPI_ISL_418856,2020-03-13,Canada,British Columbia
EPI_ISL_420852,2020-03-26,Democratic Republic of the Congo,Kinshasa
EPI_ISL_414623,2020-02-25,France,Grand-Est
EPI_ISL_419674,2020-03-24,Austria,
EPI_ISL_419550,2020-03-16,Germany,Duesseldorf
EPI_ISL_418852,2020-03-07,Canada,British Columbia
EPI_ISL_419296,2020-03-08,Japan,Kochi
EPI_ISL_414505,2020-02-27,Germany,North Rhine Westphalia
EPI_ISL_426168,2020-02-02,South Korea,
EPI_ISL_418413,2020-03-15,France,ARA
EPI_ISL_418207,2020-03-02,Senegal,Dakar
EPI_ISL_421473,2020-03-21,Portugal,
EPI_ISL_418418,2020-03-16,France,ARA
EPI_ISL_416579,2020-02-15,Japan,unknown
EPI_ISL_422413,2020-03-16,Taiwan,Taipei
EPI_ISL_425214,2020-03-11,Spain,Comunitat Valenciana
EPI_ISL_418373,2020-03-14,Canada,Ontario
EPI_ISL_421670,2020-03-12,India,
EPI_ISL_413604,2020-03-03,Finland,Helsinki
EPI_ISL_414624,2020-02-26,France,Normandie
EPI_ISL_419607,2020-03-14,Luxembourg,
EPI_ISL_413017,2020-02-06,South Korea,
EPI_ISL_416499,2020-03-11,France,Ile de France
EPI_ISL_415742,2020-02-27,Taiwan,Taoyuan
EPI_ISL_420136,2020-03-04,Norway,
EPI_ISL_416512,2020-03-07,France,Bretagne
EPI_ISL_418239,2020-03-16,France,Hauts de France
EPI_ISL_416495,2020-03-10,France,Hauts de France
EPI_ISL_416629,2020-02-17,Japan,unknown
EPI_ISL_418393,2020-03-13,Finland,
EPI_ISL_415644,2020-02-28,Georgia,Tbilisi
EPI_ISL_408667,2020-01-31,Japan,Tokyo
EPI_ISL_418022,2020-03-15,Portugal,
EPI_ISL_421492,2020-03-22,Portugal,
EPI_ISL_413515,2020-02-27,South Korea,
EPI_ISL_418011,2020-03-04,Portugal,
EPI_ISL_418355,2020-03-08,Canada,Ontario
EPI_ISL_414569,2020-02-12,Hong Kong,
EPI_ISL_421762,2020-03-17,Luxembourg,
EPI_ISL_416479,2020-03-05,Georgia,Tbilisi
EPI_ISL_420544,2020-XX-XX,India,
EPI_ISL_416631,2020-02-17,Japan,unknown
EPI_ISL_416632,2020-02-17,Japan,unknown
EPI_ISL_425179,2020-03-10,Spain,Comunitat Valenciana
EPI_ISL_420132,2020-03-18,Spain,Comunitat Valenciana
EPI_ISL_417178,2020-01-25,Hong Kong,
EPI_ISL_421756,2020-03-17,Luxembourg,
EPI_ISL_425180,2020-03-10,Spain,Comunitat Valenciana
EPI_ISL_418330,2020-03-05,Canada,Ontario
EPI_ISL_413024,2020-02-29,Switzerland,Zurich
EPI_ISL_417955,2020-03-21,Democratic Republic of the Congo,Kinshasa
EPI_ISL_425229,2020-03-19,Czech Republic,Prague
EPI_ISL_424361,2020-03-10,India,
EPI_ISL_424363,2020-03-12,India,
EPI_ISL_418336,2020-03-12,Canada,Ontario
EPI_ISL_416570,2020-02-15,Japan,unknown
EPI_ISL_415699,2020-02-27,Switzerland,
EPI_ISL_417531,2020-03-18,Luxembourg,
EPI_ISL_417941,2020-03-18,Democratic Republic of the Congo,Kinshasa
EPI_ISL_425139,2020-03-19,Germany,Duesseldorf
EPI_ISL_419309,2020-03-12,Japan,Chiba
EPI_ISL_416485,2020-02-27,Spain,Comunitat Valenciana
EPI_ISL_417992,2020-03-07,Portugal,
EPI_ISL_418403,2020-03-14,Finland,
EPI_ISL_417523,2020-03-13,Taiwan,Taoyuan
EPI_ISL_420073,2020-03-19,Senegal,Dakar
EPI_ISL_412973,2020-02-20,Italy,Lombardy
EPI_ISL_420085,2020-03-20,Taiwan,
EPI_ISL_418340,2020-03-09,Canada,Ontario
EPI_ISL_418243,2020-02-28,Spain,Andalusia
EPI_ISL_415641,2020-02-27,Georgia,Tbilisi
EPI_ISL_426169,2020-02-05,South Korea,
EPI_ISL_419680,2020-03-10,Spain,Comunitat Valenciana
EPI_ISL_419224,2020-02-13,Hong Kong,
EPI_ISL_418023,2020-03-17,Portugal,
EPI_ISL_420082,2020-03-19,Taiwan,
EPI_ISL_416603,2020-02-16,Japan,unknown
EPI_ISL_421481,2020-03-21,Portugal,
EPI_ISL_418367,2020-03-12,Canada,Ontario
EPI_ISL_420139,2020-03-05,Norway,
EPI_ISL_410719,2020-02-02,Singapore,
EPI_ISL_422407,2020-03-04,Taiwan,Taipei
EPI_ISL_422415,2020-03-17,Taiwan,Taipei
EPI_ISL_420903,2020-03-14,Germany,Munich
EPI_ISL_418401,2020-03-14,Finland,
EPI_ISL_417197,2020-02-09,Hong Kong,
EPI_ISL_424342,2020-03-07,Italy,Rome
EPI_ISL_418387,2020-03-13,Finland,
EPI_ISL_415705,2020-03-06,Switzerland,
EPI_ISL_410532,2020-01-23,Japan,Osaka
EPI_ISL_420566,2020-03-19,Italy,Abruzzo
EPI_ISL_418581,2020-03-08,Ireland,Dublin
EPI_ISL_418584,2020-03-10,Ireland,Wicklow
EPI_ISL_425121,2020-03-16,Germany,Duesseldorf
EPI_ISL_421672,2020-03-12,India,
EPI_ISL_416594,2020-02-16,Japan,unknown
EPI_ISL_416583,2020-02-15,Japan,unknown
EPI_ISL_424970,2020-03-17,Taiwan,Taoyuan
EPI_ISL_421471,2020-03-21,Portugal,
EPI_ISL_420101,2020-03-04,Singapore,
EPI_ISL_420105,2020-03-06,Singapore,
EPI_ISL_424362,2020-03-10,India,
EPI_ISL_418008,2020-03-13,Portugal,
EPI_ISL_419306,2020-03-20,Japan,Saitama
EPI_ISL_421735,2020-03-17,Luxembourg,
EPI_ISL_421479,2020-03-21,Portugal,
EPI_ISL_420890,2020-03-09,Japan,
EPI_ISL_421482,2020-03-18,Portugal,
EPI_ISL_419536,2020-03-14,Germany,Duesseldorf
EPI_ISL_416625,2020-02-17,Japan,unknown
EPI_ISL_417463,2020-03-13,Germany,Duesseldorf
EPI_ISL_419304,2020-03-17,Japan,Saitama
EPI_ISL_418371,2020-03-07,Canada,Ontario
EPI_ISL_419661,2020-03-10,Austria,
EPI_ISL_418339,2020-03-09,Canada,Ontario
EPI_ISL_420104,2020-03-05,Singapore,
EPI_ISL_420548,2020-XX-XX,India,
EPI_ISL_417533,2020-03-18,Luxembourg,
EPI_ISL_418825,2020-03-10,Canada,British Columbia
EPI_ISL_418826,2020-03-10,Canada,British Columbia
EPI_ISL_418248,2020-03-01,Spain,Castilla y Leon
EPI_ISL_415583,2020-03-03,Canada,British Columbia
EPI_ISL_420912,2020-03-21,Germany,Munich
EPI_ISL_418830,2020-03-09,Canada,British Columbia
EPI_ISL_421175,2020-03-29,Spain,Madrid
EPI_ISL_419552,2020-03-16,Germany,Duesseldorf
EPI_ISL_419387,2020-03-18,Portugal,Lisbon
EPI_ISL_417423,2020-03-01,Italy,Friuli Venezia Giulia
EPI_ISL_417946,2020-03-18,Democratic Republic of the Congo,Kinshasa
EPI_ISL_421750,2020-03-17,Luxembourg,
EPI_ISL_414571,2020-02-22,Hong Kong,
EPI_ISL_407193,2020-01-25,South Korea,Gyeonggi-do
EPI_ISL_418253,2020-03-02,Spain,Basque Country
EPI_ISL_419236,2020-03-07,Spain,Madrid
EPI_ISL_416524,2020-03-11,Japan,Saitama
EPI_ISL_419659,2020-03-10,Austria,
