dataset,phylo_prec,phylo_rec,phylo_f1,tnet_prec,tnet_rec,tnet_f1,tnet_bias_prec,tnet_bias_rec,tnet_bias_f1
SEIR015_sl500_mr025_nv10_14,0,0,0,0,0,0,0,0,0
SEIR015_sl500_mr025_nv10_15,1,0.052,0.098,1,0.069,0.129,1,0.086,0.159
SEIR015_sl500_mr025_nv10_16,0,0,0,0,0,0,0,0,0
SEIR015_sl500_mr025_nv10_17,0,0,0,1,0.071,0.133,1,0.143,0.25
SEIR015_sl500_mr025_nv10_18,1,0.115,0.207,1,0.154,0.267,1,0.192,0.323
SEIR015_sl500_mr025_nv10_19,0,0,0,0,0,0,0,0,0
SEIR015_sl500_mr025_nv10_2,0,0,0,0.5,0.125,0.2,0.75,0.375,0.5
SEIR015_sl500_mr025_nv10_20,1,0.047,0.09,1,0.094,0.171,1,0.078,0.145
SEIR015_sl500_mr025_nv10_3,0,0,0,1,0.081,0.15,1,0.054,0.103
SEIR015_sl500_mr025_nv10_4,1,0.024,0.048,1,0.122,0.217,1,0.098,0.178
SEIR015_sl500_mr025_nv10_5,1,0.071,0.133,1,0.286,0.444,1,0.214,0.353
SEIR015_sl500_mr025_nv10_6,0,0,0,1,0.053,0.1,1,0.053,0.1
SEIR015_sl500_mr025_nv10_7,1,0.016,0.032,1,0.113,0.203,1,0.113,0.203
SEIR015_sl500_mr025_nv10_8,1,0.03,0.058,1,0.045,0.086,0,0,0
SEIR015_sl500_mr025_nv10_9,0,0,0,0,0,0,1,0.091,0.167
SEIR01_sl1000_mr0125_nv10_1,1,0.167,0.286,1,0.167,0.286,1,0.167,0.286
SEIR01_sl1000_mr0125_nv10_10,0.938,0.278,0.429,0.917,0.407,0.564,0.926,0.463,0.617
SEIR01_sl1000_mr0125_nv10_11,1,0.154,0.267,1,0.154,0.267,1,0.154,0.267
SEIR01_sl1000_mr0125_nv10_12,0,0,0,0,0,0,0,0,0
SEIR01_sl1000_mr0125_nv10_13,1,0.1,0.182,1,0.3,0.462,1,0.3,0.462
SEIR01_sl1000_mr0125_nv10_14,1,0.4,0.571,1,0.467,0.636,1,0.533,0.696
SEIR01_sl1000_mr0125_nv10_15,1,0.167,0.286,1,0.292,0.452,1,0.292,0.452
SEIR01_sl1000_mr0125_nv10_16,0,0,0,0,0,0,0,0,0
SEIR01_sl1000_mr0125_nv10_17,1,0.083,0.154,1,0.167,0.286,1,0.25,0.4
SEIR01_sl1000_mr0125_nv10_18,1,0.333,0.5,1,0.267,0.421,1,0.4,0.571
SEIR01_sl1000_mr0125_nv10_19,1,0.267,0.421,1,0.433,0.605,1,0.433,0.605
SEIR01_sl1000_mr0125_nv10_2,1,0.154,0.267,1,0.346,0.514,1,0.423,0.595
SEIR01_sl1000_mr0125_nv10_20,1,0.24,0.387,1,0.44,0.611,1,0.44,0.611
SEIR01_sl1000_mr0125_nv10_3,1,0.316,0.48,1,0.263,0.417,1,0.395,0.566
SEIR01_sl1000_mr0125_nv10_4,1,0.208,0.345,1,0.375,0.545,1,0.333,0.5
SEIR01_sl1000_mr0125_nv10_5,1,0.17,0.291,1,0.404,0.576,1,0.447,0.618
SEIR01_sl1000_mr0125_nv10_6,1,0.375,0.545,1,0.417,0.588,1,0.479,0.648
SEIR01_sl1000_mr0125_nv10_7,1,0.436,0.607,1,0.615,0.762,1,0.615,0.762
SEIR01_sl1000_mr0125_nv10_8,0,0,0,0,0,0,0,0,0
SEIR01_sl1000_mr0125_nv10_9,0.947,0.383,0.545,1,0.426,0.597,0.963,0.553,0.703
SEIR01_sl1000_mr025_nv10_1,1,0.429,0.6,1,0.429,0.6,1,0.464,0.634
SEIR01_sl1000_mr025_nv10_10,1,0.556,0.714,1,0.778,0.875,0.875,0.778,0.824
SEIR01_sl1000_mr025_nv10_11,1,0.257,0.409,1,0.343,0.511,1,0.371,0.542
SEIR01_sl1000_mr025_nv10_12,1,0.25,0.4,1,0.625,0.769,1,0.625,0.769
SEIR01_sl1000_mr025_nv10_13,1,0.2,0.333,0.778,0.35,0.483,0.875,0.7,0.778
SEIR01_sl1000_mr025_nv10_14,1,0.147,0.256,0.917,0.324,0.478,0.917,0.324,0.478
SEIR01_sl1000_mr025_nv10_15,1,0.3,0.462,1,0.3,0.462,1,0.4,0.571
SEIR01_sl1000_mr025_nv10_16,1,0.452,0.623,1,0.524,0.688,1,0.548,0.708
SEIR01_sl1000_mr025_nv10_17,1,0.311,0.475,0.889,0.356,0.508,0.9,0.4,0.554
SEIR01_sl1000_mr025_nv10_18,1,0.444,0.615,0.833,0.556,0.667,1,0.444,0.615
SEIR01_sl1000_mr025_nv10_19,1,0.237,0.384,1,0.254,0.405,1,0.305,0.468
SEIR01_sl1000_mr025_nv10_2,1,0.182,0.308,0.917,0.5,0.647,1,0.636,0.778
SEIR01_sl1000_mr025_nv10_20,1,0.176,0.3,0.875,0.412,0.56,0.889,0.471,0.615
SEIR01_sl1000_mr025_nv10_3,1,0.306,0.469,0.944,0.347,0.507,0.952,0.408,0.571
SEIR01_sl1000_mr025_nv10_4,1,0.308,0.471,1,0.288,0.448,1,0.442,0.613
SEIR01_sl1000_mr025_nv10_5,1,0.295,0.456,1,0.455,0.625,1,0.523,0.687
SEIR01_sl1000_mr025_nv10_6,1,0.143,0.25,1,0.429,0.6,1,0.429,0.6
SEIR01_sl1000_mr025_nv10_7,1,0.25,0.4,0.938,0.375,0.536,0.947,0.45,0.61
SEIR01_sl1000_mr025_nv10_8,0.9,0.333,0.486,1,0.407,0.579,0.917,0.407,0.564
SEIR01_sl1000_mr025_nv10_9,1,0.404,0.576,1,0.426,0.597,1,0.511,0.676
SEIR01_sl1000_mr025_nv20_1,1,0.5,0.667,1,0.656,0.792,1,0.688,0.815
SEIR01_sl1000_mr025_nv20_10,1,0.222,0.364,1,0.222,0.364,1,0.222,0.364
SEIR01_sl1000_mr025_nv20_11,1,0.2,0.333,0.667,0.4,0.5,0.5,0.2,0.286
SEIR01_sl1000_mr025_nv20_12,1,0.222,0.364,1,0.556,0.714,1,0.556,0.714
SEIR01_sl1000_mr025_nv20_13,1,0.345,0.513,1,0.603,0.753,1,0.603,0.753
SEIR01_sl1000_mr025_nv20_14,1,0.308,0.471,1,0.308,0.471,0.857,0.462,0.6
SEIR01_sl1000_mr025_nv20_15,1,0.304,0.467,1,0.652,0.789,1,0.652,0.789
SEIR01_sl1000_mr025_nv20_16,1,0.286,0.444,1,0.286,0.444,1,0.286,0.444
SEIR01_sl1000_mr025_nv20_17,1,0.36,0.529,1,0.64,0.78,1,0.64,0.78
SEIR01_sl1000_mr025_nv20_18,1,0.5,0.667,0.9,0.692,0.783,0.864,0.731,0.792
SEIR01_sl1000_mr025_nv20_19,1,0.547,0.707,0.953,0.774,0.854,0.956,0.811,0.878
SEIR01_sl1000_mr025_nv20_2,1,0.405,0.576,0.957,0.524,0.677,0.96,0.571,0.716
SEIR01_sl1000_mr025_nv20_20,1,0.226,0.368,1,0.29,0.45,1,0.258,0.41
SEIR01_sl1000_mr025_nv20_3,1,0.286,0.444,1,0.476,0.645,1,0.524,0.688
SEIR01_sl1000_mr025_nv20_4,1,0.375,0.545,0.714,0.625,0.667,0.714,0.625,0.667
SEIR01_sl1000_mr025_nv20_5,1,0.364,0.533,1,0.545,0.706,1,0.545,0.706
SEIR01_sl1000_mr025_nv20_6,1,0.636,0.778,1,0.818,0.9,1,0.818,0.9
SEIR01_sl1000_mr025_nv20_7,1,0.647,0.786,1,0.588,0.741,1,0.647,0.786
SEIR01_sl1000_mr025_nv20_8,1,0.2,0.333,0.6,0.6,0.6,0.6,0.6,0.6
SEIR01_sl1000_mr025_nv20_9,1,0.083,0.154,1,0.333,0.5,1,0.333,0.5
SEIR01_sl1000_mr025_nv5_1,1,0.22,0.36,1,0.293,0.453,1,0.293,0.453
SEIR01_sl1000_mr025_nv5_10,1,0.152,0.263,1,0.152,0.263,1,0.152,0.263
SEIR01_sl1000_mr025_nv5_11,1,0.105,0.19,1,0.158,0.273,1,0.105,0.19
SEIR01_sl1000_mr025_nv5_12,1,0.053,0.1,1,0.211,0.348,1,0.211,0.348
SEIR01_sl1000_mr025_nv5_13,1,0.333,0.5,1,0.333,0.5,1,0.333,0.5
SEIR01_sl1000_mr025_nv5_14,1,0.15,0.261,1,0.15,0.261,1,0.2,0.333
SEIR01_sl1000_mr025_nv5_15,1,0.222,0.364,0.889,0.296,0.444,0.818,0.333,0.474
SEIR01_sl1000_mr025_nv5_16,0,0,0,1,0.056,0.105,0,0,0
SEIR01_sl1000_mr025_nv5_17,1,0.273,0.429,0.75,0.273,0.4,0.833,0.455,0.588
SEIR01_sl1000_mr025_nv5_18,1,0.106,0.192,0.875,0.149,0.255,0.909,0.213,0.345
SEIR01_sl1000_mr025_nv5_19,1,0.293,0.453,1,0.397,0.568,0.964,0.466,0.628
SEIR01_sl1000_mr025_nv5_2,0,0,0,1,0.062,0.118,1,0.062,0.118
SEIR01_sl1000_mr025_nv5_20,1,0.083,0.154,1,0.083,0.154,1,0.167,0.286
SEIR01_sl1000_mr025_nv5_3,1,0.4,0.571,1,0.4,0.571,1,0.4,0.571
SEIR01_sl1000_mr025_nv5_4,1,0.18,0.305,0.917,0.22,0.355,0.944,0.34,0.5
SEIR01_sl1000_mr025_nv5_5,1,0.235,0.381,1,0.196,0.328,1,0.235,0.381
SEIR01_sl1000_mr025_nv5_6,0.5,0.125,0.2,0.667,0.25,0.364,0.5,0.25,0.333
SEIR01_sl1000_mr025_nv5_7,0,0,0,1,0.1,0.182,1,0.1,0.182
SEIR01_sl1000_mr025_nv5_8,1,0.087,0.16,0.857,0.261,0.4,0.857,0.261,0.4
SEIR01_sl1000_mr025_nv5_9,1,0.222,0.364,0.667,0.222,0.333,0.667,0.222,0.333
SEIR01_sl1000_mr05_nv10_1,1,0.385,0.556,0.857,0.462,0.6,0.889,0.615,0.727
SEIR01_sl1000_mr05_nv10_10,1,0.429,0.6,1,0.571,0.727,1,0.571,0.727
SEIR01_sl1000_mr05_nv10_11,1,0.312,0.476,1,0.438,0.609,1,0.438,0.609
SEIR01_sl1000_mr05_nv10_12,1,0.207,0.343,1,0.328,0.494,0.95,0.328,0.487
SEIR01_sl1000_mr05_nv10_13,1,0.125,0.222,0.667,0.25,0.364,0.8,0.5,0.615
SEIR01_sl1000_mr05_nv10_14,1,0.308,0.471,1,0.359,0.528,1,0.359,0.528
SEIR01_sl1000_mr05_nv10_15,1,0.375,0.545,0.875,0.438,0.583,0.889,0.5,0.64
SEIR01_sl1000_mr05_nv10_16,1,0.273,0.429,0.909,0.455,0.606,0.909,0.455,0.606
SEIR01_sl1000_mr05_nv10_17,1,0.364,0.533,1,0.409,0.581,1,0.409,0.581
SEIR01_sl1000_mr05_nv10_18,1,0.232,0.377,1,0.268,0.423,1,0.286,0.444
SEIR01_sl1000_mr05_nv10_19,0,0,0,0,0,0,0,0,0
SEIR01_sl1000_mr05_nv10_2,1,0.25,0.4,0.857,0.75,0.8,0.857,0.75,0.8
SEIR01_sl1000_mr05_nv10_20,1,0.096,0.175,1,0.231,0.375,1,0.269,0.424
SEIR01_sl1000_mr05_nv10_3,1,0.28,0.438,1,0.44,0.611,1,0.48,0.649
SEIR01_sl1000_mr05_nv10_4,1,0.182,0.308,1,0.364,0.533,0.8,0.364,0.5
SEIR01_sl1000_mr05_nv10_5,0.857,0.333,0.48,0.909,0.556,0.69,0.857,0.667,0.75
SEIR01_sl1000_mr05_nv10_6,1,0.225,0.367,0.933,0.35,0.509,0.9,0.45,0.6
SEIR01_sl1000_mr05_nv10_7,1,0.304,0.467,1,0.37,0.54,1,0.457,0.627
SEIR01_sl1000_mr05_nv10_8,0,0,0,1,0.375,0.545,1,0.375,0.545
SEIR01_sl1000_mr05_nv10_9,1,0.423,0.595,1,0.538,0.7,1,0.538,0.7
SEIR01_sl250_mr025_nv10_1,0,0,0,1,0.022,0.043,0,0,0
SEIR01_sl250_mr025_nv10_10,0,0,0,0,0,0,0,0,0
SEIR01_sl250_mr025_nv10_11,0,0,0,0,0,0,0,0,0
SEIR01_sl250_mr025_nv10_12,0,0,0,0,0,0,0,0,0
SEIR01_sl250_mr025_nv10_13,0,0,0,0,0,0,0,0,0
SEIR01_sl250_mr025_nv10_14,0,0,0,0.75,0.065,0.12,1,0.043,0.083
SEIR01_sl250_mr025_nv10_15,0,0,0,0,0,0,0,0,0
SEIR01_sl250_mr025_nv10_16,0,0,0,1,0.022,0.043,1,0.022,0.043
SEIR01_sl250_mr025_nv10_17,0,0,0,0,0,0,0,0,0
SEIR01_sl250_mr025_nv10_18,0,0,0,1,0.094,0.171,1,0.125,0.222
SEIR01_sl250_mr025_nv10_19,0,0,0,1,0.25,0.4,1,0.167,0.286
SEIR01_sl250_mr025_nv10_2,0,0,0,0.5,0.071,0.125,1,0.071,0.133
SEIR01_sl250_mr025_nv10_20,0,0,0,0,0,0,0,0,0
SEIR01_sl250_mr025_nv10_3,0,0,0,0,0,0,0,0,0
SEIR01_sl250_mr025_nv10_4,0,0,0,0,0,0,0,0,0
SEIR01_sl250_mr025_nv10_5,0,0,0,0,0,0,0,0,0
SEIR01_sl250_mr025_nv10_6,0,0,0,0,0,0,0,0,0
SEIR01_sl250_mr025_nv10_7,0,0,0,1,0.143,0.25,1,0.143,0.25
SEIR01_sl250_mr025_nv10_8,0,0,0,1,0.059,0.111,1,0.029,0.057
SEIR01_sl250_mr025_nv10_9,0,0,0,0,0,0,0,0,0
SEIR01_sl500_mr025_nv10_1,1,0.1,0.182,0,0,0,1,0.1,0.182
SEIR01_sl500_mr025_nv10_10,0,0,0,0.5,0.071,0.125,0.667,0.143,0.235
SEIR01_sl500_mr025_nv10_11,1,0.118,0.211,1,0.353,0.522,1,0.353,0.522
SEIR01_sl500_mr025_nv10_12,1,0.02,0.038,1,0.157,0.271,1,0.137,0.241
SEIR01_sl500_mr025_nv10_13,1,0.05,0.095,1,0.05,0.095,1,0.05,0.095
SEIR01_sl500_mr025_nv10_14,0,0,0,1,0.167,0.286,0,0,0
SEIR01_sl500_mr025_nv10_15,1,0.052,0.098,1,0.172,0.294,1,0.172,0.294
SEIR01_sl500_mr025_nv10_16,0,0,0,1,0.067,0.125,0,0,0
SEIR01_sl500_mr025_nv10_17,0,0,0,0,0,0,0,0,0
SEIR01_sl500_mr025_nv10_18,0,0,0,0.5,0.167,0.25,0.5,0.167,0.25
SEIR01_sl500_mr025_nv10_19,1,0.125,0.222,1,0.125,0.222,1,0.125,0.222
SEIR01_sl500_mr025_nv10_2,0,0,0,0,0,0,0,0,0
SEIR01_sl500_mr025_nv10_20,1,0.188,0.316,1,0.219,0.359,1,0.219,0.359
SEIR01_sl500_mr025_nv10_3,0,0,0,0,0,0,0,0,0
SEIR01_sl500_mr025_nv10_4,0,0,0,1,0.143,0.25,0,0,0
SEIR01_sl500_mr025_nv10_5,0,0,0,0,0,0,0,0,0
SEIR01_sl500_mr025_nv10_6,1,0.094,0.172,1,0.151,0.262,1,0.151,0.262
SEIR01_sl500_mr025_nv10_7,1,0.118,0.211,1,0.147,0.256,1,0.235,0.381
SEIR01_sl500_mr025_nv10_8,1,0.062,0.118,1,0.125,0.222,1,0.062,0.118
SEIR01_sl500_mr025_nv10_9,1,0.111,0.2,1,0.111,0.2,1,0.111,0.2
SIR003_sl1000_mr025_nv10_1,1,0.071,0.133,1,0.143,0.25,1,0.143,0.25
SIR003_sl1000_mr025_nv10_10,1,0.308,0.471,1,0.462,0.632,1,0.462,0.632
