dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1
SEIR015_sl500_mr025_nv10_14,1,0.889,0.941,0.8,0.889,0.842
SEIR015_sl500_mr025_nv10_15,0.809,0.655,0.724,0.867,0.897,0.881
SEIR015_sl500_mr025_nv10_16,0.6,0.75,0.667,0.714,0.833,0.769
SEIR015_sl500_mr025_nv10_17,0.765,0.929,0.839,0.684,0.929,0.788
SEIR015_sl500_mr025_nv10_18,0.765,0.5,0.605,0.852,0.885,0.868
SEIR015_sl500_mr025_nv10_19,0.889,0.8,0.842,1,1,1
SEIR015_sl500_mr025_nv10_2,0.625,0.625,0.625,0.625,0.625,0.625
SEIR015_sl500_mr025_nv10_20,0.73,0.719,0.724,0.779,0.828,0.803
SEIR015_sl500_mr025_nv10_3,0.733,0.595,0.657,0.805,0.892,0.846
SEIR015_sl500_mr025_nv10_4,0.659,0.707,0.682,0.66,0.756,0.705
SEIR015_sl500_mr025_nv10_5,0.812,0.929,0.867,0.867,0.929,0.897
SEIR015_sl500_mr025_nv10_6,0.75,0.789,0.769,0.75,0.789,0.769
SEIR015_sl500_mr025_nv10_7,0.653,0.516,0.577,0.535,0.613,0.571
SEIR015_sl500_mr025_nv10_8,0.716,0.716,0.716,0.7,0.836,0.762
SEIR015_sl500_mr025_nv10_9,0.6,0.818,0.692,0.615,0.727,0.667
SEIR01_sl1000_mr0125_nv10_1,0.765,0.722,0.743,0.684,0.722,0.703
SEIR01_sl1000_mr0125_nv10_10,0.918,0.833,0.874,0.926,0.926,0.926
SEIR01_sl1000_mr0125_nv10_11,0.923,0.923,0.923,0.923,0.923,0.923
SEIR01_sl1000_mr0125_nv10_12,0.25,0.2,0.222,0.2,0.2,0.2
SEIR01_sl1000_mr0125_nv10_13,0.818,0.9,0.857,0.818,0.9,0.857
SEIR01_sl1000_mr0125_nv10_14,0.935,0.967,0.951,0.935,0.967,0.951
SEIR01_sl1000_mr0125_nv10_15,0.864,0.792,0.826,0.875,0.875,0.875
SEIR01_sl1000_mr0125_nv10_16,0.857,0.857,0.857,0.857,0.857,0.857
