dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1
SEIR015_sl250_mr025_nv10_14,0.429,0.72,0.537,0.39,0.64,0.485
SEIR015_sl250_mr025_nv10_15,0.569,0.673,0.617,0.492,0.592,0.537
SEIR015_sl250_mr025_nv10_16,0.273,0.556,0.366,0.17,0.333,0.225
SEIR015_sl250_mr025_nv10_17,0.615,0.667,0.64,0.615,0.667,0.64
SEIR015_sl250_mr025_nv10_18,0.222,0.364,0.276,0.333,0.545,0.414
SEIR015_sl250_mr025_nv10_19,0.628,0.73,0.675,0.651,0.757,0.7
SEIR015_sl250_mr025_nv10_2,0.273,0.409,0.327,0.25,0.318,0.28
SEIR015_sl250_mr025_nv10_20,0.533,0.727,0.615,0.548,0.697,0.613
SEIR015_sl250_mr025_nv10_3,0.391,0.6,0.474,0.611,0.733,0.667
SEIR015_sl250_mr025_nv10_4,0.621,0.72,0.667,0.643,0.72,0.679
SEIR015_sl250_mr025_nv10_5,0.667,0.75,0.706,0.75,0.75,0.75
SEIR015_sl250_mr025_nv10_6,0.525,0.6,0.56,0.524,0.629,0.571
SEIR015_sl250_mr025_nv10_7,0.308,0.5,0.381,0.333,0.375,0.353
SEIR015_sl250_mr025_nv10_8,0.7,0.778,0.737,0.733,0.815,0.772
SEIR015_sl250_mr025_nv10_9,0.542,0.867,0.667,0.737,0.933,0.824
SEIR015_sl500_mr025_nv10_1,0.727,0.8,0.762,0.727,0.8,0.762
SEIR015_sl500_mr025_nv10_10,0.889,0.93,0.909,0.889,0.93,0.909
SEIR015_sl500_mr025_nv10_11,0.182,0.25,0.211,0.182,0.25,0.211
SEIR015_sl500_mr025_nv10_12,0.641,0.774,0.701,0.695,0.774,0.732
SEIR015_sl500_mr025_nv10_13,0.459,0.607,0.523,0.514,0.643,0.571
SEIR015_sl500_mr025_nv10_14,0.8,0.889,0.842,0.8,0.889,0.842
SEIR015_sl500_mr025_nv10_15,0.833,0.862,0.847,0.867,0.897,0.881
SEIR015_sl500_mr025_nv10_16,0.714,0.833,0.769,0.714,0.833,0.769
SEIR015_sl500_mr025_nv10_17,0.556,0.714,0.625,0.684,0.929,0.788
SEIR015_sl500_mr025_nv10_18,0.714,0.769,0.741,0.852,0.885,0.868
SEIR015_sl500_mr025_nv10_19,0.818,0.9,0.857,1,1,1
SEIR015_sl500_mr025_nv10_2,0.625,0.625,0.625,0.625,0.625,0.625
SEIR015_sl500_mr025_nv10_20,0.729,0.797,0.761,0.779,0.828,0.803
SEIR015_sl500_mr025_nv10_3,0.756,0.838,0.795,0.805,0.892,0.846
SEIR015_sl500_mr025_nv10_4,0.577,0.732,0.645,0.66,0.756,0.705
SEIR015_sl500_mr025_nv10_5,0.933,1,0.966,0.867,0.929,0.897
SEIR015_sl500_mr025_nv10_6,0.75,0.789,0.769,0.75,0.789,0.769
SEIR015_sl500_mr025_nv10_7,0.486,0.565,0.522,0.535,0.613,0.571
SEIR015_sl500_mr025_nv10_8,0.619,0.776,0.689,0.7,0.836,0.762
SEIR015_sl500_mr025_nv10_9,0.571,0.727,0.64,0.615,0.727,0.667
SEIR01_sl1000_mr0125_nv10_1,0.684,0.722,0.703,0.684,0.722,0.703
SEIR01_sl1000_mr0125_nv10_10,0.852,0.852,0.852,0.926,0.926,0.926
SEIR01_sl1000_mr0125_nv10_11,0.923,0.923,0.923,0.923,0.923,0.923
SEIR01_sl1000_mr0125_nv10_12,0.2,0.2,0.2,0.2,0.2,0.2
SEIR01_sl1000_mr0125_nv10_13,0.818,0.9,0.857,0.818,0.9,0.857
SEIR01_sl1000_mr0125_nv10_14,0.903,0.933,0.918,0.935,0.967,0.951
SEIR01_sl1000_mr0125_nv10_15,0.833,0.833,0.833,0.875,0.875,0.875
SEIR01_sl1000_mr0125_nv10_16,0.625,0.714,0.667,0.857,0.857,0.857
SEIR01_sl1000_mr0125_nv10_17,0.833,0.833,0.833,0.833,0.833,0.833
SEIR01_sl1000_mr0125_nv10_18,0.87,0.889,0.879,0.87,0.889,0.879
SEIR01_sl1000_mr0125_nv10_19,0.839,0.867,0.852,0.903,0.933,0.918
SEIR01_sl1000_mr0125_nv10_2,0.923,0.923,0.923,0.923,0.923,0.923
SEIR01_sl1000_mr0125_nv10_20,0.92,0.92,0.92,0.852,0.92,0.885
