dataset,precision,recall,f1
SEIR015_sl1000_mr025_nv10_20,0.5,0.625,0.556
SEIR015_sl1000_mr025_nv10_3,0.875,0.913,0.894
SEIR015_sl1000_mr025_nv10_4,0.609,0.636,0.622
SEIR015_sl1000_mr025_nv10_5,0.816,0.833,0.825
SEIR015_sl1000_mr025_nv10_6,0.761,0.761,0.761
SEIR015_sl1000_mr025_nv10_7,0.889,0.889,0.889
SEIR015_sl1000_mr025_nv10_8,0.8,0.8,0.8
SEIR015_sl1000_mr025_nv10_9,0.828,0.857,0.842
SEIR015_sl1000_mr025_nv20_1,0.611,0.733,0.667
SEIR015_sl1000_mr025_nv20_10,0.417,0.556,0.476
SEIR015_sl1000_mr025_nv20_11,0.857,0.923,0.889
SEIR015_sl1000_mr025_nv20_12,0.542,0.65,0.591
SEIR015_sl1000_mr025_nv20_13,0.615,0.889,0.727
SEIR015_sl1000_mr025_nv20_14,0.636,0.636,0.636
SEIR015_sl1000_mr025_nv20_15,0.471,0.667,0.552
SEIR015_sl1000_mr025_nv20_16,0.774,0.8,0.787
SEIR015_sl1000_mr025_nv20_17,0.78,0.821,0.8
SEIR015_sl1000_mr025_nv20_18,0.551,0.692,0.614
SEIR015_sl1000_mr025_nv20_19,0.5,0.636,0.56
SEIR015_sl1000_mr025_nv20_2,0.778,0.84,0.808
SEIR015_sl1000_mr025_nv20_20,0.632,0.632,0.632
SEIR015_sl1000_mr025_nv20_3,0.557,0.667,0.607
SEIR015_sl1000_mr025_nv20_4,0.676,0.697,0.687
SEIR015_sl1000_mr025_nv20_5,0.744,0.744,0.744
SEIR015_sl1000_mr025_nv20_6,0.667,0.789,0.723
SEIR015_sl1000_mr025_nv20_7,0.861,0.861,0.861
SEIR015_sl1000_mr025_nv20_8,0.548,0.687,0.609
SEIR015_sl1000_mr025_nv20_9,0.526,0.556,0.541
SEIR015_sl1000_mr025_nv5_1,0.533,0.571,0.552
SEIR015_sl1000_mr025_nv5_10,0.59,0.639,0.613
SEIR015_sl1000_mr025_nv5_11,0.692,0.766,0.727
SEIR015_sl1000_mr025_nv5_12,0.273,0.273,0.273
SEIR015_sl1000_mr025_nv5_13,0.781,0.806,0.794
SEIR015_sl1000_mr025_nv5_14,0.579,0.733,0.647
SEIR015_sl1000_mr025_nv5_15,0.625,0.692,0.657
SEIR015_sl1000_mr025_nv5_16,0.808,0.808,0.808
SEIR015_sl1000_mr025_nv5_17,0.651,0.683,0.667
SEIR015_sl1000_mr025_nv5_18,0.6,0.6,0.6
SEIR015_sl1000_mr025_nv5_19,0.333,0.455,0.385
SEIR015_sl1000_mr025_nv5_2,0.556,0.556,0.556
SEIR015_sl1000_mr025_nv5_20,0.558,0.585,0.571
SEIR015_sl1000_mr025_nv5_3,0.536,0.556,0.545
SEIR015_sl1000_mr025_nv5_4,0.577,0.6,0.588
SEIR015_sl1000_mr025_nv5_5,0.545,0.571,0.558
SEIR015_sl1000_mr025_nv5_6,0.38,0.435,0.406
SEIR015_sl1000_mr025_nv5_7,0.769,0.769,0.769
SEIR015_sl1000_mr025_nv5_8,0.625,0.652,0.638
SEIR015_sl1000_mr025_nv5_9,0.457,0.525,0.488
SEIR015_sl1000_mr05_nv10_1,0.588,0.588,0.588
SEIR015_sl1000_mr05_nv10_10,0.8,0.889,0.842
SEIR015_sl1000_mr05_nv10_11,0.3,0.375,0.333
SEIR015_sl1000_mr05_nv10_12,0.636,0.875,0.737
SEIR015_sl1000_mr05_nv10_13,0.836,0.836,0.836
SEIR015_sl1000_mr05_nv10_14,0.654,0.739,0.694
SEIR015_sl1000_mr05_nv10_15,0.417,0.455,0.435
SEIR015_sl1000_mr05_nv10_16,0.708,0.829,0.764
SEIR015_sl1000_mr05_nv10_17,0.613,0.71,0.658
SEIR015_sl1000_mr05_nv10_18,0.622,0.683,0.651
SEIR015_sl1000_mr05_nv10_19,0.579,0.688,0.629
SEIR015_sl1000_mr05_nv10_2,0.69,0.69,0.69
SEIR015_sl1000_mr05_nv10_20,0.308,0.39,0.344
SEIR015_sl1000_mr05_nv10_3,0.776,0.804,0.789
SEIR015_sl1000_mr05_nv10_4,0.541,0.625,0.58
SEIR015_sl1000_mr05_nv10_5,0.727,0.727,0.727
SEIR015_sl1000_mr05_nv10_6,0.656,0.7,0.677
SEIR015_sl1000_mr05_nv10_7,0.474,0.692,0.562
SEIR015_sl1000_mr05_nv10_8,0.725,0.806,0.763
SEIR015_sl1000_mr05_nv10_9,0.588,0.667,0.625
SEIR015_sl250_mr025_nv10_1,0.519,0.824,0.636
SEIR015_sl250_mr025_nv10_10,0.443,0.661,0.531
SEIR015_sl250_mr025_nv10_11,0.444,0.588,0.506
SEIR015_sl250_mr025_nv10_12,0.478,0.744,0.582
SEIR015_sl250_mr025_nv10_13,0.588,0.625,0.606
SEIR015_sl250_mr025_nv10_14,0.289,0.52,0.371
SEIR015_sl250_mr025_nv10_15,0.508,0.633,0.564
SEIR015_sl250_mr025_nv10_16,0.105,0.222,0.143
SEIR015_sl250_mr025_nv10_17,0.286,0.333,0.308
SEIR015_sl250_mr025_nv10_18,0.25,0.455,0.323
SEIR015_sl250_mr025_nv10_19,0.477,0.568,0.519
SEIR015_sl250_mr025_nv10_2,0.176,0.273,0.214
SEIR015_sl250_mr025_nv10_20,0.535,0.697,0.605
SEIR015_sl250_mr025_nv10_3,0.476,0.667,0.556
SEIR015_sl250_mr025_nv10_4,0.643,0.72,0.679
SEIR015_sl250_mr025_nv10_5,0.556,0.625,0.588
SEIR015_sl250_mr025_nv10_6,0.452,0.543,0.494
SEIR015_sl250_mr025_nv10_7,0.273,0.375,0.316
SEIR015_sl250_mr025_nv10_8,0.667,0.741,0.702
SEIR015_sl250_mr025_nv10_9,0.478,0.733,0.579
SEIR015_sl500_mr025_nv10_1,0.636,0.7,0.667
SEIR015_sl500_mr025_nv10_10,0.711,0.744,0.727
SEIR015_sl500_mr025_nv10_11,0.4,0.5,0.444
SEIR015_sl500_mr025_nv10_12,0.508,0.604,0.552
SEIR015_sl500_mr025_nv10_13,0.444,0.571,0.5
SEIR015_sl500_mr025_nv10_14,0.8,0.889,0.842
SEIR015_sl500_mr025_nv10_15,0.721,0.759,0.739
SEIR015_sl500_mr025_nv10_16,0.588,0.833,0.69
SEIR015_sl500_mr025_nv10_17,0.684,0.929,0.788
SEIR015_sl500_mr025_nv10_18,0.593,0.615,0.604
SEIR015_sl500_mr025_nv10_19,0.818,0.9,0.857
SEIR015_sl500_mr025_nv10_2,0.375,0.375,0.375
SEIR015_sl500_mr025_nv10_20,0.676,0.719,0.697
SEIR015_sl500_mr025_nv10_3,0.558,0.649,0.6
SEIR015_sl500_mr025_nv10_4,0.577,0.732,0.645
SEIR015_sl500_mr025_nv10_5,0.812,0.929,0.867
SEIR015_sl500_mr025_nv10_6,0.75,0.789,0.769
SEIR015_sl500_mr025_nv10_7,0.417,0.484,0.448
SEIR015_sl500_mr025_nv10_8,0.573,0.701,0.631
SEIR015_sl500_mr025_nv10_9,0.615,0.727,0.667
SEIR01_sl1000_mr0125_nv10_1,0.684,0.722,0.703
SEIR01_sl1000_mr0125_nv10_10,0.87,0.87,0.87
