dataset,single,10,20,30,40,50,60,70,80,90,100
SEIR015_sl1000_mr05_nv10_19,0.629,0.636,0.635,0.659,0.716,0.719,0.742,0.678,0.678,0.678,0.678
SEIR015_sl1000_mr05_nv10_2,0.69,0.645,0.65,0.655,0.763,0.778,0.778,0.557,0.557,0.557,0.557
SEIR015_sl1000_mr05_nv10_20,0.344,0.384,0.374,0.394,0.415,0.453,0.423,0.312,0.29,0.295,0.295
SEIR015_sl1000_mr05_nv10_3,0.789,0.765,0.742,0.784,0.828,0.839,0.844,0.808,0.784,0.784,0.784
SEIR015_sl1000_mr05_nv10_4,0.58,0.524,0.524,0.525,0.559,0.576,0.554,0.525,0.456,0.456,0.456
SEIR015_sl1000_mr05_nv10_5,0.727,0.667,0.667,0.692,0.727,0.7,0.7,0.7,0.7,0.7,0.7
SEIR015_sl1000_mr05_nv10_6,0.677,0.643,0.659,0.684,0.767,0.786,0.764,0.708,0.652,0.652,0.652
SEIR015_sl1000_mr05_nv10_7,0.562,0.5,0.5,0.514,0.529,0.533,0.552,0.552,0.552,0.552,0.552
SEIR015_sl1000_mr05_nv10_8,0.763,0.673,0.674,0.674,0.757,0.761,0.771,0.75,0.742,0.742,0.742
SEIR015_sl1000_mr05_nv10_9,0.625,0.564,0.564,0.611,0.629,0.688,0.733,0.643,0.48,0.48,0.48
SEIR015_sl250_mr025_nv10_1,0.636,0.64,0.667,0.652,0.682,0.75,0.737,0.737,0.737,0.703,0.703
SEIR015_sl250_mr025_nv10_10,0.531,0.49,0.508,0.508,0.567,0.611,0.615,0.564,0.544,0.544,0.549
SEIR015_sl250_mr025_nv10_11,0.506,0.5,0.5,0.538,0.595,0.611,0.62,0.545,0.492,0.492,0.467
SEIR015_sl250_mr025_nv10_12,0.582,0.483,0.486,0.531,0.589,0.617,0.588,0.598,0.598,0.598,0.598
SEIR015_sl250_mr025_nv10_13,0.606,0.585,0.585,0.6,0.75,0.774,0.774,0.643,0.593,0.593,0.593
SEIR015_sl250_mr025_nv10_14,0.371,0.368,0.381,0.405,0.4,0.438,0.459,0.467,0.448,0.421,0.393
SEIR015_sl250_mr025_nv10_15,0.564,0.507,0.519,0.527,0.505,0.5,0.495,0.538,0.545,0.545,0.545
SEIR015_sl250_mr025_nv10_16,0.143,0.116,0.124,0.137,0.165,0.154,0.169,0.182,0.19,0.19,0.197
SEIR015_sl250_mr025_nv10_17,0.308,0.4,0.4,0.378,0.381,0.4,0.4,0.222,0.222,0.222,0.222
SEIR015_sl250_mr025_nv10_18,0.323,0.41,0.421,0.432,0.375,0.387,0.357,0.4,0.273,0.273,0.273
SEIR015_sl250_mr025_nv10_19,0.519,0.547,0.547,0.54,0.575,0.597,0.587,0.508,0.459,0.433,0.433
SEIR015_sl250_mr025_nv10_2,0.214,0.24,0.25,0.254,0.255,0.275,0.286,0.255,0.217,0.217,0.222
SEIR015_sl250_mr025_nv10_20,0.605,0.581,0.581,0.595,0.59,0.613,0.613,0.667,0.687,0.687,0.687
SEIR015_sl250_mr025_nv10_3,0.556,0.579,0.579,0.595,0.611,0.647,0.625,0.581,0.581,0.581,0.581
SEIR015_sl250_mr025_nv10_4,0.679,0.61,0.61,0.621,0.667,0.679,0.692,0.708,0.681,0.681,0.681
SEIR015_sl250_mr025_nv10_5,0.588,0.7,0.7,0.737,0.75,0.75,0.75,0.714,0.714,0.714,0.714
SEIR015_sl250_mr025_nv10_6,0.494,0.517,0.517,0.518,0.564,0.579,0.56,0.507,0.485,0.485,0.485
SEIR015_sl250_mr025_nv10_7,0.316,0.4,0.4,0.316,0.333,0.333,0.353,0.353,0.375,0.375,0.375
SEIR015_sl250_mr025_nv10_8,0.702,0.692,0.703,0.754,0.8,0.769,0.76,0.681,0.636,0.636,0.636
SEIR015_sl250_mr025_nv10_9,0.579,0.56,0.56,0.583,0.788,0.75,0.75,0.519,0.519,0.462,0.462
SEIR015_sl500_mr025_nv10_1,0.667,0.64,0.64,0.545,0.6,0.632,0.632,0.632,0.632,0.632,0.632
SEIR015_sl500_mr025_nv10_10,0.727,0.752,0.752,0.788,0.851,0.857,0.829,0.747,0.704,0.704,0.704
SEIR015_sl500_mr025_nv10_11,0.444,0.452,0.519,0.583,0.526,0.533,0.167,0.167,0.167,0.167,0.167
SEIR015_sl500_mr025_nv10_12,0.552,0.589,0.582,0.612,0.655,0.687,0.653,0.6,0.558,0.558,0.558
SEIR015_sl500_mr025_nv10_13,0.5,0.465,0.465,0.488,0.516,0.542,0.571,0.538,0.538,0.538,0.538
SEIR015_sl500_mr025_nv10_14,0.842,0.727,0.727,0.8,0.889,0.941,0.941,0.941,0.941,0.941,0.941
SEIR015_sl500_mr025_nv10_15,0.739,0.689,0.689,0.695,0.769,0.804,0.804,0.713,0.688,0.688,0.688
SEIR015_sl500_mr025_nv10_16,0.69,0.537,0.579,0.629,0.71,0.741,0.72,0.571,0.571,0.421,0.421
