strain	date	division	division_exposure
EPI_ISL_476917	2020-03-13	Connecticut	Connecticut
EPI_ISL_437870	2020-04-02	Connecticut	Connecticut
EPI_ISL_437871	2020-04-03	Connecticut	Connecticut
EPI_ISL_437872	2020-04-02	Connecticut	Connecticut
EPI_ISL_461411	2020-04-02	Connecticut	Connecticut
EPI_ISL_461416	2020-04-03	Connecticut	Connecticut
EPI_ISL_418058	2020-03-13	Connecticut	Connecticut
EPI_ISL_418871	2020-03-14	Connecticut	Connecticut
EPI_ISL_418895	2020-03-14	Connecticut	Connecticut
EPI_ISL_418898	2020-03-14	Connecticut	Connecticut
EPI_ISL_416417	2020-03-10	Connecticut	Connecticut
EPI_ISL_416423	2020-03-12	Connecticut	Connecticut
EPI_ISL_420095	2020-03-19	Connecticut	Connecticut
EPI_ISL_419521	2020-03-18	Connecticut	Connecticut
EPI_ISL_428371	2020-03-18	Connecticut	Connecticut
EPI_ISL_420097	2020-03-18	Connecticut	Connecticut
EPI_ISL_419512	2020-03-23	Connecticut	Connecticut
EPI_ISL_428379	2020-03-28	Connecticut	Connecticut
EPI_ISL_428391	2020-04-01	Connecticut	Connecticut
EPI_ISL_428387	2020-03-31	Connecticut	Connecticut
EPI_ISL_428385	2020-04-04	Connecticut	Connecticut
EPI_ISL_428745	2020-03-26	Connecticut	Connecticut
EPI_ISL_428389	2020-04-02	Connecticut	Connecticut
EPI_ISL_431080	2020-03-02	Ohio	Ohio
EPI_ISL_428747	2020-04-06	Connecticut	Connecticut
EPI_ISL_431081	2020-04-06	Ohio	Ohio
EPI_ISL_435706	2020-04-08	Connecticut	Connecticut
EPI_ISL_428751	2020-04-09	Connecticut	Connecticut
EPI_ISL_431082	2020-04-10	Ohio	Ohio
EPI_ISL_431083	2020-04-10	Ohio	Ohio
EPI_ISL_431084	2020-04-11	Ohio	Ohio
EPI_ISL_431085	2020-04-11	Ohio	Ohio
EPI_ISL_431086	2020-04-11	Ohio	Ohio
EPI_ISL_431089	2020-04-13	Ohio	Ohio
EPI_ISL_431092	2020-04-13	Ohio	Ohio
EPI_ISL_463138	2020-03-30	Connecticut	Connecticut
EPI_ISL_463151	2020-03-31	Connecticut	Connecticut
EPI_ISL_463164	2020-03-31	Connecticut	Connecticut
EPI_ISL_469178	2020-04-01	Connecticut	Connecticut
EPI_ISL_469182	2020-04-01	Connecticut	Connecticut
EPI_ISL_469183	2020-04-01	Connecticut	Connecticut
EPI_ISL_469186	2020-04-01	Connecticut	Connecticut
EPI_ISL_469189	2020-04-02	Connecticut	Connecticut
EPI_ISL_469203	2020-04-02	Connecticut	Connecticut
EPI_ISL_469208	2020-04-02	Connecticut	Connecticut
EPI_ISL_476526	2020-03-28	Connecticut	Connecticut
EPI_ISL_476553	2020-04-01	Connecticut	Connecticut
EPI_ISL_480791	2020-03-10	Florida	Florida
EPI_ISL_480796	2020-03-12	Florida	Florida
EPI_ISL_480804	2020-04-01	Florida	Florida
EPI_ISL_480810	2020-04-02	Florida	Florida
EPI_ISL_480817	2020-04-03	Florida	Florida
EPI_ISL_480819	2020-04-03	Florida	Florida
EPI_ISL_480823	2020-04-04	Florida	Florida
EPI_ISL_480825	2020-04-04	Florida	Florida
EPI_ISL_480829	2020-04-05	Florida	Florida
EPI_ISL_480839	2020-04-05	Florida	Florida
EPI_ISL_480855	2020-04-14	Florida	Florida
EPI_ISL_480856	2020-04-14	Florida	Florida
EPI_ISL_480862	2020-04-19	Florida	Florida
EPI_ISL_480863	2020-04-18	Florida	Florida
EPI_ISL_480872	2020-04-21	Florida	Florida
EPI_ISL_480879	2020-04-22	Florida	Florida
EPI_ISL_480884	2020-04-25	Florida	Florida
EPI_ISL_480893	2020-05-02	Florida	Florida
EPI_ISL_480896	2020-05-02	Florida	Florida
EPI_ISL_480897	2020-05-02	Florida	Florida
EPI_ISL_480898	2020-05-02	Florida	Florida
EPI_ISL_480899	2020-05-03	Florida	Florida
EPI_ISL_480901	2020-05-03	Florida	Florida
EPI_ISL_480902	2020-05-05	Florida	Florida
EPI_ISL_480903	2020-05-05	Florida	Florida
EPI_ISL_480904	2020-05-05	Florida	Florida
EPI_ISL_480906	2020-05-05	Florida	Florida
EPI_ISL_480907	2020-05-05	Florida	Florida
EPI_ISL_480908	2020-05-05	Florida	Florida
EPI_ISL_480910	2020-05-05	Florida	Florida
EPI_ISL_480914	2020-05-05	Florida	Florida
EPI_ISL_480916	2020-05-06	Florida	Florida
EPI_ISL_480917	2020-05-06	Florida	Florida
EPI_ISL_480918	2020-05-06	Florida	Florida
EPI_ISL_480926	2020-05-07	Florida	Florida
EPI_ISL_480935	2020-05-14	Florida	Florida
EPI_ISL_480942	2020-05-16	Florida	Florida
EPI_ISL_480944	2020-05-16	Florida	Florida
EPI_ISL_480947	2020-05-16	Florida	Florida
EPI_ISL_480948	2020-05-16	Florida	Florida
EPI_ISL_480950	2020-05-16	Florida	Florida
EPI_ISL_480951	2020-06-02	Florida	Florida
EPI_ISL_489712	2020-05-30	Florida	Florida
EPI_ISL_489716	2020-06-02	Florida	Florida
EPI_ISL_489717	2020-06-02	Florida	Florida
EPI_ISL_489720	2020-06-03	Florida	Florida
EPI_ISL_489722	2020-06-03	Florida	Florida
EPI_ISL_489724	2020-06-03	Florida	Florida
EPI_ISL_489730	2020-04-16	Florida	Florida
EPI_ISL_489753	2020-04-13	Florida	Florida
EPI_ISL_489762	2020-04-14	Florida	Florida
EPI_ISL_489764	2020-04-14	Florida	Florida
EPI_ISL_489784	2020-04-23	Florida	Florida
EPI_ISL_489791	2020-04-24	Florida	Florida
EPI_ISL_489792	2020-04-24	Florida	Florida
EPI_ISL_489795	2020-04-30	Florida	Florida
EPI_ISL_489796	2020-04-30	Florida	Florida
EPI_ISL_489803	2020-03-17	Florida	Florida
EPI_ISL_489810	2020-05-14	Florida	Florida
EPI_ISL_489819	2020-05-15	Florida	Florida
EPI_ISL_489823	2020-05-15	Florida	Florida
EPI_ISL_489827	2020-05-15	Florida	Florida
EPI_ISL_452132	2020-03-09	Florida	Florida
EPI_ISL_452111	2020-03-09	Florida	Florida
EPI_ISL_452110	2020-03-09	Florida	Florida
EPI_ISL_447841	2020-03-06	Florida	Florida
EPI_ISL_479760	2020-04-06	Florida	Florida
EPI_ISL_479764	2020-05-21	Florida	Florida
EPI_ISL_479765	2020-06-09	Florida	Florida
EPI_ISL_479769	2020-04-15	Florida	Florida
EPI_ISL_479771	2020-04-15	Florida	Florida
EPI_ISL_468719	2020-04-20	Florida	Florida
EPI_ISL_468720	2020-04-22	Florida	Florida
EPI_ISL_434636	2020-03-10	Florida	Florida
EPI_ISL_447903	2020-04-07	Florida	Florida
EPI_ISL_434637	2020-03-27	Florida	Florida
EPI_ISL_447588	2020-03-27	Florida	Florida
EPI_ISL_491305	2020-06-28	Florida	Florida
EPI_ISL_491306	2020-06-30	Florida	Florida
EPI_ISL_490988	2020-03-18	Florida	Florida
EPI_ISL_424857	2020-03-06	Florida	Florida
EPI_ISL_419560	2020-02-28	Florida	Florida
EPI_ISL_419559	2020-02-28	Florida	Florida
EPI_ISL_420785	2020-03-02	Florida	Florida
EPI_ISL_424855	2020-03-02	Florida	Florida
EPI_ISL_424853	2020-03-05	Florida	Florida
EPI_ISL_424854	2020-03-05	Florida	Florida
EPI_ISL_424856	2020-03-06	Florida	Florida
EPI_ISL_452125	2020-03-07	Georgia	Georgia
EPI_ISL_450801	2020-04-02	Georgia	Georgia
EPI_ISL_452120	2020-03-21	Georgia	Georgia
EPI_ISL_455355	2020-03-13	Georgia	Georgia
EPI_ISL_454690	2020-03-09	Georgia	Georgia
EPI_ISL_455356	2020-03-10	Georgia	Georgia
EPI_ISL_455360	2020-03-10	Georgia	Georgia
EPI_ISL_455361	2020-03-30	Georgia	Georgia
EPI_ISL_455358	2020-04-05	Georgia	Georgia
EPI_ISL_455359	2020-04-23	Georgia	Georgia
EPI_ISL_467846	2020-03-13	Georgia	Georgia
EPI_ISL_467848	2020-03-13	Georgia	Georgia
EPI_ISL_467849	2020-03-13	Georgia	Georgia
EPI_ISL_420787	2020-03-03	Georgia	Georgia
EPI_ISL_424858	2020-03-04	Georgia	Georgia
EPI_ISL_424860	2020-03-05	Georgia	Georgia
EPI_ISL_426417	2020-03-07	Georgia	Georgia
EPI_ISL_424861	2020-03-08	Georgia	Georgia
EPI_ISL_424862	2020-03-08	Georgia	Georgia
EPI_ISL_426418	2020-03-07	Georgia	Georgia
EPI_ISL_424863	2020-03-10	Georgia	Georgia
EPI_ISL_426419	2020-03-07	Georgia	Georgia
EPI_ISL_424864	2020-03-10	Georgia	Georgia
EPI_ISL_447842	2020-03-07	Iowa	Iowa
EPI_ISL_455568	2020-05-08	Iowa	Iowa
EPI_ISL_489896	2020-06-29	Iowa	Iowa
EPI_ISL_489898	2020-07-01	Iowa	Iowa
EPI_ISL_455582	2020-05-26	Iowa	Iowa
EPI_ISL_491307	2020-06-27	Iowa	Iowa
EPI_ISL_424899	2020-03-07	Iowa	Iowa
EPI_ISL_424896	2020-03-08	Iowa	Iowa
EPI_ISL_424897	2020-03-08	Iowa	Iowa
EPI_ISL_424321	2020-03-20	Idaho	Idaho
EPI_ISL_424322	2020-03-20	Idaho	Idaho
EPI_ISL_424319	2020-03-22	Idaho	Idaho
EPI_ISL_424318	2020-03-22	Idaho	Idaho
EPI_ISL_424315	2020-03-20	Idaho	Idaho
EPI_ISL_477680	2020-03-22	Idaho	Idaho
EPI_ISL_477681	2020-03-22	Idaho	Idaho
EPI_ISL_426057	2020-03-21	Idaho	Idaho
EPI_ISL_426059	2020-03-23	Idaho	Idaho
EPI_ISL_426060	2020-03-23	Idaho	Idaho
EPI_ISL_426061	2020-03-23	Idaho	Idaho
EPI_ISL_485946	2020-03-28	Idaho	Idaho
EPI_ISL_485947	2020-03-25	Idaho	Idaho
EPI_ISL_490989	2020-03-26	Idaho	Idaho
EPI_ISL_490990	2020-03-26	Idaho	Idaho
EPI_ISL_490991	2020-03-26	Idaho	Idaho
EPI_ISL_490993	2020-03-26	Idaho	Idaho
EPI_ISL_490994	2020-03-25	Idaho	Idaho
EPI_ISL_490995	2020-03-25	Idaho	Idaho
EPI_ISL_490996	2020-03-25	Idaho	Idaho
EPI_ISL_427167	2020-03-26	Idaho	Idaho
EPI_ISL_437826	2020-03-30	Idaho	Idaho
EPI_ISL_430940	2020-03-30	Idaho	Idaho
EPI_ISL_427170	2020-03-30	Idaho	Idaho
EPI_ISL_430942	2020-03-31	Idaho	Idaho
EPI_ISL_437828	2020-03-30	Idaho	Idaho
EPI_ISL_430947	2020-03-27	Idaho	Idaho
EPI_ISL_426064	2020-03-27	Idaho	Idaho
EPI_ISL_426065	2020-03-27	Idaho	Idaho
EPI_ISL_461424	2020-03-27	Idaho	Idaho
EPI_ISL_426067	2020-03-28	Idaho	Idaho
EPI_ISL_426068	2020-03-27	Idaho	Idaho
EPI_ISL_426069	2020-03-28	Idaho	Idaho
EPI_ISL_426070	2020-03-28	Idaho	Idaho
EPI_ISL_430949	2020-03-29	Idaho	Idaho
EPI_ISL_426074	2020-03-29	Idaho	Idaho
EPI_ISL_427172	2020-03-29	Idaho	Idaho
EPI_ISL_460622	2020-03-29	Idaho	Idaho
EPI_ISL_429601	2020-03-29	Idaho	Idaho
EPI_ISL_461425	2020-03-30	Idaho	Idaho
EPI_ISL_460628	2020-03-30	Idaho	Idaho
EPI_ISL_429610	2020-03-30	Idaho	Idaho
EPI_ISL_460629	2020-03-29	Idaho	Idaho
EPI_ISL_430970	2020-04-01	Idaho	Idaho
EPI_ISL_437830	2020-04-02	Idaho	Idaho
EPI_ISL_437831	2020-04-02	Idaho	Idaho
EPI_ISL_437832	2020-04-02	Idaho	Idaho
EPI_ISL_437833	2020-04-03	Idaho	Idaho
EPI_ISL_437835	2020-04-02	Idaho	Idaho
EPI_ISL_437836	2020-04-02	Idaho	Idaho
EPI_ISL_437837	2020-04-02	Idaho	Idaho
EPI_ISL_437838	2020-04-02	Idaho	Idaho
EPI_ISL_444523	2020-03-17	Illinois	Illinois
EPI_ISL_444588	2020-03-21	Illinois	Illinois
EPI_ISL_444589	2020-03-20	Illinois	Illinois
EPI_ISL_444593	2020-03-20	Illinois	Illinois
EPI_ISL_444594	2020-03-20	Illinois	Illinois
EPI_ISL_444596	2020-03-20	Illinois	Illinois
EPI_ISL_444598	2020-03-19	Illinois	Illinois
EPI_ISL_444601	2020-03-21	Illinois	Illinois
EPI_ISL_444604	2020-03-21	Illinois	Illinois
EPI_ISL_444605	2020-03-21	Illinois	Illinois
EPI_ISL_444607	2020-03-21	Illinois	Illinois
EPI_ISL_444552	2020-03-18	Illinois	Illinois
EPI_ISL_444555	2020-03-18	Illinois	Illinois
EPI_ISL_444556	2020-03-18	Illinois	Illinois
EPI_ISL_444560	2020-03-18	Illinois	Illinois
EPI_ISL_444567	2020-03-18	Illinois	Illinois
EPI_ISL_444569	2020-03-16	Illinois	Illinois
EPI_ISL_444575	2020-03-19	Illinois	Illinois
EPI_ISL_444578	2020-03-19	Illinois	Illinois
EPI_ISL_444580	2020-03-19	Illinois	Illinois
EPI_ISL_444583	2020-03-19	Illinois	Illinois
EPI_ISL_444586	2020-03-21	Illinois	Illinois
EPI_ISL_422961	2020-03-13	Illinois	Illinois
EPI_ISL_424173	2020-03-14	Illinois	Illinois
EPI_ISL_450703	2020-04-15	Illinois	Illinois
EPI_ISL_450709	2020-04-17	Illinois	Illinois
EPI_ISL_450711	2020-04-14	Illinois	Illinois
EPI_ISL_450712	2020-04-15	Illinois	Illinois
EPI_ISL_450714	2020-04-18	Illinois	Illinois
EPI_ISL_450715	2020-04-18	Illinois	Illinois
EPI_ISL_450719	2020-04-15	Illinois	Illinois
EPI_ISL_450720	2020-04-14	Illinois	Illinois
EPI_ISL_450722	2020-04-14	Illinois	Illinois
EPI_ISL_480361	2020-05-22	Illinois	Illinois
EPI_ISL_480362	2020-05-21	Illinois	Illinois
EPI_ISL_480365	2020-05-22	Illinois	Illinois
EPI_ISL_480367	2020-05-23	Illinois	Illinois
EPI_ISL_484853	2020-06-07	Illinois	Illinois
EPI_ISL_484862	2020-06-01	Illinois	Illinois
EPI_ISL_484878	2020-05-31	Illinois	Illinois
EPI_ISL_484881	2020-06-01	Illinois	Illinois
EPI_ISL_484882	2020-05-30	Illinois	Illinois
EPI_ISL_484890	2020-06-02	Illinois	Illinois
EPI_ISL_484900	2020-06-24	Illinois	Illinois
EPI_ISL_484917	2020-06-23	Illinois	Illinois
EPI_ISL_484928	2020-06-21	Illinois	Illinois
EPI_ISL_484946	2020-06-27	Illinois	Illinois
EPI_ISL_484967	2020-06-27	Illinois	Illinois
EPI_ISL_484975	2020-06-25	Illinois	Illinois
EPI_ISL_491308	2020-06-26	Illinois	Illinois
EPI_ISL_491310	2020-06-27	Illinois	Illinois
EPI_ISL_491311	2020-06-26	Illinois	Illinois
EPI_ISL_491312	2020-06-26	Illinois	Illinois
EPI_ISL_491313	2020-06-28	Illinois	Illinois
EPI_ISL_491314	2020-06-29	Illinois	Illinois
EPI_ISL_418915	2020-03-13	Illinois	Illinois
EPI_ISL_418916	2020-03-13	Illinois	Illinois
EPI_ISL_418917	2020-03-14	Illinois	Illinois
EPI_ISL_418918	2020-03-13	Illinois	Illinois
EPI_ISL_404253	2020-01-21	Illinois	Hubei
EPI_ISL_410045	2020-01-28	Illinois	Hubei
EPI_ISL_434517	2020-03-23	Louisiana	Louisiana
EPI_ISL_434518	2020-03-23	Louisiana	Louisiana
EPI_ISL_434519	2020-03-25	Louisiana	Louisiana
EPI_ISL_434530	2020-03-31	Louisiana	Louisiana
EPI_ISL_463280	2020-04-06	Louisiana	Louisiana
EPI_ISL_463285	2020-04-04	Louisiana	Louisiana
EPI_ISL_455618	2020-04-08	Louisiana	Louisiana
EPI_ISL_436959	2020-04-05	Louisiana	Louisiana
EPI_ISL_452106	2020-03-10	Louisiana	Louisiana
EPI_ISL_435566	2020-04-24	Louisiana	Louisiana
EPI_ISL_451203	2020-05-02	Louisiana	Louisiana
EPI_ISL_451207	2020-05-01	Louisiana	Louisiana
