strain	date	division	division_exposure
EPI_ISL_452117	2020-03-10	New Jersey	New Jersey
EPI_ISL_421718	2020-03-18	New Jersey	New Jersey
EPI_ISL_421723	2020-03-18	New Jersey	New Jersey
EPI_ISL_430356	2020-04-02	New Jersey	New Jersey
EPI_ISL_430371	2020-04-08	New Jersey	New Jersey
EPI_ISL_430394	2020-04-09	New Jersey	New Jersey
EPI_ISL_430405	2020-04-10	New Jersey	New Jersey
EPI_ISL_430428	2020-04-13	New Jersey	New Jersey
EPI_ISL_435483	2020-03-30	New Jersey	New Jersey
EPI_ISL_435488	2020-04-22	New Jersey	New Jersey
EPI_ISL_435519	2020-04-20	New Jersey	New Jersey
EPI_ISL_444655	2020-03-30	New Jersey	New Jersey
EPI_ISL_444670	2020-03-30	New Jersey	New Jersey
EPI_ISL_444742	2020-04-02	New Jersey	New Jersey
EPI_ISL_444744	2020-04-02	New Jersey	New Jersey
EPI_ISL_444755	2020-04-02	New Jersey	New Jersey
EPI_ISL_444780	2020-03-18	New Jersey	New Jersey
EPI_ISL_450399	2020-03-30	New Jersey	New Jersey
EPI_ISL_421584	2020-03-18	New Jersey	New Jersey
EPI_ISL_421585	2020-03-18	New Jersey	New Jersey
EPI_ISL_456113	2020-04-26	New Jersey	New Jersey
EPI_ISL_450049	2020-03-15	New Jersey	New Jersey
EPI_ISL_467875	2020-03-16	New Jersey	New Jersey
EPI_ISL_467876	2020-03-13	New Jersey	New Jersey
EPI_ISL_467878	2020-03-13	New Jersey	New Jersey
EPI_ISL_467879	2020-03-15	New Jersey	New Jersey
EPI_ISL_467880	2020-03-14	New Jersey	New Jersey
EPI_ISL_467881	2020-03-14	New Jersey	New Jersey
EPI_ISL_467882	2020-03-14	New Jersey	New Jersey
EPI_ISL_467883	2020-03-14	New Jersey	New Jersey
EPI_ISL_484932	2020-06-25	New Jersey	New Jersey
EPI_ISL_491319	2020-06-28	New Jersey	New Jersey
EPI_ISL_424901	2020-03-04	New Jersey	New Jersey
EPI_ISL_424878	2020-03-04	New Jersey	New Jersey
EPI_ISL_452109	2020-03-09	New Mexico	New Mexico
EPI_ISL_467590	2020-03-14	New Mexico	New Mexico
EPI_ISL_467591	2020-03-14	New Mexico	New Mexico
EPI_ISL_467594	2020-03-15	New Mexico	New Mexico
EPI_ISL_467598	2020-03-14	New Mexico	New Mexico
EPI_ISL_467599	2020-03-12	New Mexico	New Mexico
EPI_ISL_467600	2020-03-12	New Mexico	New Mexico
EPI_ISL_467608	2020-03-15	New Mexico	New Mexico
EPI_ISL_467610	2020-03-17	New Mexico	New Mexico
EPI_ISL_467611	2020-03-17	New Mexico	New Mexico
EPI_ISL_467612	2020-03-17	New Mexico	New Mexico
EPI_ISL_467529	2020-03-23	New Mexico	New Mexico
EPI_ISL_467633	2020-04-01	New Mexico	New Mexico
EPI_ISL_467545	2020-04-01	New Mexico	New Mexico
EPI_ISL_467644	2020-04-02	New Mexico	New Mexico
EPI_ISL_467551	2020-04-02	New Mexico	New Mexico
EPI_ISL_467552	2020-04-02	New Mexico	New Mexico
EPI_ISL_467652	2020-04-02	New Mexico	New Mexico
EPI_ISL_467563	2020-04-03	New Mexico	New Mexico
EPI_ISL_467564	2020-04-02	New Mexico	New Mexico
EPI_ISL_467653	2020-04-03	New Mexico	New Mexico
EPI_ISL_467654	2020-04-03	New Mexico	New Mexico
EPI_ISL_467572	2020-04-03	New Mexico	New Mexico
EPI_ISL_467577	2020-04-02	New Mexico	New Mexico
EPI_ISL_467661	2020-04-04	New Mexico	New Mexico
EPI_ISL_467583	2020-04-04	New Mexico	New Mexico
EPI_ISL_485872	2020-04-05	New Mexico	New Mexico
EPI_ISL_467945	2020-04-21	New York	New York
EPI_ISL_424943	2020-04-01	New York	New York
EPI_ISL_424965	2020-04-01	New York	New York
EPI_ISL_426617	2020-04-01	New York	New York
EPI_ISL_426621	2020-04-01	New York	New York
EPI_ISL_427494	2020-04-01	New York	New York
EPI_ISL_427495	2020-04-01	New York	New York
EPI_ISL_427496	2020-04-01	New York	New York
EPI_ISL_427507	2020-04-03	New York	New York
EPI_ISL_427511	2020-04-03	New York	New York
EPI_ISL_427635	2020-04-05	New York	New York
EPI_ISL_427636	2020-04-05	New York	New York
EPI_ISL_427637	2020-04-06	New York	New York
EPI_ISL_427638	2020-04-06	New York	New York
EPI_ISL_428765	2020-04-03	New York	New York
EPI_ISL_428778	2020-04-06	New York	New York
EPI_ISL_428798	2020-04-05	New York	New York
EPI_ISL_430323	2020-04-10	New York	New York
EPI_ISL_416831	2020-03-16	New York	New York
EPI_ISL_430366	2020-04-08	New York	New York
EPI_ISL_430376	2020-04-08	New York	New York
EPI_ISL_430395	2020-04-09	New York	New York
EPI_ISL_430404	2020-04-10	New York	New York
EPI_ISL_430413	2020-04-09	New York	New York
EPI_ISL_430417	2020-04-13	New York	New York
EPI_ISL_430421	2020-04-13	New York	New York
EPI_ISL_430426	2020-04-13	New York	New York
EPI_ISL_430433	2020-04-13	New York	New York
EPI_ISL_430434	2020-04-12	New York	New York
EPI_ISL_419702	2020-03-18	New York	New York
EPI_ISL_435496	2020-04-15	New York	New York
EPI_ISL_435515	2020-04-20	New York	New York
EPI_ISL_435517	2020-04-20	New York	New York
EPI_ISL_435524	2020-04-20	New York	New York
EPI_ISL_435544	2020-04-22	New York	New York
EPI_ISL_435546	2020-04-24	New York	New York
EPI_ISL_444619	2020-03-30	New York	New York
EPI_ISL_444643	2020-03-29	New York	New York
EPI_ISL_444651	2020-03-29	New York	New York
EPI_ISL_420571	2020-03-18	New York	New York
EPI_ISL_444688	2020-03-30	New York	New York
EPI_ISL_444690	2020-03-30	New York	New York
EPI_ISL_444696	2020-03-30	New York	New York
EPI_ISL_444715	2020-04-03	New York	New York
EPI_ISL_444754	2020-04-02	New York	New York
EPI_ISL_444759	2020-04-03	New York	New York
EPI_ISL_444770	2020-04-10	New York	New York
EPI_ISL_444772	2020-04-10	New York	New York
EPI_ISL_444786	2020-03-17	New York	New York
EPI_ISL_451430	2020-03-26	New York	New York
EPI_ISL_451444	2020-03-20	New Jersey	New Jersey
EPI_ISL_451451	2020-03-26	New York	New York
EPI_ISL_451476	2020-03-20	New York	New York
EPI_ISL_456011	2020-03-27	New York	New York
EPI_ISL_456020	2020-03-25	New York	New York
EPI_ISL_467377	2020-05-03	New York	New York
EPI_ISL_467379	2020-05-08	New York	New York
EPI_ISL_467384	2020-05-10	New York	New York
EPI_ISL_467398	2020-04-28	New York	New York
EPI_ISL_467400	2020-05-07	New York	New York
EPI_ISL_467405	2020-05-08	New York	New York
EPI_ISL_421389	2020-03-18	New York	New York
EPI_ISL_421425	2020-03-17	New York	New York
EPI_ISL_421433	2020-03-17	New York	New York
EPI_ISL_421635	2020-03-21	New York	New York
EPI_ISL_422500	2020-03-19	New York	New York
EPI_ISL_422560	2020-03-22	New York	New York
EPI_ISL_450005	2020-03-21	New York	New York
EPI_ISL_450048	2020-03-15	New York	New York
EPI_ISL_450075	2020-03-19	New York	New York
EPI_ISL_450134	2020-03-19	New York	New York
EPI_ISL_450151	2020-03-20	New York	New York
EPI_ISL_467903	2020-03-15	New York	New York
EPI_ISL_436064	2020-03-17	New York	New York
EPI_ISL_436048	2020-03-05	New York	New York
EPI_ISL_484959	2020-06-23	New York	New York
EPI_ISL_484972	2020-06-27	New York	New York
EPI_ISL_491320	2020-06-28	New York	New York
EPI_ISL_491321	2020-06-26	New York	New York
EPI_ISL_427568	2020-03-15	New York	New York
EPI_ISL_427574	2020-03-15	New York	New York
EPI_ISL_427596	2020-03-16	New York	New York
EPI_ISL_427617	2020-03-16	New York	New York
EPI_ISL_426294	2020-03-11	New York	New York
EPI_ISL_414476	2020-02-29	New York	Iran
EPI_ISL_427288	2020-03-31	Ohio	Ohio
EPI_ISL_427290	2020-03-31	Ohio	Ohio
EPI_ISL_421660	2020-04-01	Ohio	Ohio
EPI_ISL_421675	2020-04-01	Ohio	Ohio
EPI_ISL_426431	2020-03-07	Ohio	Ohio
EPI_ISL_424880	2020-03-08	Ohio	Ohio
EPI_ISL_437535	2020-04-08	Oregon	Oregon
EPI_ISL_437521	2020-04-08	Oregon	Oregon
EPI_ISL_437523	2020-04-07	Oregon	Oregon
EPI_ISL_437524	2020-04-16	Oregon	Oregon
EPI_ISL_468095	2020-04-23	Oregon	Oregon
EPI_ISL_468109	2020-05-04	Oregon	Oregon
EPI_ISL_468110	2020-05-05	Oregon	Oregon
EPI_ISL_468117	2020-05-06	Oregon	Oregon
EPI_ISL_468120	2020-05-13	Oregon	Oregon
EPI_ISL_468126	2020-05-09	Oregon	Oregon
EPI_ISL_482295	2020-04-04	Oregon	Oregon
EPI_ISL_482300	2020-03-31	Oregon	Oregon
EPI_ISL_482303	2020-04-03	Oregon	Oregon
EPI_ISL_482306	2020-03-26	Oregon	Oregon
EPI_ISL_482307	2020-03-28	Oregon	Oregon
EPI_ISL_482308	2020-03-28	Oregon	Oregon
EPI_ISL_482309	2020-03-30	Oregon	Oregon
EPI_ISL_482311	2020-03-29	Oregon	Oregon
EPI_ISL_482312	2020-03-29	Oregon	Oregon
EPI_ISL_486830	2020-03-29	Oregon	Oregon
EPI_ISL_482313	2020-03-23	Oregon	Oregon
EPI_ISL_486831	2020-03-26	Oregon	Oregon
EPI_ISL_482320	2020-03-27	Oregon	Oregon
EPI_ISL_482321	2020-03-27	Oregon	Oregon
EPI_ISL_482323	2020-03-18	Oregon	Oregon
EPI_ISL_482324	2020-03-19	Oregon	Oregon
EPI_ISL_482325	2020-03-20	Oregon	Oregon
EPI_ISL_482327	2020-03-21	Oregon	Oregon
EPI_ISL_482330	2020-03-24	Oregon	Oregon
EPI_ISL_482332	2020-03-24	Oregon	Oregon
EPI_ISL_482333	2020-03-25	Oregon	Oregon
EPI_ISL_482340	2020-04-13	Oregon	Oregon
EPI_ISL_482342	2020-04-13	Oregon	Oregon
EPI_ISL_482344	2020-04-12	Oregon	Oregon
EPI_ISL_482348	2020-04-16	Oregon	Oregon
EPI_ISL_482349	2020-04-16	Oregon	Oregon
EPI_ISL_482350	2020-04-17	Oregon	Oregon
EPI_ISL_482355	2020-04-18	Oregon	Oregon
EPI_ISL_482357	2020-04-19	Oregon	Oregon
EPI_ISL_482360	2020-04-20	Oregon	Oregon
EPI_ISL_482364	2020-04-20	Oregon	Oregon
EPI_ISL_482374	2020-04-23	Oregon	Oregon
EPI_ISL_482382	2020-04-26	Oregon	Oregon
EPI_ISL_482387	2020-04-27	Oregon	Oregon
EPI_ISL_482390	2020-04-28	Oregon	Oregon
EPI_ISL_482393	2020-04-29	Oregon	Oregon
EPI_ISL_482398	2020-05-01	Oregon	Oregon
EPI_ISL_482401	2020-05-02	Oregon	Oregon
EPI_ISL_482402	2020-05-02	Oregon	Oregon
EPI_ISL_482403	2020-05-02	Oregon	Oregon
EPI_ISL_482404	2020-05-02	Oregon	Oregon
EPI_ISL_482406	2020-05-03	Oregon	Oregon
EPI_ISL_482407	2020-05-04	Oregon	Oregon
EPI_ISL_482408	2020-05-04	Oregon	Oregon
EPI_ISL_482410	2020-05-05	Oregon	Oregon
EPI_ISL_482412	2020-05-05	Oregon	Oregon
EPI_ISL_482415	2020-05-06	Oregon	Oregon
EPI_ISL_482417	2020-05-07	Oregon	Oregon
EPI_ISL_482418	2020-05-08	Oregon	Oregon
EPI_ISL_482419	2020-05-08	Oregon	Oregon
EPI_ISL_482420	2020-05-08	Oregon	Oregon
EPI_ISL_482422	2020-05-11	Oregon	Oregon
EPI_ISL_482424	2020-05-12	Oregon	Oregon
EPI_ISL_482425	2020-05-12	Oregon	Oregon
EPI_ISL_482427	2020-05-13	Oregon	Oregon
EPI_ISL_482428	2020-05-13	Oregon	Oregon
EPI_ISL_482429	2020-05-13	Oregon	Oregon
EPI_ISL_482430	2020-05-13	Oregon	Oregon
EPI_ISL_482431	2020-05-14	Oregon	Oregon
EPI_ISL_482434	2020-05-14	Oregon	Oregon
EPI_ISL_482435	2020-05-14	Oregon	Oregon
EPI_ISL_482437	2020-05-16	Oregon	Oregon
EPI_ISL_482438	2020-05-17	Oregon	Oregon
EPI_ISL_482446	2020-04-18	Oregon	Oregon
EPI_ISL_482447	2020-04-18	Oregon	Oregon
EPI_ISL_482452	2020-03-30	Oregon	Oregon
EPI_ISL_482454	2020-04-02	Oregon	Oregon
EPI_ISL_482455	2020-03-27	Oregon	Oregon
EPI_ISL_482456	2020-03-27	Oregon	Oregon
EPI_ISL_482460	2020-03-27	Oregon	Oregon
EPI_ISL_482464	2020-03-18	Oregon	Oregon
EPI_ISL_482465	2020-03-25	Oregon	Oregon
EPI_ISL_482467	2020-03-23	Oregon	Oregon
EPI_ISL_424286	2020-03-20	Oregon	Oregon
EPI_ISL_424307	2020-03-23	Oregon	Oregon
EPI_ISL_424308	2020-03-22	Oregon	Oregon
EPI_ISL_491001	2020-03-25	Oregon	Oregon
EPI_ISL_427173	2020-03-31	Oregon	Oregon
EPI_ISL_426076	2020-03-29	Oregon	Oregon
EPI_ISL_485948	2020-03-12	Oregon	Oregon
EPI_ISL_416673	2020-03-11	Oregon	Oregon
EPI_ISL_450802	2020-03-31	Pennsylvania	Pennsylvania
EPI_ISL_454380	2020-04-01	Pennsylvania	Pennsylvania
EPI_ISL_454381	2020-04-01	Pennsylvania	Pennsylvania
EPI_ISL_454387	2020-04-04	Pennsylvania	Pennsylvania
EPI_ISL_454399	2020-04-11	Pennsylvania	Pennsylvania
EPI_ISL_454401	2020-04-05	Pennsylvania	Pennsylvania
EPI_ISL_454403	2020-04-07	Pennsylvania	Pennsylvania
EPI_ISL_454404	2020-04-08	Pennsylvania	Pennsylvania
EPI_ISL_454407	2020-04-10	Pennsylvania	Pennsylvania
EPI_ISL_454409	2020-04-07	Pennsylvania	Pennsylvania
EPI_ISL_454410	2020-04-05	Pennsylvania	Pennsylvania
EPI_ISL_454411	2020-04-08	Pennsylvania	Pennsylvania
EPI_ISL_454354	2020-03-30	Pennsylvania	Pennsylvania
EPI_ISL_454356	2020-03-31	Pennsylvania	Pennsylvania
EPI_ISL_454357	2020-03-30	Pennsylvania	Pennsylvania
EPI_ISL_454358	2020-03-30	Pennsylvania	Pennsylvania
EPI_ISL_454360	2020-03-30	Pennsylvania	Pennsylvania
EPI_ISL_454361	2020-03-23	Pennsylvania	Pennsylvania
EPI_ISL_454362	2020-03-30	Pennsylvania	Pennsylvania
EPI_ISL_454363	2020-03-28	Pennsylvania	Pennsylvania
EPI_ISL_454364	2020-03-30	Pennsylvania	Pennsylvania
EPI_ISL_454366	2020-03-29	Pennsylvania	Pennsylvania
EPI_ISL_454367	2020-03-28	Pennsylvania	Pennsylvania
EPI_ISL_454370	2020-04-01	Pennsylvania	Pennsylvania
EPI_ISL_454372	2020-03-31	Pennsylvania	Pennsylvania
EPI_ISL_454373	2020-03-31	Pennsylvania	Pennsylvania
EPI_ISL_454374	2020-04-01	Pennsylvania	Pennsylvania
EPI_ISL_454376	2020-03-31	Pennsylvania	Pennsylvania
EPI_ISL_454378	2020-03-31	Pennsylvania	Pennsylvania
EPI_ISL_454379	2020-04-02	Pennsylvania	Pennsylvania
EPI_ISL_436467	2020-03-25	Pennsylvania	Pennsylvania
EPI_ISL_436468	2020-03-26	Pennsylvania	Pennsylvania
EPI_ISL_436470	2020-03-25	Pennsylvania	Pennsylvania
EPI_ISL_436471	2020-03-26	Pennsylvania	Pennsylvania
EPI_ISL_436473	2020-03-25	Pennsylvania	Pennsylvania
EPI_ISL_436477	2020-03-25	Pennsylvania	Pennsylvania
EPI_ISL_436481	2020-03-26	Pennsylvania	Pennsylvania
EPI_ISL_436484	2020-03-27	Pennsylvania	Pennsylvania
EPI_ISL_436485	2020-03-27	Pennsylvania	Pennsylvania
EPI_ISL_436492	2020-03-26	Pennsylvania	Pennsylvania
EPI_ISL_436497	2020-03-26	Pennsylvania	Pennsylvania
EPI_ISL_436501	2020-03-24	Pennsylvania	Pennsylvania
EPI_ISL_436502	2020-03-23	Pennsylvania	Pennsylvania
EPI_ISL_467904	2020-03-13	Pennsylvania	Pennsylvania
EPI_ISL_484922	2020-06-22	Pennsylvania	Pennsylvania
EPI_ISL_424881	2020-03-05	Pennsylvania	Pennsylvania
EPI_ISL_424883	2020-03-07	Pennsylvania	Pennsylvania
EPI_ISL_426432	2020-03-07	Pennsylvania	Pennsylvania
EPI_ISL_424885	2020-03-09	Pennsylvania	Pennsylvania
EPI_ISL_424886	2020-03-06	Pennsylvania	Pennsylvania
EPI_ISL_491097	2020-03-06	South Carolina	South Carolina
EPI_ISL_491098	2020-03-07	South Carolina	South Carolina
EPI_ISL_491099	2020-03-10	South Carolina	South Carolina
EPI_ISL_491101	2020-03-25	South Carolina	South Carolina
EPI_ISL_491102	2020-03-25	South Carolina	South Carolina
EPI_ISL_491103	2020-03-26	South Carolina	South Carolina
EPI_ISL_491104	2020-03-27	South Carolina	South Carolina
EPI_ISL_491105	2020-04-17	South Carolina	South Carolina
EPI_ISL_491106	2020-04-17	South Carolina	South Carolina
EPI_ISL_491107	2020-04-24	South Carolina	South Carolina
EPI_ISL_491110	2020-05-04	South Carolina	South Carolina
EPI_ISL_476897	2020-05-21	South Carolina	South Carolina
EPI_ISL_493129	2020-04-04	South Carolina	South Carolina
EPI_ISL_492074	2020-06-19	South Carolina	South Carolina
EPI_ISL_424903	2020-03-07	South Carolina	South Carolina
EPI_ISL_424904	2020-03-07	South Carolina	South Carolina
EPI_ISL_424905	2020-03-05	South Carolina	South Carolina
EPI_ISL_424842	2020-03-07	South Carolina	South Carolina
EPI_ISL_424888	2020-03-08	South Carolina	South Carolina
EPI_ISL_444995	2020-03-27	South Carolina	South Carolina
EPI_ISL_454646	2020-03-30	Texas	Texas
EPI_ISL_434833	2020-03-21	Texas	Texas
EPI_ISL_434834	2020-03-21	Texas	Texas
EPI_ISL_434724	2020-03-14	Texas	Texas
EPI_ISL_434851	2020-03-22	Texas	Texas
EPI_ISL_434852	2020-03-22	Texas	Texas
EPI_ISL_434864	2020-03-23	Texas	Texas
EPI_ISL_434867	2020-03-23	Texas	Texas
EPI_ISL_434731	2020-03-17	Texas	Texas
EPI_ISL_434888	2020-03-24	Texas	Texas
EPI_ISL_434910	2020-03-27	Texas	Texas
EPI_ISL_434911	2020-03-27	Texas	Texas
EPI_ISL_434913	2020-03-27	Texas	Texas
EPI_ISL_434915	2020-03-27	Texas	Texas
EPI_ISL_434918	2020-03-27	Texas	Texas
EPI_ISL_434921	2020-03-27	Texas	Texas
EPI_ISL_434922	2020-03-28	Texas	Texas
EPI_ISL_434941	2020-04-01	Texas	Texas
EPI_ISL_434942	2020-04-02	Texas	Texas
EPI_ISL_434943	2020-04-01	Texas	Texas
EPI_ISL_434948	2020-03-29	Texas	Texas
EPI_ISL_434954	2020-03-29	Texas	Texas
EPI_ISL_434961	2020-03-27	Texas	Texas
EPI_ISL_434966	2020-04-01	Texas	Texas
EPI_ISL_434970	2020-04-01	Texas	Texas
EPI_ISL_434972	2020-03-31	Texas	Texas
EPI_ISL_434973	2020-03-30	Texas	Texas
EPI_ISL_434976	2020-04-01	Texas	Texas
EPI_ISL_434977	2020-03-30	Texas	Texas
EPI_ISL_434982	2020-04-01	Texas	Texas
EPI_ISL_434986	2020-03-31	Texas	Texas
EPI_ISL_434987	2020-04-01	Texas	Texas
EPI_ISL_434998	2020-04-01	Texas	Texas
EPI_ISL_435000	2020-04-01	Texas	Texas
EPI_ISL_435001	2020-04-01	Texas	Texas
EPI_ISL_435002	2020-04-01	Texas	Texas
EPI_ISL_435003	2020-04-01	Texas	Texas
EPI_ISL_435005	2020-04-01	Texas	Texas
EPI_ISL_435006	2020-04-01	Texas	Texas
EPI_ISL_435007	2020-04-01	Texas	Texas
EPI_ISL_435009	2020-04-01	Texas	Texas
EPI_ISL_435010	2020-04-02	Texas	Texas
EPI_ISL_435011	2020-04-02	Texas	Texas
EPI_ISL_435012	2020-04-02	Texas	Texas
EPI_ISL_435013	2020-04-02	Texas	Texas
EPI_ISL_435014	2020-04-02	Texas	Texas
EPI_ISL_435015	2020-04-02	Texas	Texas
EPI_ISL_435016	2020-04-02	Texas	Texas
EPI_ISL_435017	2020-04-02	Texas	Texas
EPI_ISL_435018	2020-04-02	Texas	Texas
EPI_ISL_435019	2020-04-02	Texas	Texas
EPI_ISL_435020	2020-04-02	Texas	Texas
EPI_ISL_435021	2020-04-02	Texas	Texas
EPI_ISL_435022	2020-04-02	Texas	Texas
EPI_ISL_434753	2020-03-09	Texas	Texas
EPI_ISL_435023	2020-04-03	Texas	Texas
EPI_ISL_435024	2020-04-03	Texas	Texas
EPI_ISL_435028	2020-04-03	Texas	Texas
EPI_ISL_435029	2020-04-03	Texas	Texas
EPI_ISL_435031	2020-04-03	Texas	Texas
EPI_ISL_434764	2020-03-17	Texas	Texas
EPI_ISL_434718	2020-03-15	Texas	Texas
EPI_ISL_411956	2020-02-11	Texas	Hubei
EPI_ISL_420796	2020-02-29	Texas	Texas
EPI_ISL_444022	2020-03-18	Texas	Texas
EPI_ISL_445078	2020-03-20	Texas	Texas
EPI_ISL_449804	2020-03-26	Utah	Utah
EPI_ISL_449809	2020-03-27	Utah	Utah
EPI_ISL_417958	2020-03-10	Utah	Utah
EPI_ISL_430038	2020-03-15	Utah	Utah
EPI_ISL_417959	2020-03-11	Utah	Utah
EPI_ISL_417960	2020-03-12	Utah	Utah
EPI_ISL_421562	2020-03-19	Utah	Utah
EPI_ISL_436915	2020-04-10	Utah	Utah
EPI_ISL_449822	2020-04-07	Utah	Utah
EPI_ISL_420805	2020-03-14	Utah	Utah
EPI_ISL_449833	2020-04-06	Utah	Utah
EPI_ISL_454707	2020-04-13	Utah	Utah
EPI_ISL_454710	2020-04-13	Utah	Utah
EPI_ISL_454714	2020-04-13	Utah	Utah
EPI_ISL_470656	2020-04-13	Utah	Utah
EPI_ISL_470696	2020-04-13	Utah	Utah
EPI_ISL_418962	2020-03-13	Utah	Utah
EPI_ISL_452168	2020-04-16	Utah	Utah
EPI_ISL_452171	2020-04-16	Utah	Utah
EPI_ISL_454722	2020-04-16	Utah	Utah
EPI_ISL_417028	2020-03-20	Utah	Utah
EPI_ISL_470669	2020-04-20	Utah	Utah
EPI_ISL_418963	2020-03-14	Utah	Utah
EPI_ISL_418964	2020-03-14	Utah	Utah
EPI_ISL_436937	2020-04-15	Utah	Utah
EPI_ISL_487223	2020-04-24	Utah	Utah
EPI_ISL_487225	2020-04-25	Utah	Utah
EPI_ISL_420806	2020-03-14	Utah	Utah
EPI_ISL_420807	2020-03-23	Utah	Utah
EPI_ISL_420810	2020-03-27	Utah	Utah
EPI_ISL_420813	2020-03-27	Utah	Utah
EPI_ISL_417976	2020-03-19	Utah	Utah
EPI_ISL_420817	2020-03-24	Utah	Utah
EPI_ISL_420819	2020-03-26	Utah	Utah
EPI_ISL_420820	2020-03-25	Utah	Utah
EPI_ISL_450539	2020-03-15	Utah	Utah
EPI_ISL_450543	2020-03-30	Utah	Utah
EPI_ISL_420821	2020-03-26	Utah	Utah
EPI_ISL_420822	2020-03-25	Utah	Utah
EPI_ISL_450554	2020-04-07	Utah	Utah
EPI_ISL_430039	2020-03-30	Utah	Utah
EPI_ISL_470717	2020-04-06	Utah	Utah
EPI_ISL_475730	2020-05-11	Utah	Utah
EPI_ISL_450564	2020-04-13	Utah	Utah
EPI_ISL_483018	2020-05-11	Utah	Utah
EPI_ISL_470559	2020-04-13	Utah	Utah
EPI_ISL_454728	2020-04-17	Utah	Utah
EPI_ISL_415542	2020-03-13	Utah	Grand Princess
EPI_ISL_475726	2020-05-11	Utah	Utah
EPI_ISL_475728	2020-05-12	Utah	Utah
EPI_ISL_483024	2020-05-12	Utah	Utah
EPI_ISL_475743	2020-05-12	Utah	Utah
EPI_ISL_487246	2020-05-12	Utah	Utah
EPI_ISL_487248	2020-05-12	Utah	Utah
EPI_ISL_487251	2020-05-13	Utah	Utah
EPI_ISL_487252	2020-05-13	Utah	Utah
EPI_ISL_430043	2020-03-30	Utah	Utah
EPI_ISL_430050	2020-03-31	Utah	Utah
EPI_ISL_435363	2020-04-03	Utah	Utah
EPI_ISL_435377	2020-04-02	Utah	Utah
EPI_ISL_483031	2020-05-12	Utah	Utah
EPI_ISL_415544	2020-03-13	Utah	Utah
EPI_ISL_430022	2020-03-16	Utah	Utah
EPI_ISL_430024	2020-03-16	Utah	Utah
EPI_ISL_430026	2020-03-16	Utah	Utah
EPI_ISL_417026	2020-03-20	Utah	Utah
EPI_ISL_420803	2020-03-12	Utah	Utah
EPI_ISL_435390	2020-04-06	Utah	Utah
EPI_ISL_420804	2020-03-14	Utah	Utah
EPI_ISL_467909	2020-03-13	Utah	Utah
EPI_ISL_467911	2020-03-13	Utah	Utah
EPI_ISL_467915	2020-03-12	Utah	Utah
EPI_ISL_467918	2020-03-13	Utah	Utah
EPI_ISL_467923	2020-03-12	Utah	Utah
EPI_ISL_467925	2020-03-11	Utah	Utah
EPI_ISL_419260	2020-03-08	Virginia	Virginia
EPI_ISL_419706	2020-03-10	Virginia	Virginia
EPI_ISL_419708	2020-03-12	Virginia	Virginia
EPI_ISL_419710	2020-03-12	Virginia	Virginia
EPI_ISL_420029	2020-03-11	Virginia	Virginia
EPI_ISL_419712	2020-03-10	Virginia	Virginia
EPI_ISL_420020	2020-03-20	Virginia	Virginia
EPI_ISL_420024	2020-03-27	Virginia	Virginia
EPI_ISL_426463	2020-03-29	Virginia	Virginia
EPI_ISL_426466	2020-03-31	Virginia	Virginia
EPI_ISL_429969	2020-03-26	Virginia	Virginia
EPI_ISL_429971	2020-03-30	Virginia	Virginia
EPI_ISL_429974	2020-03-29	Virginia	Virginia
EPI_ISL_429975	2020-03-27	Virginia	Virginia
EPI_ISL_429977	2020-03-27	Virginia	Virginia
EPI_ISL_429978	2020-03-30	Virginia	Virginia
EPI_ISL_429981	2020-04-03	Virginia	Virginia
EPI_ISL_429987	2020-04-02	Virginia	Virginia
EPI_ISL_434594	2020-04-10	Virginia	Virginia
EPI_ISL_434603	2020-04-08	Virginia	Virginia
EPI_ISL_434604	2020-04-08	Virginia	Virginia
EPI_ISL_437763	2020-04-11	Virginia	Virginia
EPI_ISL_437765	2020-04-13	Virginia	Virginia
EPI_ISL_437772	2020-04-14	Virginia	Virginia
EPI_ISL_437773	2020-04-15	Virginia	Virginia
EPI_ISL_437777	2020-04-16	Virginia	Virginia
EPI_ISL_437797	2020-04-08	Virginia	Virginia
EPI_ISL_437800	2020-04-01	Virginia	Virginia
EPI_ISL_437802	2020-04-13	Virginia	Virginia
EPI_ISL_437398	2020-03-28	Virginia	Virginia
EPI_ISL_437410	2020-04-16	Virginia	Virginia
EPI_ISL_437419	2020-04-13	Virginia	Virginia
EPI_ISL_437429	2020-04-04	Virginia	Virginia
EPI_ISL_452802	2020-04-03	Virginia	Virginia
EPI_ISL_452813	2020-04-15	Virginia	Virginia
EPI_ISL_452815	2020-04-10	Virginia	Virginia
EPI_ISL_452823	2020-04-16	Virginia	Virginia
EPI_ISL_452828	2020-04-20	Virginia	Virginia
EPI_ISL_452830	2020-04-20	Virginia	Virginia
EPI_ISL_452833	2020-04-19	Virginia	Virginia
EPI_ISL_463101	2020-04-30	Virginia	Virginia
EPI_ISL_463105	2020-05-18	Virginia	Virginia
EPI_ISL_463108	2020-05-18	Virginia	Virginia
EPI_ISL_463109	2020-05-18	Virginia	Virginia
EPI_ISL_463111	2020-05-18	Virginia	Virginia
EPI_ISL_463113	2020-05-18	Virginia	Virginia
EPI_ISL_467928	2020-05-04	Virginia	Virginia
EPI_ISL_467932	2020-05-04	Virginia	Virginia
EPI_ISL_467934	2020-05-04	Virginia	Virginia
EPI_ISL_467936	2020-05-06	Virginia	Virginia
