strain	date	country	country_exposure
EPI_ISL_447921	2020-03-13	Thailand	Thailand
EPI_ISL_443232	2020-03-17	Singapore	Singapore
EPI_ISL_447866	2020-04-14	India	India
EPI_ISL_416432	2020-03-07	Saudi Arabia	SaudiArabia
EPI_ISL_452178	2020-04-19	Taiwan	Taiwan
EPI_ISL_447622	2020-04-27	Taiwan	Taiwan
EPI_ISL_452179	2020-04-19	Taiwan	Taiwan
EPI_ISL_429882	2020-03-29	Taiwan	Taiwan
EPI_ISL_459957	2020-04-01	Malaysia	Malaysia
EPI_ISL_447571	2020-04-01	India	India
EPI_ISL_447583	2020-04-16	India	India
EPI_ISL_419926	2020-03-21	Australia	Australia
EPI_ISL_454830	2020-04-23	India	India
EPI_ISL_459956	2020-03-30	Malaysia	Malaysia
EPI_ISL_435095	2020-03-29	India	India
EPI_ISL_459955	2020-03-18	Malaysia	Malaysia
EPI_ISL_428484	2020-04-10	India	India
EPI_ISL_459915	2020-05-12	India	India
EPI_ISL_456553	2020-05-14	Australia	Australia
EPI_ISL_462357	2020-04-06	Singapore	Singapore
EPI_ISL_457977	2020-03-18	Oman	Oman
EPI_ISL_435096	2020-03-29	India	India
EPI_ISL_435092	2020-03-28	India	India
EPI_ISL_436420	2020-03-31	India	India
EPI_ISL_435074	2020-03-28	India	India
EPI_ISL_435088	2020-03-29	India	India
EPI_ISL_454568	2020-04-25	India	India
EPI_ISL_435087	2020-03-29	India	India
EPI_ISL_455910	2020-03-11	Thailand	Thailand
EPI_ISL_455312	2020-04-09	Malaysia	Malaysia
EPI_ISL_459953	2020-03-16	Malaysia	Malaysia
EPI_ISL_417917	2020-03-20	Malaysia	Malaysia
EPI_ISL_459954	2020-03-16	Malaysia	Malaysia
EPI_ISL_417918	2020-03-18	Malaysia	Malaysia
EPI_ISL_462343	2020-04-20	Singapore	Singapore
EPI_ISL_436422	2020-03-31	India	India
EPI_ISL_436449	2020-04-12	India	India
EPI_ISL_452215	2020-04-22	India	India
EPI_ISL_455656	2020-04-30	India	India
EPI_ISL_458073	2020-04-20	India	India
EPI_ISL_443212	2020-04-08	Singapore	Singapore
EPI_ISL_428842	2020-04-08	Singapore	Singapore
EPI_ISL_462374	2020-04-08	Singapore	Singapore
EPI_ISL_462375	2020-04-09	Singapore	Singapore
EPI_ISL_462382	2020-05-06	Singapore	Singapore
EPI_ISL_462355	2020-04-03	Singapore	Singapore
EPI_ISL_428844	2020-04-08	Singapore	Singapore
EPI_ISL_462407	2020-04-06	Singapore	Singapore
EPI_ISL_428845	2020-04-08	Singapore	Singapore
EPI_ISL_462356	2020-04-07	Singapore	Singapore
EPI_ISL_443244	2020-04-08	Singapore	Singapore
EPI_ISL_462321	2020-04-27	Singapore	Singapore
EPI_ISL_422434	2020-03-31	Singapore	Singapore
EPI_ISL_443227	2020-03-16	Singapore	Singapore
EPI_ISL_443213	2020-04-08	Singapore	Singapore
EPI_ISL_443216	2020-03-19	Singapore	Singapore
EPI_ISL_462286	2020-03-20	Singapore	Singapore
EPI_ISL_462427	2020-05-15	Singapore	Singapore
EPI_ISL_462412	2020-05-03	Singapore	Singapore
EPI_ISL_462322	2020-04-27	Singapore	Singapore
EPI_ISL_462397	2020-04-17	Singapore	Singapore
EPI_ISL_462393	2020-05-06	Singapore	Singapore
EPI_ISL_462428	2020-04-06	Singapore	Singapore
EPI_ISL_428838	2020-04-08	Singapore	Singapore
EPI_ISL_416607	2020-02-17	Japan	Japan
EPI_ISL_416578	2020-02-15	Japan	Japan
EPI_ISL_418994	2020-01-29	Singapore	Singapore
EPI_ISL_407988	2020-02-01	Singapore	Singapore
EPI_ISL_420889	2020-02-14	Japan	Japan
EPI_ISL_416566	2020-02-15	Japan	Japan
EPI_ISL_419831	2020-02-21	Australia	Australia
EPI_ISL_416624	2020-02-17	Japan	Japan
EPI_ISL_412969	2020-02-10	Japan	Japan
EPI_ISL_416587	2020-02-16	Japan	Japan
EPI_ISL_416598	2020-02-16	Japan	Japan
EPI_ISL_419835	2020-02-24	Australia	Australia
EPI_ISL_413459	2020-02-20	Japan	Japan
EPI_ISL_416614	2020-02-17	Japan	Japan
EPI_ISL_416612	2020-02-17	Japan	Japan
EPI_ISL_416617	2020-02-17	Japan	Japan
EPI_ISL_416611	2020-02-17	Japan	Japan
EPI_ISL_416628	2020-02-17	Japan	Japan
EPI_ISL_416573	2020-02-15	Japan	Japan
EPI_ISL_416575	2020-02-15	Japan	Japan
EPI_ISL_416596	2020-02-16	Japan	Japan
EPI_ISL_419211	2020-02-23	Israel	Israel
EPI_ISL_464183	2020-02-24	United Kingdom	UnitedKingdom
EPI_ISL_412030	2020-02-01	Hong Kong	HongKong
EPI_ISL_451298	2020-02-12	Italy	China
EPI_ISL_412974	2020-01-29	Italy	Italy
EPI_ISL_451302	2020-01-30	Italy	China
EPI_ISL_457730	2020-02-06	Taiwan	Taiwan
EPI_ISL_415643	2020-03-10	Georgia	Georgia
EPI_ISL_416480	2020-03-11	Georgia	Georgia
EPI_ISL_415641	2020-02-27	Georgia	Georgia
EPI_ISL_420135	2020-02-28	Norway	Norway
EPI_ISL_417488	2020-02-29	Norway	Norway
EPI_ISL_420136	2020-03-04	Norway	Norway
EPI_ISL_456220	2020-03-22	New Zealand	NewZealand
EPI_ISL_413025	2020-02-27	USA	SouthKorea
EPI_ISL_427813	2020-02-18	South Korea	SouthKorea
EPI_ISL_427810	2020-02-18	South Korea	SouthKorea
EPI_ISL_427809	2020-02-26	South Korea	SouthKorea
EPI_ISL_420800	2020-02-29	South Korea	SouthKorea
EPI_ISL_420799	2020-02-27	South Korea	SouthKorea
EPI_ISL_456377	2020-04-15	New Zealand	NewZealand
EPI_ISL_418243	2020-02-28	Spain	Spain
EPI_ISL_414009	2020-02-25	United Kingdom	UnitedKingdom
EPI_ISL_417483	2020-02-27	Norway	Norway
EPI_ISL_422685	2020-03-19	Netherlands	Netherlands
EPI_ISL_430015	2020-03-24	Jordan	Jordan
EPI_ISL_429997	2020-03-16	Jordan	Jordan
EPI_ISL_434475	2020-03-10	Greece	Greece
EPI_ISL_430014	2020-03-17	Jordan	Jordan
EPI_ISL_450186	2020-04-07	Jordan	Jordan
EPI_ISL_413019	2020-02-26	Switzerland	Switzerland
EPI_ISL_413016	2020-02-28	Brazil	Italy
EPI_ISL_417696	2020-03-12	Iceland	Iceland
EPI_ISL_437895	2020-03-07	Greece	Greece
EPI_ISL_422750	2020-03-25	Netherlands	Netherlands
EPI_ISL_447271	2020-03-25	Israel	Israel
EPI_ISL_430011	2020-03-19	Jordan	Jordan
EPI_ISL_430000	2020-03-30	Jordan	Jordan
EPI_ISL_437611	2020-03-11	Thailand	Thailand
EPI_ISL_456168	2020-03-18	New Zealand	NewZealand
EPI_ISL_464216	2020-02-29	United Kingdom	UnitedKingdom
EPI_ISL_461182	2020-03-24	Netherlands	Netherlands
EPI_ISL_416032	2020-03-04	Brazil	Brazil
EPI_ISL_416516	2020-03-16	Australia	Australia
EPI_ISL_419569	2020-03-07	Luxembourg	Luxembourg
EPI_ISL_462450	2020-03-17	Bosnia and Herzegovina	BosniaandHerzegovina
EPI_ISL_437303	2020-04-17	Austria	Austria
EPI_ISL_457990	2020-03-21	Oman	Oman
EPI_ISL_457995	2020-03-26	Oman	Oman
EPI_ISL_457959	2020-03-26	Uruguay	Uruguay
EPI_ISL_457961	2020-03-28	Uruguay	Uruguay
EPI_ISL_464168	2020-02-09	United Kingdom	UnitedKingdom
EPI_ISL_417498	2020-03-13	USA	USA
EPI_ISL_418858	2020-03-13	Canada	Canada
EPI_ISL_464180	2020-02-20	United Kingdom	UnitedKingdom
EPI_ISL_464178	2020-02-18	United Kingdom	UnitedKingdom
EPI_ISL_414006	2020-02-28	United Kingdom	UnitedKingdom
EPI_ISL_434462	2020-03-23	Greece	Greece
EPI_ISL_437910	2020-04-01	Greece	Greece
EPI_ISL_435698	2020-03-18	Singapore	Singapore
EPI_ISL_437892	2020-03-19	Greece	Greece
EPI_ISL_425702	2020-03-17	United Kingdom	UnitedKingdom
EPI_ISL_462422	2020-03-21	Singapore	Singapore
EPI_ISL_415128	2020-02-29	Brazil	Brazil
EPI_ISL_456173	2020-03-18	New Zealand	NewZealand
EPI_ISL_421915	2020-03-27	United Kingdom	UnitedKingdom
EPI_ISL_437906	2020-03-10	Greece	Greece
EPI_ISL_434466	2020-04-04	Greece	Greece
EPI_ISL_445351	2020-04-02	Chile	Chile
EPI_ISL_455412	2020-03-29	Nigeria	Nigeria
EPI_ISL_434516	2020-03-16	Jordan	Jordan
EPI_ISL_461968	2020-06-02	United Kingdom	UnitedKingdom
EPI_ISL_455413	2020-03-27	Nigeria	Nigeria
EPI_ISL_455431	2020-04-02	Nigeria	Nigeria
EPI_ISL_434481	2020-03-19	Greece	Greece
EPI_ISL_408976	2020-01-22	Australia	China
EPI_ISL_419222	2020-02-11	Hong Kong	HongKong
EPI_ISL_447919	2020-02-04	Thailand	Thailand
EPI_ISL_437617	2020-02-03	Thailand	Thailand
EPI_ISL_464092	2020-03-17	Taiwan	Taiwan
EPI_ISL_451195	2020-03-22	Uganda	Uganda
EPI_ISL_437203	2020-04-06	Austria	Austria
EPI_ISL_437300	2020-04-14	Austria	Austria
EPI_ISL_437201	2020-04-02	Austria	Austria
EPI_ISL_457994	2020-03-25	Oman	Oman
EPI_ISL_450199	2020-01-29	Germany	Germany
EPI_ISL_450203	2020-02-01	Germany	Germany
EPI_ISL_450204	2020-02-03	Germany	Germany
EPI_ISL_450207	2020-02-07	Germany	Germany
EPI_ISL_450208	2020-02-08	Germany	Germany
EPI_ISL_450209	2020-01-30	Germany	Germany
EPI_ISL_421655	2020-03-25	Latvia	Latvia
EPI_ISL_450198	2020-01-28	Germany	Germany
EPI_ISL_406862	2020-01-28	Germany	Germany
EPI_ISL_450200	2020-01-28	Germany	Germany
EPI_ISL_429674	2020-03-11	Brazil	Brazil
EPI_ISL_445243	2020-04-30	Romania	Romania
EPI_ISL_447054	2020-04-30	Romania	Romania
EPI_ISL_455362	2020-04-10	Nigeria	Nigeria
EPI_ISL_437716	2020-04-14	Saudi Arabia	SaudiArabia
EPI_ISL_437463	2020-03-23	Saudi Arabia	SaudiArabia
EPI_ISL_447153	2020-04-18	Belgium	Belgium
EPI_ISL_437304	2020-03-26	Turkey	Turkey
EPI_ISL_447155	2020-04-18	Belgium	Belgium
EPI_ISL_455969	2020-05-10	Belgium	Belgium
EPI_ISL_455972	2020-05-10	Belgium	Belgium
EPI_ISL_428346	2020-04-17	Turkey	Turkey
EPI_ISL_427391	2020-04-13	Turkey	Turkey
EPI_ISL_426285	2020-03-30	Latvia	Latvia
EPI_ISL_450350	2020-03-28	Norway	Norway
EPI_ISL_456248	2020-03-26	New Zealand	NewZealand
EPI_ISL_419299	2020-03-09	Japan	Egypt
EPI_ISL_419300	2020-03-20	Japan	Egypt
EPI_ISL_418344	2020-02-29	Canada	Canada
EPI_ISL_418345	2020-02-29	Canada	Canada
EPI_ISL_419296	2020-03-08	Japan	Egypt
EPI_ISL_437894	2020-03-05	Greece	Greece
EPI_ISL_447743	2020-03-28	Colombia	Colombia
EPI_ISL_447806	2020-04-04	Colombia	Colombia
EPI_ISL_459875	2020-03-27	Canada	Canada
EPI_ISL_447763	2020-03-31	Colombia	Colombia
EPI_ISL_456144	2020-04-23	Colombia	Colombia
EPI_ISL_418399	2020-03-13	Finland	Finland
EPI_ISL_419298	2020-03-10	Japan	Egypt
EPI_ISL_463444	2020-05-01	USA	USA
EPI_ISL_463635	2020-05-04	USA	USA
EPI_ISL_463338	2020-04-23	USA	USA
EPI_ISL_429681	2020-03-16	Brazil	Brazil
EPI_ISL_447769	2020-04-01	Colombia	Colombia
EPI_ISL_464008	2020-04-28	Canada	Canada
EPI_ISL_428798	2020-04-05	USA	USA
EPI_ISL_447812	2020-04-05	Colombia	Colombia
EPI_ISL_456153	2020-04-22	Colombia	Colombia
EPI_ISL_435583	2020-02-29	USA	USA
EPI_ISL_418382	2020-02-28	Canada	Canada
EPI_ISL_420599	2020-03-18	Argentina	Argentina
EPI_ISL_447813	2020-04-05	Colombia	Colombia
EPI_ISL_437481	2020-03-18	Saudi Arabia	SaudiArabia
EPI_ISL_444474	2020-04-29	India	India
EPI_ISL_444480	2020-04-30	India	India
EPI_ISL_445235	2020-04-20	Sweden	Sweden
EPI_ISL_452949	2020-05-12	United Kingdom	UnitedKingdom
EPI_ISL_418394	2020-03-13	Finland	Finland
EPI_ISL_418393	2020-03-13	Finland	Finland
EPI_ISL_418395	2020-03-13	Finland	Finland
EPI_ISL_418401	2020-03-14	Finland	Finland
EPI_ISL_418406	2020-03-14	Finland	Finland
EPI_ISL_437202	2020-04-03	Austria	Austria
EPI_ISL_437299	2020-04-09	Austria	Austria
EPI_ISL_437298	2020-04-08	Austria	Austria
EPI_ISL_437748	2020-04-20	Saudi Arabia	SaudiArabia
EPI_ISL_455313	2020-04-02	Malaysia	Malaysia
EPI_ISL_437731	2020-04-16	Saudi Arabia	SaudiArabia
EPI_ISL_437310	2020-03-27	Turkey	Turkey
EPI_ISL_428723	2020-03-22	Turkey	SaudiArabia
EPI_ISL_461491	2020-05-27	India	India
EPI_ISL_463061	2020-05-13	India	India
EPI_ISL_461488	2020-05-27	India	India
EPI_ISL_451162	2020-05-03	India	India
EPI_ISL_435055	2020-04-22	India	India
EPI_ISL_466638	2020-05-26	Bangladesh	Bangladesh
EPI_ISL_466639	2020-05-26	Bangladesh	Bangladesh
EPI_ISL_466692	2020-05-26	Bangladesh	Bangladesh
EPI_ISL_450343	2020-05-09	Bangladesh	Bangladesh
EPI_ISL_450344	2020-05-03	Bangladesh	Bangladesh
EPI_ISL_416521	2020-03-10	Saudi Arabia	SaudiArabia
EPI_ISL_437491	2020-03-29	Saudi Arabia	SaudiArabia
EPI_ISL_447539	2020-05-05	India	India
EPI_ISL_428909	2020-03-26	Russia	Russia
EPI_ISL_437713	2020-04-14	Saudi Arabia	SaudiArabia
EPI_ISL_437714	2020-04-14	Saudi Arabia	SaudiArabia
EPI_ISL_437737	2020-04-20	Saudi Arabia	SaudiArabia
EPI_ISL_437474	2020-03-29	Saudi Arabia	SaudiArabia
EPI_ISL_437473	2020-03-29	Saudi Arabia	SaudiArabia
EPI_ISL_450187	2020-04-08	Jordan	Jordan
EPI_ISL_437709	2020-04-14	Saudi Arabia	SaudiArabia
EPI_ISL_456566	2020-05-09	Australia	Australia
EPI_ISL_437482	2020-03-29	Saudi Arabia	SaudiArabia
EPI_ISL_429866	2020-03-16	Turkey	SaudiArabia
EPI_ISL_437485	2020-03-29	Saudi Arabia	SaudiArabia
EPI_ISL_437470	2020-03-29	Saudi Arabia	SaudiArabia
EPI_ISL_437494	2020-03-29	Saudi Arabia	SaudiArabia
EPI_ISL_437469	2020-03-29	Saudi Arabia	SaudiArabia
EPI_ISL_437478	2020-04-09	Saudi Arabia	SaudiArabia
EPI_ISL_437487	2020-03-29	Saudi Arabia	SaudiArabia
EPI_ISL_437758	2020-04-01	Saudi Arabia	SaudiArabia
EPI_ISL_437762	2020-04-02	Saudi Arabia	SaudiArabia
EPI_ISL_429871	2020-03-23	Turkey	SaudiArabia
EPI_ISL_437493	2020-03-29	Saudi Arabia	SaudiArabia
EPI_ISL_437738	2020-04-20	Saudi Arabia	SaudiArabia
EPI_ISL_437749	2020-04-20	Saudi Arabia	SaudiArabia
EPI_ISL_450740	2020-03-30	Vietnam	Vietnam
EPI_ISL_418219	2020-02-26	France	France
EPI_ISL_435415	2020-03-30	Hungary	Hungary
EPI_ISL_429669	2020-03-13	Brazil	Brazil
EPI_ISL_419179	2020-03-22	France	France
EPI_ISL_447453	2020-04-21	Israel	Israel
EPI_ISL_419168	2020-03-17	France	France
EPI_ISL_445343	2020-03-25	Chile	Chile
EPI_ISL_445354	2020-04-02	Chile	Chile
EPI_ISL_445357	2020-03-12	Chile	Chile
EPI_ISL_445379	2020-04-06	Chile	Chile
EPI_ISL_445328	2020-03-23	Chile	Chile
EPI_ISL_445368	2020-03-22	Chile	Chile
EPI_ISL_443303	2020-04-09	France	France
EPI_ISL_437302	2020-04-17	Austria	Austria
EPI_ISL_460953	2020-05-18	Netherlands	Netherlands
EPI_ISL_461385	2020-05-08	Netherlands	Netherlands
EPI_ISL_461390	2020-05-09	Netherlands	Netherlands
EPI_ISL_455159	2020-04-07	Netherlands	Netherlands
EPI_ISL_460915	2020-05-22	Netherlands	Netherlands
EPI_ISL_462470	2020-04-22	Bosnia and Herzegovina	BosniaandHerzegovina
EPI_ISL_460909	2020-05-22	Netherlands	Netherlands
EPI_ISL_460965	2020-05-18	Netherlands	Netherlands
EPI_ISL_460994	2020-05-21	Netherlands	Netherlands
EPI_ISL_460979	2020-05-19	Netherlands	Netherlands
EPI_ISL_460920	2020-05-22	Netherlands	Netherlands
EPI_ISL_460964	2020-05-18	Netherlands	Netherlands
EPI_ISL_460872	2020-05-22	Netherlands	Netherlands
EPI_ISL_460921	2020-05-22	Netherlands	Netherlands
EPI_ISL_460903	2020-05-22	Netherlands	Netherlands
EPI_ISL_460971	2020-05-18	Netherlands	Netherlands
EPI_ISL_459976	2020-03-16	Morocco	Morocco
EPI_ISL_420073	2020-03-19	Senegal	Senegal
EPI_ISL_428347	2020-03-23	France	France
EPI_ISL_415654	2020-03-09	France	France
EPI_ISL_443306	2020-04-02	France	France
EPI_ISL_418390	2020-03-13	Finland	Finland
EPI_ISL_414632	2020-03-04	France	France
EPI_ISL_460235	2020-03-07	USA	USA
EPI_ISL_414637	2020-03-04	France	France
EPI_ISL_414626	2020-02-29	France	France
EPI_ISL_426718	2020-03-25	Australia	Australia
EPI_ISL_417440	2020-03-17	Democratic Republic of the Congo	DemocraticRepublicoftheCongo
EPI_ISL_420034	2020-03-22	Democratic Republic of the Congo	DemocraticRepublicoftheCongo
EPI_ISL_420839	2020-03-22	Democratic Republic of the Congo	DemocraticRepublicoftheCongo
EPI_ISL_414647	2020-03-09	Democratic Republic of the Congo	DemocraticRepublicoftheCongo
EPI_ISL_443258	2020-04-02	France	France
EPI_ISL_447463	2020-04-16	Israel	Israel
EPI_ISL_447294	2020-03-25	Israel	Israel
EPI_ISL_447347	2020-04-15	Israel	Israel
EPI_ISL_447384	2020-03-31	Israel	Israel
EPI_ISL_455419	2020-03-29	Nigeria	Nigeria
EPI_ISL_443260	2020-04-02	France	France
EPI_ISL_454298	2020-04-11	Portugal	Portugal
EPI_ISL_428930	2020-03-29	Poland	Poland
EPI_ISL_418233	2020-03-15	France	France
EPI_ISL_434500	2020-04-15	Luxembourg	Luxembourg
EPI_ISL_443292	2020-04-03	France	France
EPI_ISL_420076	2020-03-20	Senegal	Senegal
EPI_ISL_437332	2020-03-18	Turkey	Iran
EPI_ISL_455974	2020-05-11	Belgium	Belgium
EPI_ISL_457996	2020-03-29	Oman	Oman
EPI_ISL_456476	2020-05-01	Australia	Australia
EPI_ISL_456504	2020-05-06	Australia	Australia
EPI_ISL_454213	2020-04-27	Portugal	Portugal
EPI_ISL_454197	2020-04-24	Portugal	Portugal
EPI_ISL_459906	2020-05-18	Luxembourg	Luxembourg
EPI_ISL_459896	2020-05-14	Luxembourg	Luxembourg
EPI_ISL_459900	2020-05-15	Luxembourg	Luxembourg
EPI_ISL_459893	2020-05-15	Luxembourg	Luxembourg
EPI_ISL_459899	2020-05-15	Luxembourg	Luxembourg
EPI_ISL_459901	2020-05-19	Luxembourg	Luxembourg
EPI_ISL_459903	2020-05-19	Luxembourg	Luxembourg
EPI_ISL_459894	2020-05-12	Luxembourg	Luxembourg
EPI_ISL_445075	2020-05-08	Luxembourg	Luxembourg
EPI_ISL_455900	2020-03-10	Sweden	Sweden
EPI_ISL_416502	2020-02-26	France	France
EPI_ISL_416478	2020-03-14	Georgia	Georgia
EPI_ISL_443215	2020-03-18	Singapore	Singapore
EPI_ISL_418218	2020-02-21	France	France
EPI_ISL_429968	2020-02-21	France	France
EPI_ISL_443230	2020-03-17	Singapore	Singapore
EPI_ISL_422419	2020-03-19	Taiwan	USA
EPI_ISL_451892	2020-04-07	Switzerland	Switzerland
EPI_ISL_447313	2020-04-05	Israel	Israel
EPI_ISL_425138	2020-03-19	Germany	Germany
EPI_ISL_417338	2020-03-07	France	France
EPI_ISL_435314	2020-03-13	Vietnam	Vietnam
EPI_ISL_420072	2020-03-18	Senegal	Senegal
EPI_ISL_455450	2020-03-26	Poland	Poland
EPI_ISL_427306	2020-03-10	Brazil	Brazil
EPI_ISL_435119	2020-03-12	United Arab Emirates	UnitedArabEmirates
EPI_ISL_430850	2020-03-11	Sweden	Sweden
EPI_ISL_414625	2020-02-26	France	France
EPI_ISL_443285	2020-04-02	France	France
EPI_ISL_459982	2020-04-18	Morocco	Morocco
EPI_ISL_452056	2020-04-15	Denmark	Denmark
EPI_ISL_437309	2020-03-26	Turkey	Turkey
EPI_ISL_451831	2020-03-31	Switzerland	Switzerland
EPI_ISL_437365	2020-04-05	USA	USA
EPI_ISL_422421	2020-03-19	Taiwan	Poland
EPI_ISL_428877	2020-03-19	Russia	Russia
EPI_ISL_437987	2020-03-13	Austria	Austria
EPI_ISL_420150	2020-03-09	Norway	Norway
EPI_ISL_418374	2020-03-11	Canada	Canada
EPI_ISL_420312	2020-03-18	Norway	Norway
EPI_ISL_420311	2020-03-18	Norway	Norway
EPI_ISL_429992	2020-03-22	Jordan	Jordan
EPI_ISL_451867	2020-04-07	Switzerland	Switzerland
EPI_ISL_449791	2020-04-04	Norway	Norway
EPI_ISL_415159	2020-02-29	Belgium	Belgium
EPI_ISL_413572	2020-03-01	Netherlands	Netherlands
EPI_ISL_459979	2020-04-19	Morocco	Morocco
EPI_ISL_429311	2020-03-17	Denmark	Denmark
EPI_ISL_456297	2020-04-01	New Zealand	NewZealand
EPI_ISL_452088	2020-04-25	Denmark	Denmark
EPI_ISL_452057	2020-04-15	Denmark	Denmark
EPI_ISL_444967	2020-03-30	Denmark	Denmark
EPI_ISL_444911	2020-03-30	Denmark	Denmark
EPI_ISL_456463	2020-04-27	Australia	Australia
EPI_ISL_456540	2020-05-02	Australia	Australia
EPI_ISL_456550	2020-05-09	Australia	Australia
EPI_ISL_421503	2020-03-12	France	France
EPI_ISL_426887	2020-03-31	Czech Republic	CzechRepublic
EPI_ISL_426884	2020-03-27	Czech Republic	CzechRepublic
EPI_ISL_426051	2020-03-20	Czech Republic	CzechRepublic
EPI_ISL_450739	2020-03-17	Vietnam	Vietnam
EPI_ISL_461473	2020-05-29	USA	USA
EPI_ISL_443315	2020-04-02	France	France
EPI_ISL_459891	2020-03-30	Canada	Canada
EPI_ISL_451266	2020-05-07	USA	USA
EPI_ISL_451248	2020-05-07	USA	USA
EPI_ISL_434946	2020-03-29	USA	USA
EPI_ISL_463906	2020-04-06	Canada	Canada
EPI_ISL_463942	2020-04-03	Canada	Canada
EPI_ISL_430708	2020-04-14	Australia	Australia
EPI_ISL_451282	2020-05-06	USA	USA
EPI_ISL_463298	2020-04-04	USA	USA
EPI_ISL_434847	2020-03-22	USA	USA
EPI_ISL_427383	2020-04-08	Belgium	Belgium
EPI_ISL_419591	2020-03-14	Luxembourg	Luxembourg
EPI_ISL_419597	2020-03-15	Luxembourg	Luxembourg
EPI_ISL_420048	2020-03-18	France	France
EPI_ISL_418209	2020-03-03	Senegal	Senegal
EPI_ISL_447389	2020-03-29	Israel	Israel
EPI_ISL_418206	2020-02-28	Senegal	Senegal
EPI_ISL_418207	2020-03-02	Senegal	Senegal
EPI_ISL_418208	2020-03-04	Senegal	Senegal
EPI_ISL_460835	2020-05-01	Netherlands	Netherlands
EPI_ISL_443279	2020-04-01	France	France
EPI_ISL_463947	2020-04-04	Canada	Canada
EPI_ISL_418358	2020-03-12	Canada	Canada
EPI_ISL_417420	2020-03-23	China	China
EPI_ISL_463130	2020-05-12	USA	USA
EPI_ISL_447402	2020-04-02	Israel	Israel
EPI_ISL_456251	2020-03-26	New Zealand	NewZealand
EPI_ISL_447338	2020-04-16	Israel	Israel
EPI_ISL_447434	2020-04-03	Israel	Israel
EPI_ISL_447401	2020-04-02	Israel	Israel
EPI_ISL_454501	2020-04-20	Kazakhstan	Kazakhstan
EPI_ISL_454585	2020-05-04	Kazakhstan	Kazakhstan
EPI_ISL_454575	2020-05-09	Kazakhstan	Kazakhstan
EPI_ISL_430810	2020-04-07	Argentina	Argentina
EPI_ISL_430816	2020-04-18	Argentina	Argentina
EPI_ISL_447444	2020-03-30	Israel	Israel
EPI_ISL_447438	2020-04-03	Israel	Israel
EPI_ISL_430798	2020-03-28	Argentina	Argentina
EPI_ISL_465696	2020-03-27	Canada	Canada
EPI_ISL_447290	2020-03-26	Israel	Israel
EPI_ISL_447283	2020-03-28	Israel	Israel
EPI_ISL_435410	2020-03-26	Hungary	Hungary
EPI_ISL_418400	2020-03-13	Finland	Finland
EPI_ISL_418396	2020-03-13	Finland	Finland
EPI_ISL_437985	2020-03-13	Austria	Austria
EPI_ISL_455434	2020-03-13	Mexico	Argentina
EPI_ISL_447426	2020-04-03	Israel	Israel
EPI_ISL_443302	2020-03-23	France	France
EPI_ISL_415466	2020-03-09	Netherlands	Netherlands
EPI_ISL_437938	2020-04-03	Austria	Austria
EPI_ISL_425122	2020-03-16	Germany	Germany
EPI_ISL_450347	2020-03-25	Norway	Norway
EPI_ISL_438180	2020-04-18	USA	USA
EPI_ISL_434191	2020-03-28	USA	USA
EPI_ISL_463610	2020-05-04	USA	USA
EPI_ISL_418220	2020-02-28	France	France
EPI_ISL_434663	2020-04-06	Sweden	Sweden
EPI_ISL_447287	2020-03-26	Israel	Israel
EPI_ISL_435412	2020-03-30	Hungary	Hungary
EPI_ISL_419549	2020-03-15	Germany	Germany
EPI_ISL_429787	2020-03-22	Luxembourg	Luxembourg
EPI_ISL_419595	2020-03-12	Luxembourg	Luxembourg
EPI_ISL_419708	2020-03-12	USA	USA
EPI_ISL_430858	2020-04-02	Sweden	Sweden
EPI_ISL_444954	2020-03-31	Denmark	Denmark
EPI_ISL_444885	2020-03-28	Denmark	Denmark
EPI_ISL_437095	2020-03-23	Latvia	Latvia
EPI_ISL_429131	2020-03-27	Sweden	Sweden
EPI_ISL_437020	2020-03-28	Denmark	Denmark
EPI_ISL_452066	2020-04-27	Denmark	Denmark
EPI_ISL_444929	2020-03-30	Denmark	Denmark
EPI_ISL_434674	2020-04-21	Sweden	Sweden
EPI_ISL_459998	2020-05-06	USA	USA
EPI_ISL_456303	2020-04-02	New Zealand	NewZealand
EPI_ISL_460336	2020-04-06	USA	USA
EPI_ISL_456246	2020-03-26	New Zealand	NewZealand
EPI_ISL_456266	2020-03-27	New Zealand	NewZealand
EPI_ISL_456268	2020-03-27	New Zealand	NewZealand
EPI_ISL_456316	2020-04-01	New Zealand	NewZealand
EPI_ISL_456328	2020-04-01	New Zealand	NewZealand
EPI_ISL_416506	2020-03-03	France	France
EPI_ISL_437965	2020-03-19	Austria	Austria
EPI_ISL_465692	2020-03-27	Canada	Canada
EPI_ISL_449793	2020-04-02	Norway	Norway
EPI_ISL_449792	2020-04-05	Norway	Norway
EPI_ISL_449794	2020-04-02	Norway	Norway
EPI_ISL_429996	2020-03-23	Jordan	Jordan
EPI_ISL_430006	2020-03-23	Jordan	Jordan
EPI_ISL_455107	2020-05-12	Sweden	Sweden
EPI_ISL_455845	2020-03-08	Sweden	Sweden
EPI_ISL_434659	2020-04-06	Sweden	Sweden
EPI_ISL_455104	2020-05-06	Sweden	Sweden
EPI_ISL_445240	2020-04-22	Sweden	Sweden
EPI_ISL_450811	2020-04-06	Sweden	Sweden
EPI_ISL_455105	2020-05-07	Sweden	Sweden
EPI_ISL_434675	2020-04-20	Sweden	Sweden
EPI_ISL_450832	2020-05-04	Sweden	Sweden
