strain	date	country
EPI_ISL_484890	2020-06-02	Illinois
EPI_ISL_484900	2020-06-24	Illinois
EPI_ISL_484917	2020-06-23	Illinois
EPI_ISL_484928	2020-06-21	Illinois
EPI_ISL_484946	2020-06-27	Illinois
EPI_ISL_484967	2020-06-27	Illinois
EPI_ISL_484975	2020-06-25	Illinois
EPI_ISL_491308	2020-06-26	Illinois
EPI_ISL_491310	2020-06-27	Illinois
EPI_ISL_491311	2020-06-26	Illinois
EPI_ISL_491312	2020-06-26	Illinois
EPI_ISL_491313	2020-06-28	Illinois
EPI_ISL_491314	2020-06-29	Illinois
EPI_ISL_418915	2020-03-13	Illinois
EPI_ISL_418916	2020-03-13	Illinois
EPI_ISL_418917	2020-03-14	Illinois
EPI_ISL_418918	2020-03-13	Illinois
EPI_ISL_404253	2020-01-21	Illinois
EPI_ISL_410045	2020-01-28	Illinois
EPI_ISL_434517	2020-03-23	Louisiana
EPI_ISL_434518	2020-03-23	Louisiana
EPI_ISL_434519	2020-03-25	Louisiana
EPI_ISL_434530	2020-03-31	Louisiana
EPI_ISL_463280	2020-04-06	Louisiana
EPI_ISL_463285	2020-04-04	Louisiana
EPI_ISL_455618	2020-04-08	Louisiana
EPI_ISL_436959	2020-04-05	Louisiana
EPI_ISL_452106	2020-03-10	Louisiana
EPI_ISL_435566	2020-04-24	Louisiana
EPI_ISL_451203	2020-05-02	Louisiana
EPI_ISL_451207	2020-05-01	Louisiana
EPI_ISL_451209	2020-05-01	Louisiana
EPI_ISL_451214	2020-04-27	Louisiana
EPI_ISL_451231	2020-05-04	Louisiana
EPI_ISL_451236	2020-05-04	Louisiana
EPI_ISL_451244	2020-05-07	Louisiana
EPI_ISL_451246	2020-05-04	Louisiana
EPI_ISL_451247	2020-05-04	Louisiana
EPI_ISL_451248	2020-05-07	Louisiana
EPI_ISL_451249	2020-05-08	Louisiana
EPI_ISL_451251	2020-05-09	Louisiana
EPI_ISL_451253	2020-05-06	Louisiana
EPI_ISL_451254	2020-05-07	Louisiana
EPI_ISL_451255	2020-05-06	Louisiana
EPI_ISL_451257	2020-05-06	Louisiana
EPI_ISL_451259	2020-05-08	Louisiana
EPI_ISL_451265	2020-05-06	Louisiana
EPI_ISL_451268	2020-05-07	Louisiana
EPI_ISL_451270	2020-05-06	Louisiana
EPI_ISL_451271	2020-05-06	Louisiana
EPI_ISL_451272	2020-05-06	Louisiana
EPI_ISL_451278	2020-05-06	Louisiana
EPI_ISL_451279	2020-05-06	Louisiana
EPI_ISL_451287	2020-05-07	Louisiana
EPI_ISL_455981	2020-03-28	Louisiana
EPI_ISL_455982	2020-03-28	Louisiana
EPI_ISL_455983	2020-03-28	Louisiana
EPI_ISL_455984	2020-03-30	Louisiana
EPI_ISL_455988	2020-03-25	Louisiana
EPI_ISL_455990	2020-03-25	Louisiana
EPI_ISL_455991	2020-03-26	Louisiana
EPI_ISL_455993	2020-03-28	Louisiana
EPI_ISL_456002	2020-04-01	Louisiana
EPI_ISL_485009	2020-04-11	Louisiana
EPI_ISL_485105	2020-04-22	Louisiana
EPI_ISL_485142	2020-04-17	Louisiana
EPI_ISL_485895	2020-04-21	Louisiana
EPI_ISL_485281	2020-04-11	Louisiana
EPI_ISL_485289	2020-04-10	Louisiana
EPI_ISL_485290	2020-04-10	Louisiana
EPI_ISL_485300	2020-04-10	Louisiana
EPI_ISL_485322	2020-04-10	Louisiana
EPI_ISL_485340	2020-04-09	Louisiana
EPI_ISL_485375	2020-04-06	Louisiana
EPI_ISL_485380	2020-04-04	Louisiana
EPI_ISL_435445	2020-03-31	Louisiana
EPI_ISL_435448	2020-03-27	Louisiana
EPI_ISL_435449	2020-03-27	Louisiana
EPI_ISL_435450	2020-03-28	Louisiana
EPI_ISL_435453	2020-03-30	Louisiana
EPI_ISL_435465	2020-03-31	Louisiana
EPI_ISL_435467	2020-03-31	Louisiana
EPI_ISL_437547	2020-03-31	Louisiana
EPI_ISL_437546	2020-03-27	Louisiana
EPI_ISL_445124	2020-04-02	Louisiana
EPI_ISL_445126	2020-03-31	Louisiana
EPI_ISL_445130	2020-03-31	Louisiana
