Iceland->Luxembourg,84, 84, 0, 100, 800, 800, 100, 100
Italy->England,0, 0, 0, 0, 795, 438, 600, 200
Netherlands->Germany,0, 0, 0, 100, 229, 600, 1000, 100
Italy->Luxembourg,100, 16, 0, 0, 890, 100, 500, 400
Spain->Georgia,0, 100, 0, 200, 300, 500, 700, 200
Scotland->Luxembourg,0, 100, 0, 200, 0, 0, 500, 1200
Singapore->China,0, 0, 400, 700, 900, 0, 0, 0
Canada->Germany,0, 0, 0, 100, 300, 300, 700, 600
Belgium->Japan,0, 0, 0, 0, 600, 1200, 200, 0
Canada->Japan,0, 0, 0, 0, 200, 1700, 100, 0
Switzerland->Australia,0, 100, 0, 0, 576, 800, 200, 300
Germany->Belgium,0, 0, 100, 100, 132, 231, 1400, 0
Luxembourg->Iceland,16, 116, 0, 0, 500, 300, 805, 200
Luxembourg->USA,100, 100, 0, 0, 400, 700, 200, 400
Iceland->Spain,100, 0, 0, 100, 600, 400, 600, 100
Japan->Canada,100, 0, 100, 300, 600, 700, 100, 0
Belgium->Luxembourg,0, 0, 0, 200, 500, 400, 300, 500
Spain->Australia,0, 0, 0, 100, 600, 600, 500, 100
Italy->Belgium,0, 0, 0, 0, 400, 500, 100, 900
England->CzechRepublic,0, 0, 0, 0, 200, 800, 800, 100
Netherlands->USA,0, 0, 0, 0, 700, 500, 700, 0
France->Norway,0, 0, 0, 300, 0, 800, 568, 200
Canada->Belgium,0, 0, 0, 0, 400, 300, 1048, 100
Iceland->Finland,0, 0, 0, 0, 200, 200, 1337, 100
Germany->Canada,0, 0, 0, 0, 332, 1200, 300, 0
Luxembourg->Switzerland,0, 0, 0, 300, 500, 316, 705, 0
Taiwan->Australia,0, 300, 0, 100, 400, 600, 300, 100
England->Canada,0, 100, 0, 0, 300, 300, 1000, 100
Luxembourg->Canada,0, 100, 0, 200, 400, 700, 400, 0
Netherlands->France,0, 100, 0, 100, 500, 600, 500, 0
Scotland->Canada,0, 0, 100, 300, 500, 400, 500, 0
Portugal->Belgium,0, 0, 0, 0, 0, 1100, 600, 100
Iceland->Australia,100, 0, 1, 0, 1000, 100, 447, 148
Belgium->Austria,0, 0, 0, 0, 395, 1180, 200, 0
China->Iceland,0, 0, 500, 847, 300, 0, 1, 100
Italy->Switzerland,0, 0, 100, 100, 842, 400, 195, 100
