strain,real,nextstrain_0,nextstrain_1,nextstrain_2,nextstrain_3,nextstrain_4,nextstrain_5,nextstrain_6,nextstrain_7,nextstrain_8,nextstrain_9,tnet
EPI_ISL_452356,UnitedKingdom,China,Poland,USA,Netherlands,China,China,China,China,China,China,China
EPI_ISL_435136,UnitedArabEmirates,UnitedArabEmirates,Sweden,UnitedArabEmirates,Norway,Sweden,UnitedArabEmirates,Sweden,UnitedArabEmirates,Japan,Sweden,Sweden
EPI_ISL_429136,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Italy,Sweden,Sweden,Sweden
EPI_ISL_429141,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Poland,Sweden,Sweden,Sweden
EPI_ISL_429158,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden
EPI_ISL_448313,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,Mexico,UnitedKingdom,UnitedKingdom,UnitedKingdom,Mexico
EPI_ISL_424626,Mexico,UnitedKingdom,UnitedKingdom,Luxembourg,UnitedKingdom,USA,UnitedKingdom,Mexico,UnitedKingdom,UnitedKingdom,UnitedKingdom,DemocraticRepublicoftheCongo
EPI_ISL_443305,France,France,France,France,Luxembourg,France,Netherlands,Netherlands,Canada,France,Luxembourg,Luxembourg
EPI_ISL_419570,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,France,France,Luxembourg,Luxembourg,Luxembourg
EPI_ISL_417534,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,DemocraticRepublicoftheCongo,France,Luxembourg,Luxembourg
EPI_ISL_443307,France,France,Italy,France,France,France,France,France,Poland,France,France,France
EPI_ISL_448790,UnitedKingdom,UnitedKingdom,Poland,Germany,Poland,Poland,UnitedKingdom,Germany,Poland,Poland,India,Poland
EPI_ISL_451979,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Italy,Poland
EPI_ISL_451972,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,SaudiArabia,Poland
EPI_ISL_451978,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Luxembourg,Poland
EPI_ISL_414624,France,France,Italy,Italy,Italy,Italy,Germany,Italy,Italy,Italy,India,Switzerland
EPI_ISL_429732,Luxembourg,France,Italy,Italy,Luxembourg,Italy,Luxembourg,Luxembourg,Luxembourg,Italy,Luxembourg,Luxembourg
EPI_ISL_413575,Netherlands,France,Italy,Netherlands,Italy,Italy,Netherlands,Italy,Italy,Italy,Netherlands,Germany
EPI_ISL_428876,Russia,Switzerland,Italy,Italy,Italy,Italy,Sweden,Italy,Russia,Italy,SaudiArabia,Italy
EPI_ISL_452191,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy
EPI_ISL_452190,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy
EPI_ISL_466889,Germany,Germany,Italy,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
EPI_ISL_437221,Germany,Germany,Italy,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
EPI_ISL_445055,Luxembourg,Switzerland,Italy,Luxembourg,Switzerland,Luxembourg,France,Italy,Italy,Italy,Luxembourg,Luxembourg
EPI_ISL_451862,Switzerland,Switzerland,Italy,Luxembourg,Switzerland,Luxembourg,Switzerland,Switzerland,Switzerland,Italy,Luxembourg,Luxembourg
EPI_ISL_413996,Switzerland,Switzerland,Italy,UnitedKingdom,Italy,Switzerland,Switzerland,Switzerland,Italy,Switzerland,Switzerland,Switzerland
EPI_ISL_418842,Canada,Germany,Italy,Greece,UnitedKingdom,Italy,Canada,UnitedKingdom,UnitedArabEmirates,UnitedKingdom,Japan,Germany
EPI_ISL_437291,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
EPI_ISL_437292,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
EPI_ISL_421760,Luxembourg,Italy,Italy,Italy,Italy,Italy,Luxembourg,Italy,Luxembourg,Italy,Italy,Luxembourg
EPI_ISL_429226,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy
EPI_ISL_444432,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,UnitedKingdom,Denmark,Germany,UnitedKingdom,UnitedKingdom,Belgium,UnitedKingdom
EPI_ISL_437911,Greece,UnitedKingdom,UnitedKingdom,Greece,Germany,UnitedKingdom,Netherlands,Germany,Poland,UnitedKingdom,Netherlands,Italy
EPI_ISL_461965,UnitedKingdom,UnitedKingdom,Italy,Italy,Germany,Italy,France,UnitedKingdom,UnitedKingdom,UnitedKingdom,India,UnitedKingdom
EPI_ISL_419255,Italy,UnitedKingdom,Italy,USA,Italy,Italy,France,Italy,Italy,Italy,Netherlands,Italy
EPI_ISL_455468,Romania,Poland,Australia,Spain,Australia,Australia,Switzerland,UnitedKingdom,Australia,Portugal,Spain,Spain
EPI_ISL_451987,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,France,Poland,Poland
EPI_ISL_428927,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland,Poland
