strain,real,nextstrain_0,nextstrain_1,nextstrain_2,nextstrain_3,nextstrain_4,nextstrain_5,nextstrain_6,nextstrain_7,nextstrain_8,nextstrain_9,tnet
EPI_ISL_454590,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan
EPI_ISL_454510,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan
EPI_ISL_454599,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan
EPI_ISL_454594,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan
EPI_ISL_454504,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan
EPI_ISL_402125,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_418267,Vietnam,China,Vietnam,Vietnam,China,Germany,China,China,Vietnam,HongKong,Vietnam,Germany
EPI_ISL_408976,China,China,China,China,HongKong,Germany,China,Australia,Australia,China,China,China
EPI_ISL_402119,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_402124,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_402129,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_403929,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_417178,HongKong,China,Australia,Malaysia,China,Germany,China,China,HongKong,Malaysia,China,China
EPI_ISL_406973,China,China,Singapore,Singapore,Singapore,China,China,Singapore,Singapore,Singapore,Singapore,Singapore
EPI_ISL_403962,China,Thailand,Thailand,Thailand,China,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,China
EPI_ISL_437623,Thailand,Thailand,Thailand,Thailand,China,China,Thailand,Thailand,Thailand,Thailand,Thailand,China
EPI_ISL_434694,Thailand,China,Thailand,Thailand,China,Thailand,Thailand,HongKong,Thailand,China,China,China
EPI_ISL_455391,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_418269,Vietnam,China,Vietnam,Vietnam,HongKong,HongKong,Thailand,China,Thailand,USA,Vietnam,China
EPI_ISL_459909,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_410218,China,China,Taiwan,China,Taiwan,China,China,China,Malaysia,China,China,China
EPI_ISL_403963,China,China,China,Thailand,HongKong,Thailand,USA,Thailand,China,Thailand,Thailand,Thailand
EPI_ISL_408010,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_429076,China,China,China,China,China,China,China,China,China,Thailand,China,China
EPI_ISL_429088,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_462293,Singapore,China,China,China,China,China,Singapore,China,Singapore,Taiwan,China,China
EPI_ISL_454950,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_429074,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_429077,China,China,China,China,China,China,China,China,China,Taiwan,China,China
EPI_ISL_416866,Malaysia,Malaysia,Singapore,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,China,China,Malaysia,Malaysia
EPI_ISL_463007,Taiwan,Netherlands,China,Taiwan,Netherlands,Netherlands,Netherlands,Taiwan,Taiwan,China,Taiwan,Netherlands
EPI_ISL_455141,Netherlands,Netherlands,China,Netherlands,Netherlands,Netherlands,Netherlands,Taiwan,China,Netherlands,Taiwan,Netherlands
EPI_ISL_454752,Netherlands,Netherlands,China,Netherlands,Netherlands,Netherlands,Netherlands,HongKong,China,Netherlands,China,Netherlands
EPI_ISL_461276,Netherlands,Netherlands,China,Netherlands,Netherlands,Netherlands,Netherlands,France,Netherlands,Netherlands,China,Netherlands
EPI_ISL_461101,Netherlands,Netherlands,Luxembourg,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,China,Netherlands
EPI_ISL_438032,Austria,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Malaysia,Austria,Netherlands,Taiwan,Netherlands
EPI_ISL_422805,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,China,Netherlands
EPI_ISL_422893,Netherlands,Netherlands,China,Netherlands,Netherlands,Netherlands,Netherlands,USA,China,Netherlands,SouthKorea,Netherlands
EPI_ISL_455374,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_455369,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_417064,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,China,HongKong,HongKong,HongKong,HongKong
EPI_ISL_434563,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong
EPI_ISL_434564,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,China,HongKong,HongKong,HongKong,HongKong
EPI_ISL_404253,China,China,Australia,China,USA,Singapore,China,USA,China,USA,China,China
EPI_ISL_410532,China,China,Japan,Japan,UnitedArabEmirates,Japan,USA,China,Thailand,China,China,China
EPI_ISL_421233,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_450409,HongKong,China,China,USA,HongKong,HongKong,China,HongKong,China,China,China,China
EPI_ISL_447914,Thailand,Thailand,China,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,China,Thailand,China
EPI_ISL_410531,Japan,Thailand,Japan,Thailand,Japan,Japan,Thailand,USA,Thailand,Taiwan,Thailand,Japan
EPI_ISL_411915,Taiwan,Thailand,China,Thailand,Thailand,Thailand,Thailand,Thailand,China,Taiwan,China,Taiwan
EPI_ISL_437621,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_411927,Taiwan,Taiwan,Taiwan,Taiwan,Thailand,USA,USA,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan
EPI_ISL_410044,China,Taiwan,USA,Taiwan,China,USA,USA,USA,China,China,Thailand,China
EPI_ISL_414574,Germany,China,China,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
EPI_ISL_454915,China,China,UnitedArabEmirates,China,China,China,China,China,China,China,China,China
EPI_ISL_426169,SouthKorea,SouthKorea,China,China,China,China,SouthKorea,China,SouthKorea,Singapore,Taiwan,China
EPI_ISL_410486,France,SouthKorea,Australia,SouthKorea,UnitedArabEmirates,China,SouthKorea,France,SouthKorea,Australia,SouthKorea,China
EPI_ISL_426166,SouthKorea,SouthKorea,Taiwan,SouthKorea,China,China,SouthKorea,China,SouthKorea,China,SouthKorea,China
EPI_ISL_424396,Iceland,USA,Australia,USA,Mexico,Germany,USA,USA,Iceland,USA,USA,China
EPI_ISL_436583,USA,USA,USA,USA,USA,China,USA,USA,China,USA,USA,China
EPI_ISL_455435,Mexico,USA,HongKong,USA,Mexico,UnitedKingdom,USA,Australia,Mexico,USA,USA,China
EPI_ISL_414509,Germany,Germany,Germany,Germany,Germany,China,Germany,Germany,Germany,Germany,Germany,Germany
EPI_ISL_416488,Poland,Germany,USA,Germany,Germany,China,Poland,Germany,Brazil,Germany,Germany,China
EPI_ISL_416907,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,China,Malaysia
EPI_ISL_455791,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia
EPI_ISL_455792,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia
EPI_ISL_430444,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,China,Malaysia
EPI_ISL_410537,Singapore,Singapore,Malaysia,Malaysia,Singapore,Malaysia,Singapore,Singapore,China,Japan,Malaysia,Malaysia
EPI_ISL_435134,UnitedArabEmirates,Singapore,UnitedArabEmirates,China,UnitedArabEmirates,China,China,China,China,USA,China,China
EPI_ISL_457726,Taiwan,Singapore,China,Taiwan,China,China,China,China,China,Taiwan,Taiwan,China
EPI_ISL_422428,Singapore,Singapore,China,Taiwan,China,China,China,China,China,Singapore,Taiwan,China
EPI_ISL_419655,Austria,Germany,Germany,Germany,Germany,China,Germany,Germany,Germany,Germany,Germany,Germany
EPI_ISL_414505,Germany,Germany,Germany,Germany,Germany,HongKong,Germany,Germany,Netherlands,Germany,Germany,Germany
EPI_ISL_414504,Germany,Germany,Australia,Germany,Germany,China,Germany,Germany,NewZealand,Germany,Germany,Germany
EPI_ISL_414498,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
EPI_ISL_456193,NewZealand,Germany,Thailand,Malaysia,NewZealand,Germany,Singapore,Malaysia,NewZealand,China,China,Thailand
EPI_ISL_414497,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
EPI_ISL_419242,HongKong,China,HongKong,Malaysia,HongKong,Germany,China,HongKong,China,Malaysia,China,Germany
EPI_ISL_454942,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_419554,USA,USA,USA,China,China,UnitedArabEmirates,China,HongKong,USA,USA,China,China
EPI_ISL_435133,UnitedArabEmirates,USA,China,Japan,China,UnitedArabEmirates,China,UnitedArabEmirates,UnitedArabEmirates,UnitedArabEmirates,China,China
EPI_ISL_447253,Taiwan,Taiwan,Taiwan,USA,Taiwan,Taiwan,Taiwan,Taiwan,China,China,Taiwan,China
EPI_ISL_418328,Canada,Taiwan,Canada,Canada,Canada,China,Germany,Germany,NewZealand,Germany,Germany,Germany
EPI_ISL_422410,Japan,Taiwan,China,China,Taiwan,China,China,China,Taiwan,Taiwan,China,China
EPI_ISL_413561,USA,USA,China,USA,USA,China,USA,USA,USA,USA,USA,China
EPI_ISL_413596,Australia,Australia,Australia,Australia,China,Australia,Australia,Australia,Australia,USA,China,Australia
EPI_ISL_427643,Australia,Australia,Thailand,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia
EPI_ISL_413594,Australia,Australia,Singapore,Australia,Australia,Australia,Australia,Australia,Australia,Netherlands,Australia,Australia
EPI_ISL_421654,Latvia,China,China,China,Poland,China,China,China,Taiwan,Taiwan,China,China
EPI_ISL_420789,USA,China,China,USA,China,China,China,USA,USA,USA,USA,China
EPI_ISL_454955,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_417459,Germany,UnitedArabEmirates,Germany,Germany,Germany,Germany,Germany,Germany,UnitedArabEmirates,Germany,Germany,Germany
EPI_ISL_435142,UnitedArabEmirates,UnitedArabEmirates,SouthKorea,China,UnitedArabEmirates,UnitedArabEmirates,UnitedArabEmirates,UnitedArabEmirates,UnitedArabEmirates,UnitedArabEmirates,UnitedArabEmirates,China
EPI_ISL_428959,Luxembourg,NewZealand,Luxembourg,Germany,Belgium,China,Germany,NewZealand,Malaysia,Belgium,Germany,Germany
EPI_ISL_456186,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,Germany,NewZealand,NewZealand,Germany,NewZealand
EPI_ISL_456221,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,NewZealand,Germany,NewZealand
EPI_ISL_420069,Senegal,Sweden,Germany,Germany,Germany,Australia,Belgium,Belgium,Germany,Belgium,Germany,Germany
EPI_ISL_424703,Sweden,Sweden,USA,Sweden,HongKong,Greece,UnitedArabEmirates,Sweden,UnitedArabEmirates,Malaysia,UnitedArabEmirates,China
EPI_ISL_430297,SouthAfrica,Oman,China,China,Oman,China,China,Norway,China,China,USA,China
EPI_ISL_457986,Oman,Oman,China,UnitedArabEmirates,Oman,Oman,Oman,UnitedArabEmirates,Mexico,USA,Oman,China
EPI_ISL_466905,Germany,China,China,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany
EPI_ISL_454979,China,China,China,China,China,China,Mexico,China,China,China,China,China
EPI_ISL_454969,China,China,China,China,China,China,China,China,China,China,UnitedArabEmirates,China
EPI_ISL_435127,UnitedArabEmirates,China,China,UnitedArabEmirates,UnitedArabEmirates,China,China,China,China,China,UnitedArabEmirates,China
EPI_ISL_420151,Norway,China,Norway,China,Taiwan,Norway,Austria,Norway,China,China,China,China
EPI_ISL_455397,China,China,China,China,China,China,China,China,China,China,China,China
EPI_ISL_457997,Oman,Taiwan,China,China,China,Oman,Oman,China,UnitedKingdom,Oman,Oman,China
EPI_ISL_447621,Indonesia,Taiwan,China,China,Taiwan,Taiwan,Oman,China,Taiwan,China,Taiwan,China
EPI_ISL_444849,Denmark,Belgium,Norway,USA,Taiwan,Taiwan,Greece,UnitedArabEmirates,Denmark,Denmark,Greece,China
EPI_ISL_462154,Belgium,Belgium,Australia,Germany,Germany,China,Belgium,Belgium,NewZealand,Belgium,Germany,Germany
EPI_ISL_447919,Thailand,China,Thailand,Thailand,Thailand,HongKong,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
EPI_ISL_437332,Iran,Turkey,France,Turkey,France,France,Turkey,Luxembourg,France,France,Luxembourg,Turkey
EPI_ISL_437335,Turkey,Turkey,Turkey,Turkey,SaudiArabia,Morocco,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey
EPI_ISL_437331,SaudiArabia,Turkey,Turkey,Turkey,Spain,Spain,Turkey,Turkey,Italy,Turkey,Turkey,Turkey
EPI_ISL_450528,Poland,SaudiArabia,SaudiArabia,Brazil,SaudiArabia,BosniaandHerzegovina,Brazil,SaudiArabia,Poland,SaudiArabia,Netherlands,SaudiArabia
EPI_ISL_437747,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,Poland,SaudiArabia,SaudiArabia,SaudiArabia
EPI_ISL_429669,Brazil,SaudiArabia,Brazil,Brazil,SaudiArabia,France,Brazil,SaudiArabia,Australia,France,Italy,SaudiArabia
EPI_ISL_437491,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia
EPI_ISL_437731,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,Turkey,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia
EPI_ISL_451195,Uganda,Austria,China,Austria,Argentina,HongKong,Germany,Germany,Taiwan,Italy,Thailand,Austria
EPI_ISL_437301,Austria,Austria,Poland,Austria,Austria,Austria,Austria,Austria,Netherlands,Austria,Austria,Austria
EPI_ISL_437203,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria
EPI_ISL_456303,NewZealand,Austria,NewZealand,NewZealand,NewZealand,China,NewZealand,NewZealand,China,NewZealand,NewZealand,NewZealand
EPI_ISL_437201,Austria,Austria,Austria,Austria,Austria,UnitedArabEmirates,Austria,Austria,Austria,Luxembourg,Austria,Austria
EPI_ISL_437716,SaudiArabia,Austria,SaudiArabia,Austria,Austria,China,Austria,SaudiArabia,Austria,Senegal,Austria,Austria
EPI_ISL_414647,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,Italy,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,France,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,India,DemocraticRepublicoftheCongo
EPI_ISL_429739,Luxembourg,DemocraticRepublicoftheCongo,Luxembourg,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,Luxembourg,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,Luxembourg,DemocraticRepublicoftheCongo
EPI_ISL_425140,Germany,DemocraticRepublicoftheCongo,Germany,Australia,Germany,Germany,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,Germany,DemocraticRepublicoftheCongo
EPI_ISL_420853,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,Luxembourg,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,Luxembourg,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,DemocraticRepublicoftheCongo,Luxembourg,DemocraticRepublicoftheCongo
EPI_ISL_461473,USA,France,USA,Israel,Georgia,USA,France,France,Italy,USA,Italy,USA
EPI_ISL_447434,Israel,France,Israel,Israel,Israel,Israel,France,France,CzechRepublic,Israel,Israel,Israel
EPI_ISL_443258,France,France,France,France,France,France,France,France,France,France,France,France
EPI_ISL_426051,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic
EPI_ISL_426884,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic
EPI_ISL_426887,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic,CzechRepublic
EPI_ISL_421503,France,France,USA,CzechRepublic,France,USA,France,France,CzechRepublic,France,France,France
EPI_ISL_450739,Vietnam,France,USA,France,France,USA,France,France,France,Vietnam,France,France
EPI_ISL_443315,France,France,France,France,France,CzechRepublic,France,France,France,France,France,France
EPI_ISL_454213,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal
EPI_ISL_454197,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal
EPI_ISL_457996,Oman,Oman,Australia,Belgium,Australia,Australia,Australia,Oman,Luxembourg,France,Australia,Australia
EPI_ISL_455974,Belgium,Australia,Belgium,Belgium,Australia,Belgium,Australia,Belgium,France,France,Australia,Australia
EPI_ISL_456476,Australia,Australia,Australia,Australia,Australia,Australia,Australia,France,France,Portugal,Australia,Australia
EPI_ISL_456504,Australia,Australia,France,Australia,Australia,Australia,Australia,Portugal,France,France,Australia,Australia
EPI_ISL_459906,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg
EPI_ISL_459896,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg
EPI_ISL_459893,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg
EPI_ISL_459899,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg
EPI_ISL_459900,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg
EPI_ISL_445075,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg
EPI_ISL_459901,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg
EPI_ISL_459903,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg
EPI_ISL_459894,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg
EPI_ISL_420599,Argentina,SaudiArabia,India,Colombia,Argentina,Argentina,Denmark,Canada,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia
EPI_ISL_429674,Brazil,SaudiArabia,SaudiArabia,Colombia,SaudiArabia,Brazil,Luxembourg,India,SaudiArabia,Brazil,SaudiArabia,SaudiArabia
EPI_ISL_445243,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania
EPI_ISL_447054,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania,Romania
EPI_ISL_437304,Turkey,SaudiArabia,Turkey,Turkey,Turkey,USA,Turkey,Turkey,SaudiArabia,Turkey,Turkey,Turkey
EPI_ISL_437463,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,France,France,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia
EPI_ISL_447153,Belgium,Belgium,Turkey,Turkey,Belgium,Colombia,Turkey,Turkey,Belgium,Turkey,Belgium,Belgium
EPI_ISL_447155,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium
EPI_ISL_455972,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium
EPI_ISL_455969,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium
EPI_ISL_427391,Turkey,Turkey,Turkey,Turkey,Turkey,Colombia,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey
EPI_ISL_428346,Turkey,Turkey,Turkey,Turkey,Turkey,Colombia,Turkey,Turkey,Latvia,Turkey,Turkey,Turkey
EPI_ISL_426285,Latvia,Turkey,Turkey,Turkey,Turkey,Belgium,Turkey,Turkey,Latvia,Turkey,Turkey,Turkey
EPI_ISL_419300,Egypt,Japan,Japan,Japan,Japan,Japan,Japan,Colombia,Japan,Colombia,Japan,Japan
EPI_ISL_419299,Egypt,Japan,Japan,Colombia,Japan,Japan,Japan,India,Japan,Colombia,Japan,Japan
EPI_ISL_447813,Colombia,Colombia,Colombia,Colombia,Colombia,Colombia,France,India,Colombia,Colombia,India,Colombia
EPI_ISL_456248,NewZealand,Norway,Colombia,NewZealand,NewZealand,Argentina,Norway,India,NewZealand,NewZealand,Norway,USA
EPI_ISL_450350,Norway,Norway,France,NewZealand,NewZealand,Colombia,Norway,India,SaudiArabia,NewZealand,Norway,USA
EPI_ISL_418344,Canada,Canada,Canada,Canada,Canada,USA,Germany,Canada,Canada,Canada,India,Canada
EPI_ISL_418345,Canada,Canada,Canada,Canada,SaudiArabia,USA,Canada,SaudiArabia,SaudiArabia,Canada,India,SaudiArabia
EPI_ISL_418399,Finland,Finland,India,Finland,Colombia,Colombia,Finland,Canada,Finland,Finland,Luxembourg,Finland
EPI_ISL_437894,Greece,Finland,Japan,Japan,India,Greece,Greece,Japan,Greece,Colombia,Finland,USA
EPI_ISL_418382,Canada,Canada,Canada,Canada,Canada,France,Canada,Canada,Canada,Canada,Netherlands,Canada
EPI_ISL_435583,USA,USA,Colombia,Canada,USA,USA,Canada,Canada,Canada,USA,India,USA
EPI_ISL_419298,Egypt,Japan,Japan,Japan,Japan,Japan,Colombia,Japan,Colombia,Japan,France,Japan
EPI_ISL_419296,Egypt,Japan,Japan,Japan,Japan,Japan,Germany,Japan,Jordan,Japan,Colombia,Japan
EPI_ISL_447769,Colombia,Colombia,Colombia,Colombia,SaudiArabia,Colombia,France,Colombia,SaudiArabia,Colombia,Chile,Colombia
EPI_ISL_429681,Brazil,Colombia,SaudiArabia,Brazil,SaudiArabia,Brazil,France,SaudiArabia,Turkey,Brazil,SaudiArabia,SaudiArabia
EPI_ISL_455362,Nigeria,USA,India,Colombia,Australia,France,France,SaudiArabia,SaudiArabia,Canada,Nigeria,Canada
EPI_ISL_463444,USA,USA,USA,USA,USA,USA,SouthAfrica,USA,USA,USA,SouthAfrica,USA
EPI_ISL_463635,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA
EPI_ISL_463338,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA
EPI_ISL_447812,Colombia,Colombia,Colombia,Colombia,Canada,Colombia,Colombia,Colombia,Colombia,Colombia,Germany,Colombia
EPI_ISL_456153,Colombia,Colombia,SaudiArabia,Colombia,SaudiArabia,USA,Colombia,Colombia,Colombia,SaudiArabia,Netherlands,SaudiArabia
EPI_ISL_464008,Canada,USA,Colombia,Japan,Canada,Vietnam,France,Colombia,Canada,Colombia,Netherlands,Japan
EPI_ISL_428798,USA,USA,SaudiArabia,Japan,USA,USA,Sweden,SaudiArabia,USA,SaudiArabia,India,SaudiArabia
EPI_ISL_416521,SaudiArabia,SaudiArabia,India,Finland,SaudiArabia,SaudiArabia,SaudiArabia,India,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia
EPI_ISL_463061,India,India,Colombia,India,India,India,India,India,India,India,India,India
EPI_ISL_466692,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,SaudiArabia,Bangladesh,SaudiArabia,Bangladesh,SaudiArabia,Bangladesh
EPI_ISL_450344,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh
EPI_ISL_450343,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh
EPI_ISL_466639,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh
EPI_ISL_466638,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh
EPI_ISL_428723,SaudiArabia,India,Turkey,India,Turkey,Turkey,India,SaudiArabia,Turkey,Turkey,Turkey,India
EPI_ISL_461491,India,India,Belgium,India,Turkey,India,India,Latvia,India,India,India,India
EPI_ISL_461488,India,India,SaudiArabia,India,India,India,India,India,India,India,India,India
EPI_ISL_435055,India,India,Colombia,India,India,India,India,India,India,India,India,India
EPI_ISL_451162,India,India,India,India,India,India,India,India,India,India,India,India
EPI_ISL_418401,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland,Finland
EPI_ISL_445235,Sweden,Austria,SaudiArabia,Finland,Sweden,Sweden,SaudiArabia,Sweden,Finland,Brazil,Finland,SaudiArabia
EPI_ISL_437202,Austria,Austria,SaudiArabia,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria
EPI_ISL_437299,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria
EPI_ISL_437298,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria
EPI_ISL_418406,Finland,Finland,Finland,SaudiArabia,Finland,SaudiArabia,Finland,Finland,Finland,Finland,Finland,Finland
