edges/dates,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
Italy->BosniaandHerzegovina,500, 0, 700, 0, 0, 0, 0
China->India,400, 800, 0, 0, 0, 0, 0
UnitedArabEmirates->Oman,100, 700, 400, 0, 0, 0, 0
Germany->Israel,100, 300, 800, 0, 0, 0, 0
Germany->India,100, 100, 1000, 0, 0, 0, 0
France->Netherlands,0, 100, 500, 600, 0, 0, 0
Russia->Germany,0, 200, 300, 700, 0, 0, 0
SaudiArabia->Austria,0, 100, 500, 600, 0, 0, 0
SaudiArabia->Brazil,0, 200, 500, 500, 0, 0, 0
Australia->Belgium,0, 100, 200, 900, 0, 0, 0
USA->HongKong,298, 900, 0, 0, 0, 0, 0
Russia->Poland,0, 200, 892, 100, 0, 0, 0
Netherlands->Switzerland,100, 200, 683, 200, 0, 0, 0
Switzerland->CzechRepublic,200, 400, 283, 300, 0, 0, 0
Russia->Taiwan,0, 300, 767, 100, 0, 0, 0
France->Norway,100, 100, 776, 184, 0, 0, 0
Switzerland->Luxembourg,6, 15, 926, 200, 0, 0, 0
Italy->France,100, 200, 638, 200, 0, 0, 0
Italy->CzechRepublic,300, 0, 600, 218, 0, 0, 0
Switzerland->Romania,100, 100, 613, 300, 0, 0, 0
China->Vietnam,851, 251, 0, 0, 0, 0, 0
Singapore->USA,500, 400, 200, 0, 0, 0, 0
Vietnam->Austria,100, 100, 800, 100, 0, 0, 0
Sweden->BosniaandHerzegovina,100, 0, 100, 900, 0, 0, 0
France->BosniaandHerzegovina,200, 200, 600, 100, 0, 0, 0
Norway->Italy,100, 100, 900, 0, 0, 0, 0
Germany->Argentina,200, 200, 500, 200, 0, 0, 0
Netherlands->Brazil,100, 100, 900, 0, 0, 0, 0
Germany->Japan,200, 200, 700, 0, 0, 0, 0
France->Chile,200, 100, 600, 200, 0, 0, 0
Poland->Germany,100, 300, 600, 100, 0, 0, 0
Australia->France,400, 500, 200, 0, 0, 0, 0
Australia->USA,100, 600, 100, 300, 0, 0, 0
Singapore->Spain,200, 600, 300, 0, 0, 0, 0
Netherlands->Vietnam,100, 200, 500, 300, 0, 0, 0
Kazakhstan->Spain,0, 100, 300, 700, 0, 0, 0
Greece->UnitedKingdom,0, 600, 500, 0, 0, 0, 0
Brazil->Netherlands,0, 200, 900, 0, 0, 0, 0
Sweden->UnitedKingdom,0, 100, 600, 300, 100, 0, 0
Japan->Canada,0, 100, 900, 100, 0, 0, 0
Bangladesh->Australia,0, 100, 300, 600, 100, 0, 0
USA->Netherlands,0, 100, 400, 600, 0, 0, 0
Hungary->Belgium,0, 200, 600, 300, 0, 0, 0
Vietnam->Poland,0, 0, 1000, 100, 0, 0, 0
Colombia->Canada,0, 0, 600, 500, 0, 0, 0
UnitedKingdom->Canada,100, 89, 103, 800, 0, 0, 0
Russia->UnitedArabEmirates,0, 100, 685, 300, 0, 0, 0
France->Sweden,200, 200, 584, 100, 0, 0, 0
Italy->Austria,38, 218, 600, 200, 0, 0, 0
Denmark->USA,0, 251, 400, 400, 0, 0, 0
USA->UnitedArabEmirates,200, 100, 200, 549, 0, 0, 0
Singapore->Australia,470, 570, 0, 0, 0, 0, 0
Italy->Brazil,300, 300, 438, 0, 0, 0, 0
Italy->Norway,0, 500, 538, 0, 0, 0, 0
Portugal->Australia,0, 100, 829, 108, 0, 0, 0
Norway->France,100, 100, 632, 200, 0, 0, 0
Italy->Japan,0, 18, 598, 400, 0, 0, 0
Switzerland->Chile,0, 0, 810, 200, 0, 0, 0
Switzerland->USA,200, 206, 502, 100, 0, 0, 0
Norway->Australia,100, 100, 800, 8, 0, 0, 0
Norway->USA,100, 0, 508, 400, 0, 0, 0
Netherlands->Poland,0, 182, 625, 200, 0, 0, 0
