edges/dates,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
Singapore->Thailand,0,1,0,0,0,0,0
France->Spain,0,1,0,0,0,0,0
China->Iceland,0,1,0,0,0,0,0
Japan->China,0,1,0,0,0,0,0
USA->HongKong,0,1,0,0,0,0,0
HongKong->India,0,1,0,0,0,0,0
Italy->China,0,1,0,0,0,0,0
China->Poland,0,1,0,0,0,0,0
Spain->Greece,0,1,0,0,0,0,0
Malaysia->Denmark,0,1,0,0,0,0,0
HongKong->UnitedArabEmirates,0,1,0,0,0,0,0
Sweden->Colombia,0,1,0,0,0,0,0
Australia->Turkey,0,1,0,0,0,0,0
Australia->SaudiArabia,0,1,0,0,0,0,0
Spain->SouthKorea,0,1,0,0,0,0,0
Japan->HongKong,0,1,0,0,0,0,0
Thailand->Australia,0,1,0,0,0,0,0
Thailand->Finland,0,1,0,0,0,0,0
UnitedArabEmirates->HongKong,0,1,0,0,0,0,0
Australia->Singapore,0,1,0,0,0,0,0
NewZealand->SouthKorea,0,1,0,0,0,0,0
Japan->Singapore,0,1,0,0,0,0,0
Spain->Belgium,0,1,0,0,0,0,0
Belgium->Spain,0,1,0,0,0,0,0
Oman->India,0,1,0,0,0,0,0
Oman->Georgia,0,1,0,0,0,0,0
Oman->UnitedArabEmirates,0,1,0,0,0,0,0
Oman->Kazakhstan,0,1,0,0,0,0,0
Taiwan->China,0,1,0,0,0,0,0
Australia->Uganda,0,1,0,0,0,0,0
Belgium->Jordan,0,1,0,0,0,0,0
Singapore->UnitedKingdom,0,0,1,0,0,0,0
SouthKorea->USA,0,0,1,0,0,0,0
Malaysia->Japan,0,0,1,0,0,0,0
Portugal->BosniaandHerzegovina,0,0,1,0,0,0,0
Spain->UnitedArabEmirates,0,0,1,0,0,0,0
Norway->Poland,0,0,1,0,0,0,0
Turkey->SaudiArabia,0,0,1,0,0,0,0
Chile->UnitedKingdom,0,0,1,0,0,0,0
Singapore->Colombia,0,0,1,0,0,0,0
UnitedKingdom->Canada,0,0,1,0,0,0,0
Singapore->France,0,0,1,0,0,0,0
UnitedKingdom->Bangladesh,0,0,1,0,0,0,0
